,date,mean temperature (degC),site number,site name
0,,14.1,72161.0,CABRAMURRA SMHEA AWS
1,1962-01-01,14.1,,
2,1962-01-02,15.1,,
3,1962-01-03,15.6,,
4,1962-01-04,16.5,,
5,1962-01-05,10.6,,
6,1962-01-06,12.4,,
7,1962-01-07,11.6,,
8,1962-01-08,14.3,,
9,1962-01-09,13.1,,
10,1962-01-10,15.0,,
11,1962-01-11,13.0,,
12,1962-01-12,12.8,,
13,1962-01-13,14.0,,
14,1962-01-14,15.3,,
15,1962-01-15,19.7,,
16,1962-01-16,19.6,,
17,1962-01-17,14.9,,
18,1962-01-18,18.2,,
19,1962-01-19,15.3,,
20,1962-01-20,9.6,,
21,1962-01-21,9.6,,
22,1962-01-22,9.3,,
23,1962-01-23,11.9,,
24,1962-01-24,12.4,,
25,1962-01-25,15.8,,
26,1962-01-26,13.9,,
27,1962-01-27,9.9,,
28,1962-01-28,9.6,,
29,1962-01-29,14.0,,
30,1962-01-30,15.1,,
31,1962-01-31,12.0,,
32,1962-02-01,13.4,,
33,1962-02-02,11.7,,
34,1962-02-03,12.1,,
35,1962-02-04,15.3,,
36,1962-02-05,15.4,,
37,1962-02-06,17.3,,
38,1962-02-07,19.0,,
39,1962-02-08,18.8,,
40,1962-02-09,15.4,,
41,1962-02-10,13.5,,
42,1962-02-11,11.0,,
43,1962-02-12,12.9,,
44,1962-02-13,13.6,,
45,1962-02-14,11.1,,
46,1962-02-15,9.4,,
47,1962-02-16,6.6,,
48,1962-02-17,8.9,,
49,1962-02-18,10.9,,
50,1962-02-19,13.9,,
51,1962-02-20,17.7,,
52,1962-02-21,11.3,,
53,1962-02-22,9.5,,
54,1962-02-23,11.6,,
55,1962-02-24,12.1,,
56,1962-02-25,16.1,,
57,1962-02-26,16.1,,
58,1962-02-27,13.9,,
59,1962-02-28,15.4,,
60,1962-03-01,16.5,,
61,1962-03-02,11.3,,
62,1962-03-03,10.3,,
63,1962-03-04,10.7,,
64,1962-03-05,12.9,,
65,1962-03-06,14.5,,
66,1962-03-07,15.9,,
67,1962-03-08,14.6,,
68,1962-03-09,13.2,,
69,1962-03-10,12.5,,
70,1962-03-11,11.8,,
71,1962-03-12,12.8,,
72,1962-03-13,13.3,,
73,1962-03-14,12.4,,
74,1962-03-15,10.0,,
75,1962-03-16,13.0,,
76,1962-03-17,13.6,,
