,date,mean temperature (degC)
0,1975-03-01,19.4
1,1975-03-02,20.3
2,1975-03-03,21.7
3,1975-03-04,20.3
4,1975-03-05,22.0
5,1975-03-06,20.4
6,1975-03-07,20.8
7,1975-03-08,22.8
8,1975-03-09,20.8
9,1975-03-10,22.0
10,1975-03-11,20.0
11,1975-03-12,22.3
12,1975-03-13,22.4
13,1975-03-14,22.6
14,1975-03-15,26.1
15,1975-03-16,23.0
16,1975-03-17,21.6
17,1975-03-18,23.1
18,1975-03-19,25.3
19,1975-03-20,21.8
20,1975-03-21,16.2
21,1975-03-22,19.9
22,1975-03-23,18.4
23,1975-03-24,19.8
24,1975-03-25,19.3
25,1975-03-26,20.9
26,1975-03-27,21.3
27,1975-03-28,20.8
28,1975-03-29,25.4
29,1975-03-30,19.0
30,1975-03-31,19.5
31,1975-04-01,15.3
32,1975-04-02,13.8
33,1975-04-03,16.4
34,1975-04-04,19.0
35,1975-04-05,21.3
36,1975-04-06,24.1
37,1975-04-07,14.6
38,1975-04-08,16.8
39,1975-04-09,16.8
40,1975-04-10,17.3
41,1975-04-11,18.5
42,1975-04-12,16.0
43,1975-04-13,17.0
44,1975-04-14,17.2
45,1975-04-15,16.0
46,1975-04-16,19.2
47,1975-04-17,19.2
48,1975-04-18,19.8
49,1975-04-19,18.0
50,1975-04-20,17.8
51,1975-04-21,17.0
52,1975-04-22,17.0
53,1975-04-23,16.3
54,1975-04-24,15.8
55,1975-04-25,13.9
56,1975-04-26,15.6
57,1975-04-27,15.0
58,1975-04-28,15.9
59,1975-04-29,16.3
60,1975-04-30,18.0
61,1975-05-01,15.8
62,1975-05-02,16.3
63,1975-05-03,14.6
64,1975-05-04,14.3
65,1975-05-05,13.9
66,1975-05-06,15.0
67,1975-05-07,15.5
68,1975-05-08,17.0
69,1975-05-09,13.3
70,1975-05-10,13.3
71,1975-05-11,12.8
72,1975-05-12,13.4
73,1975-05-13,17.0
74,1975-05-14,17.6
75,1975-05-15,12.1
76,1975-05-16,16.8
77,1975-05-17,16.8
78,1975-05-18,14.7
79,1975-05-19,13.6
80,1975-05-20,15.8
81,1975-05-21,16.1
82,1975-05-22,14.2
83,1975-05-23,15.5
84,1975-05-24,15.7
85,1975-05-25,12.1
86,1975-05-26,15.6
87,1975-05-27,12.9
88,1975-05-28,9.9
89,1975-05-29,10.8
90,1975-05-30,9.3
91,1975-05-31,11.1
92,1975-06-01,11.1
93,1975-06-02,12.9
94,1975-06-03,14.9
95,1975-06-04,16.4
96,1975-06-05,12.3
97,1975-06-06,9.0
98,1975-06-07,9.9
99,1975-06-08,10.9
100,1975-06-09,12.1
101,1975-06-10,12.1
102,1975-06-11,11.9
103,1975-06-12,6.8
104,1975-06-13,10.9
105,1975-06-14,12.1
106,1975-06-15,9.5
107,1975-06-16,11.4
108,1975-06-17,12.6
109,1975-06-18,13.1
110,1975-06-19,12.4
111,1975-06-20,14.1
112,1975-06-21,13.1
113,1975-06-22,15.0
114,1975-06-23,14.9
115,1975-06-24,16.2
116,1975-06-25,13.0
117,1975-06-26,13.4
118,1975-06-27,11.3
119,1975-06-28,10.6
120,1975-06-29,10.0
121,1975-06-30,8.4
122,1975-07-01,8.2
123,1975-07-02,7.5
124,1975-07-03,11.9
125,1975-07-04,10.9
126,1975-07-05,9.1
127,1975-07-06,8.6
128,1975-07-07,10.3
129,1975-07-08,8.8
130,1975-07-09,8.8
131,1975-07-10,7.6
132,1975-07-11,8.3
133,1975-07-12,12.5
134,1975-07-13,14.3
135,1975-07-14,15.3
136,1975-07-15,12.5
137,1975-07-16,9.0
138,1975-07-17,8.8
139,1975-07-18,9.9
140,1975-07-19,12.3
141,1975-07-20,11.0
142,1975-07-21,10.0
143,1975-07-22,10.4
144,1975-07-23,9.8
145,1975-07-24,12.0
146,1975-07-25,14.1
147,1975-07-26,12.1
148,1975-07-27,11.9
149,1975-07-28,13.9
150,1975-07-29,16.9
151,1975-07-30,16.4
152,1975-07-31,16.9
153,1975-08-01,12.7
154,1975-08-02,12.7
155,1975-08-03,15.8
156,1975-08-04,16.0
157,1975-08-05,12.2
158,1975-08-06,9.6
159,1975-08-07,10.6
160,1975-08-08,12.8
161,1975-08-09,13.0
162,1975-08-10,12.0
163,1975-08-11,14.5
164,1975-08-12,12.2
165,1975-08-13,11.1
166,1975-08-14,8.8
167,1975-08-15,9.6
168,1975-08-16,11.5
169,1975-08-17,11.3
170,1975-08-18,11.1
171,1975-08-19,13.0
172,1975-08-20,14.3
173,1975-08-21,13.4
174,1975-08-22,11.8
175,1975-08-23,11.3
176,1975-08-24,11.1
177,1975-08-25,9.4
178,1975-08-26,11.1
179,1975-08-27,14.2
180,1975-08-28,13.0
181,1975-08-29,12.1
