,date,mean temperature (degC),site number,site name
0,,16.5,69018.0,MORUYA HEADS PILOT STATION
1,1910-01-01,16.5,,
2,1910-01-02,18.3,,
3,1910-01-03,19.5,,
4,1910-01-04,22.3,,
5,1910-01-05,20.2,,
6,1910-01-06,20.6,,
7,1910-01-07,20.5,,
8,1910-01-08,20.5,,
9,1910-01-09,20.3,,
10,1910-01-10,20.7,,
11,1910-01-11,18.9,,
12,1910-01-12,16.0,,
13,1910-01-13,16.4,,
14,1910-01-14,17.8,,
15,1910-01-15,21.1,,
16,1910-01-16,21.9,,
17,1910-01-17,20.5,,
18,1910-01-18,19.5,,
19,1910-01-19,20.5,,
20,1910-01-20,20.0,,
21,1910-01-21,19.1,,
22,1910-01-22,18.5,,
23,1910-01-23,17.6,,
24,1910-01-24,20.1,,
25,1910-01-25,21.0,,
26,1910-01-26,21.3,,
27,1910-01-27,20.8,,
28,1910-01-28,19.1,,
29,1910-01-29,18.0,,
30,1910-01-30,16.8,,
31,1910-01-31,17.4,,
32,1910-02-01,19.0,,
33,1910-02-02,18.1,,
34,1910-02-03,19.5,,
35,1910-02-04,26.0,,
36,1910-02-05,23.9,,
37,1910-02-06,18.2,,
38,1910-02-07,19.8,,
39,1910-02-08,20.1,,
40,1910-02-09,20.2,,
41,1910-02-10,20.2,,
42,1910-02-11,19.5,,
43,1910-02-12,16.3,,
44,1910-02-13,14.4,,
45,1910-02-14,14.9,,
46,1910-02-15,17.8,,
47,1910-02-16,18.7,,
48,1910-02-17,20.2,,
49,1910-02-18,20.0,,
50,1910-02-19,20.7,,
51,1910-02-20,19.6,,
52,1910-02-21,21.1,,
53,1910-02-22,20.9,,
54,1910-02-23,21.3,,
55,1910-02-24,19.8,,
56,1910-02-25,20.5,,
57,1910-02-26,20.1,,
58,1910-02-27,21.1,,
59,1910-02-28,21.1,,
60,1910-03-01,20.3,,
61,1910-03-02,20.1,,
62,1910-03-03,17.9,,
63,1910-03-04,16.9,,
64,1910-03-05,18.3,,
65,1910-03-06,17.8,,
66,1910-03-07,19.0,,
67,1910-03-08,20.0,,
68,1910-03-09,18.9,,
69,1910-03-10,15.8,,
70,1910-03-11,16.5,,
71,1910-03-12,16.0,,
72,1910-03-13,16.9,,
73,1910-03-14,18.8,,
74,1910-03-15,17.7,,
75,1910-03-16,17.4,,
76,1910-03-17,18.6,,
77,1910-03-18,18.0,,
78,1910-03-19,18.5,,
79,1910-03-20,19.5,,
80,1910-03-21,17.3,,
81,1910-03-22,18.1,,
82,1910-03-23,18.4,,
83,1910-03-24,18.3,,
84,1910-03-25,18.3,,
85,1910-03-26,17.3,,
86,1910-03-27,16.0,,
87,1910-03-28,16.6,,
88,1910-03-29,18.4,,
89,1910-03-30,18.0,,
90,1910-03-31,17.4,,
91,1910-04-01,17.0,,
92,1910-04-02,16.6,,
93,1910-04-03,12.9,,
94,1910-04-04,13.7,,
95,1910-04-05,15.6,,
96,1910-04-06,16.8,,
97,1910-04-07,17.0,,
98,1910-04-08,16.8,,
99,1910-04-09,17.4,,
100,1910-04-10,17.2,,
101,1910-04-11,15.5,,
102,1910-04-12,15.5,,
103,1910-04-13,14.9,,
104,1910-04-14,16.4,,
105,1910-04-15,14.1,,
106,1910-04-16,15.4,,
107,1910-04-17,16.4,,
108,1910-04-18,12.3,,
109,1910-04-19,12.3,,
110,1910-04-20,11.6,,
111,1910-04-21,14.4,,
112,1910-04-22,16.8,,
113,1910-04-23,16.8,,
114,1910-04-24,17.3,,
115,1910-04-25,14.4,,
116,1910-04-26,14.3,,
117,1910-04-27,14.3,,
118,1910-04-28,11.4,,
119,1910-04-29,17.4,,
120,1910-04-30,18.1,,
121,1910-05-01,18.1,,
122,1910-05-02,16.4,,
123,1910-05-03,14.3,,
124,1910-05-04,14.3,,
125,1910-05-05,14.3,,
126,1910-05-06,11.1,,
127,1910-05-07,15.1,,
128,1910-05-08,14.0,,
129,1910-05-09,13.4,,
130,1910-05-10,13.8,,
131,1910-05-11,13.9,,
132,1910-05-12,13.8,,
133,1910-05-13,14.6,,
134,1910-05-14,11.6,,
135,1910-05-15,10.9,,
136,1910-05-16,16.1,,
137,1910-05-17,16.1,,
138,1910-05-18,16.1,,
139,1910-05-19,13.6,,
140,1910-05-20,13.6,,
141,1910-05-21,13.6,,
142,1910-05-22,12.4,,
143,1910-05-23,13.3,,
144,1910-05-24,12.0,,
145,1910-05-25,15.8,,
146,1910-05-26,16.4,,
147,1910-05-27,14.0,,
148,1910-05-28,14.2,,
149,1910-05-29,11.7,,
150,1910-05-30,11.9,,
151,1910-05-31,11.6,,
152,1910-06-01,10.7,,
153,1910-06-02,12.3,,
154,1910-06-03,9.4,,
155,1910-06-04,10.4,,
156,1910-06-05,12.1,,
157,1910-06-06,12.6,,
158,1910-06-07,11.1,,
159,1910-06-08,11.3,,
160,1910-06-09,13.9,,
161,1910-06-10,12.0,,
162,1910-06-11,11.4,,
163,1910-06-12,13.1,,
164,1910-06-13,13.7,,
165,1910-06-14,14.3,,
166,1910-06-15,9.8,,
167,1910-06-16,9.6,,
168,1910-06-17,11.0,,
169,1910-06-18,12.2,,
170,1910-06-19,12.3,,
171,1910-06-20,13.5,,
172,1910-06-21,12.5,,
173,1910-06-22,12.6,,
174,1910-06-23,13.0,,
175,1910-06-24,13.4,,
176,1910-06-25,12.3,,
177,1910-06-26,11.2,,
178,1910-06-27,10.7,,
179,1910-06-28,9.3,,
180,1910-06-29,9.6,,
181,1910-06-30,12.2,,
182,1910-07-01,10.6,,
183,1910-07-02,12.2,,
184,1910-07-03,11.4,,
185,1910-07-04,13.3,,
186,1910-07-05,13.0,,
187,1910-07-06,11.4,,
188,1910-07-07,12.8,,
189,1910-07-08,10.9,,
190,1910-07-09,10.5,,
191,1910-07-10,7.5,,
192,1910-07-11,9.5,,
193,1910-07-12,12.0,,
194,1910-07-13,11.9,,
195,1910-07-14,13.0,,
196,1910-07-15,10.4,,
197,1910-07-16,9.5,,
198,1910-07-17,9.4,,
199,1910-07-18,9.7,,
200,1910-07-19,10.0,,
201,1910-07-20,11.5,,
202,1910-07-21,11.3,,
203,1910-07-22,8.9,,
