,date,mean temperature (degC),site number,site name
0,,28.0,43109.0,ST GEORGE AIRPORT
1,1913-02-02,28.0,,
2,1913-02-03,27.8,,
3,1913-02-04,28.0,,
4,1913-02-05,28.1,,
5,1913-02-06,25.5,,
6,1913-02-07,25.0,,
7,1913-02-08,24.1,,
8,1913-02-09,26.0,,
9,1913-02-10,26.9,,
10,1913-02-11,26.5,,
11,1913-02-12,26.4,,
12,1913-02-13,27.5,,
13,1913-02-14,28.3,,
14,1913-02-15,25.4,,
15,1913-02-16,29.5,,
16,1913-02-17,28.1,,
17,1913-02-18,31.0,,
18,1913-02-19,30.8,,
19,1913-02-20,27.1,,
20,1913-02-21,25.4,,
21,1913-02-22,26.8,,
22,1913-02-23,24.1,,
23,1913-02-24,23.1,,
24,1913-02-25,23.1,,
25,1913-02-26,20.7,,
26,1913-02-27,19.8,,
27,1913-02-28,22.8,,
28,1913-03-01,24.9,,
29,1913-03-02,25.3,,
30,1913-03-03,24.8,,
31,1913-03-04,25.1,,
32,1913-03-05,24.3,,
33,1913-03-06,25.6,,
34,1913-03-07,22.8,,
35,1913-03-08,17.4,,
36,1913-03-09,15.8,,
37,1913-03-10,16.9,,
38,1913-03-11,19.2,,
39,1913-03-12,20.8,,
40,1913-03-13,24.7,,
41,1913-03-14,18.4,,
42,1913-03-15,19.9,,
43,1913-03-16,21.1,,
44,1913-03-17,22.0,,
45,1913-03-18,26.1,,
46,1913-03-19,25.4,,
47,1913-03-20,24.8,,
48,1913-03-21,24.1,,
49,1913-03-22,18.8,,
50,1913-03-23,19.0,,
51,1913-03-24,20.7,,
52,1913-03-25,21.3,,
53,1913-03-26,13.9,,
54,1913-03-27,13.9,,
55,1913-03-28,14.9,,
56,1913-03-29,16.6,,
57,1913-03-30,19.3,,
58,1913-03-31,16.9,,
59,1913-04-01,18.2,,
60,1913-04-02,18.6,,
61,1913-04-03,18.5,,
62,1913-04-04,18.5,,
63,1913-04-05,14.5,,
64,1913-04-06,15.8,,
65,1913-04-07,19.5,,
66,1913-04-08,19.8,,
67,1913-04-09,20.5,,
68,1913-04-10,21.0,,
69,1913-04-11,21.0,,
70,1913-04-12,21.2,,
71,1913-04-13,21.3,,
72,1913-04-14,22.6,,
73,1913-04-15,22.0,,
74,1913-04-16,22.4,,
75,1913-04-17,23.0,,
76,1913-04-18,21.1,,
77,1913-04-19,19.8,,
78,1913-04-20,19.8,,
79,1913-04-21,17.1,,
80,1913-04-22,16.8,,
81,1913-04-23,19.3,,
82,1913-04-24,19.0,,
83,1913-04-25,19.2,,
84,1913-04-26,18.4,,
85,1913-04-27,17.3,,
86,1913-04-28,15.9,,
87,1913-04-29,14.9,,
88,1913-04-30,18.8,,
89,1913-05-01,22.1,,
90,1913-05-02,17.8,,
91,1913-05-03,18.7,,
92,1913-05-04,20.5,,
93,1913-05-05,13.5,,
94,1913-05-06,13.6,,
95,1913-05-07,10.7,,
96,1913-05-08,15.2,,
97,1913-05-09,15.2,,
98,1913-05-10,13.9,,
99,1913-05-11,12.1,,
100,1913-05-12,14.3,,
101,1913-05-13,13.7,,
102,1913-05-14,12.6,,
103,1913-05-15,12.9,,
104,1913-05-16,15.2,,
105,1913-05-17,14.9,,
106,1913-05-18,12.8,,
107,1913-05-19,12.3,,
108,1913-05-20,13.8,,
109,1913-05-21,10.8,,
110,1913-05-22,14.5,,
111,1913-05-23,16.1,,
112,1913-05-24,16.5,,
113,1913-05-25,13.8,,
114,1913-05-26,15.1,,
115,1913-05-27,11.8,,
116,1913-05-28,8.4,,
117,1913-05-29,8.4,,
118,1913-05-30,9.9,,
119,1913-05-31,7.7,,
120,1913-06-01,10.3,,
121,1913-06-02,8.4,,
122,1913-06-03,8.6,,
123,1913-06-04,10.3,,
124,1913-06-05,10.1,,
125,1913-06-06,9.3,,
126,1913-06-07,11.8,,
127,1913-06-08,11.2,,
128,1913-06-09,7.3,,
129,1913-06-10,8.3,,
130,1913-06-11,11.1,,
131,1913-06-12,10.4,,
132,1913-06-13,12.2,,
133,1913-06-14,12.2,,
134,1913-06-15,14.4,,
135,1913-06-16,14.6,,
136,1913-06-17,14.1,,
137,1913-06-18,8.6,,
138,1913-06-19,9.3,,
139,1913-06-20,11.1,,
140,1913-06-21,13.1,,
141,1913-06-22,13.6,,
142,1913-06-23,14.8,,
143,1913-06-24,13.6,,
144,1913-06-25,13.6,,
145,1913-06-26,10.4,,
146,1913-06-27,8.9,,
147,1913-06-28,7.3,,
148,1913-06-29,9.4,,
149,1913-06-30,12.3,,
150,1913-07-01,12.1,,
151,1913-07-02,8.1,,
152,1913-07-03,10.9,,
153,1913-07-04,9.6,,
154,1913-07-05,10.7,,
155,1913-07-06,10.8,,
156,1913-07-07,12.9,,
157,1913-07-08,10.4,,
158,1913-07-09,9.3,,
159,1913-07-10,9.7,,
160,1913-07-11,8.9,,
161,1913-07-12,11.6,,
162,1913-07-13,9.5,,
163,1913-07-14,11.3,,
164,1913-07-15,12.2,,
165,1913-07-16,14.9,,
166,1913-07-17,14.6,,
167,1913-07-18,13.7,,
168,1913-07-19,14.8,,
169,1913-07-20,9.7,,
170,1913-07-21,9.0,,
171,1913-07-22,8.6,,
172,1913-07-23,8.9,,
173,1913-07-24,11.6,,
174,1913-07-25,10.5,,
175,1913-07-26,9.8,,
176,1913-07-27,13.8,,
177,1913-07-28,12.1,,
178,1913-07-29,11.3,,
179,1913-07-30,13.2,,
180,1913-07-31,13.1,,
181,1913-08-01,13.4,,
182,1913-08-02,11.6,,
183,1913-08-03,15.6,,
184,1913-08-04,9.2,,
185,1913-08-05,10.4,,
186,1913-08-06,15.4,,
187,1913-08-07,15.4,,
188,1913-08-08,15.2,,
189,1913-08-09,8.9,,
190,1913-08-10,7.9,,
191,1913-08-11,6.5,,
192,1913-08-12,7.6,,
193,1913-08-13,8.1,,
194,1913-08-14,8.4,,
195,1913-08-15,7.7,,
196,1913-08-16,12.4,,
197,1913-08-17,12.9,,
198,1913-08-18,11.9,,
199,1913-08-19,13.4,,
200,1913-08-20,12.8,,
201,1913-08-21,12.8,,
202,1913-08-22,8.3,,
203,1913-08-23,9.3,,
204,1913-08-24,10.1,,
205,1913-08-25,10.3,,
206,1913-08-26,11.3,,
207,1913-08-27,13.6,,
208,1913-08-28,15.9,,
209,1913-08-29,12.6,,
210,1913-08-30,17.2,,
211,1913-08-31,17.3,,
212,1913-09-01,11.1,,
213,1913-09-02,8.1,,
214,1913-09-03,9.7,,
215,1913-09-04,13.3,,
216,1913-09-05,13.0,,
217,1913-09-06,9.8,,
218,1913-09-07,10.6,,
219,1913-09-08,13.1,,
220,1913-09-09,15.3,,
221,1913-09-10,16.8,,
222,1913-09-11,18.9,,
223,1913-09-12,22.2,,
224,1913-09-13,23.9,,
225,1913-09-14,14.7,,
226,1913-09-15,16.6,,
227,1913-09-16,21.3,,
228,1913-09-17,17.0,,
229,1913-09-18,24.9,,
230,1913-09-19,21.0,,
231,1913-09-20,14.5,,
232,1913-09-21,13.6,,
233,1913-09-22,12.7,,
234,1913-09-23,12.5,,
235,1913-09-24,12.6,,
236,1913-09-25,18.4,,
237,1913-09-26,17.8,,
238,1913-09-27,10.8,,
239,1913-09-28,9.5,,
240,1913-09-29,14.0,,
241,1913-09-30,14.1,,
242,1913-10-01,16.0,,
243,1913-10-02,17.5,,
244,1913-10-03,18.0,,
245,1913-10-04,18.3,,
246,1913-10-05,20.5,,
247,1913-10-06,23.9,,
248,1913-10-07,25.4,,
249,1913-10-08,22.5,,
250,1913-10-09,22.0,,
251,1913-10-10,26.8,,
252,1913-10-11,27.8,,
253,1913-10-12,25.4,,
254,1913-10-13,24.3,,
255,1913-10-14,24.3,,
256,1913-10-15,24.3,,
257,1913-10-16,16.1,,
258,1913-10-17,15.9,,
259,1913-10-18,15.6,,
260,1913-10-19,17.6,,
261,1913-10-20,21.8,,
262,1913-10-21,25.0,,
263,1913-10-22,26.5,,
264,1913-10-23,24.0,,
265,1913-10-24,27.8,,
266,1913-10-25,25.1,,
267,1913-10-26,26.0,,
268,1913-10-27,27.3,,
269,1913-10-28,23.3,,
270,1913-10-29,19.4,,
271,1913-10-30,20.2,,
272,1913-10-31,21.0,,
273,1913-11-01,21.3,,
274,1913-11-02,21.2,,
275,1913-11-03,20.5,,
276,1913-11-04,22.3,,
277,1913-11-05,18.5,,
278,1913-11-06,16.3,,
279,1913-11-07,19.2,,
280,1913-11-08,19.9,,
281,1913-11-09,20.5,,
282,1913-11-10,24.0,,
283,1913-11-11,26.7,,
284,1913-11-12,26.8,,
285,1913-11-13,23.8,,
286,1913-11-14,18.0,,
287,1913-11-15,18.8,,
288,1913-11-16,20.0,,
289,1913-11-17,25.3,,
290,1913-11-18,30.4,,
291,1913-11-19,23.9,,
292,1913-11-20,25.4,,
293,1913-11-21,23.4,,
294,1913-11-22,23.4,,
295,1913-11-23,24.1,,
296,1913-11-24,21.4,,
297,1913-11-25,23.5,,
298,1913-11-26,22.8,,
299,1913-11-27,24.5,,
300,1913-11-28,28.6,,
301,1913-11-29,27.4,,
302,1913-11-30,28.6,,
303,1913-12-01,30.0,,
304,1913-12-02,30.1,,
305,1913-12-03,33.1,,
306,1913-12-04,35.3,,
307,1913-12-05,35.5,,
308,1913-12-06,30.5,,
309,1913-12-07,26.9,,
310,1913-12-08,27.5,,
311,1913-12-09,29.9,,
312,1913-12-10,27.9,,
313,1913-12-11,29.1,,
314,1913-12-12,29.7,,
315,1913-12-13,29.3,,
316,1913-12-14,31.4,,
317,1913-12-15,32.3,,
318,1913-12-16,28.0,,
319,1913-12-17,28.4,,
320,1913-12-18,23.4,,
321,1913-12-19,20.5,,
322,1913-12-20,17.5,,
323,1913-12-21,20.4,,
324,1913-12-22,23.0,,
325,1913-12-23,26.5,,
326,1913-12-24,29.5,,
327,1913-12-25,29.0,,
328,1913-12-26,26.0,,
329,1913-12-27,23.0,,
330,1913-12-28,25.0,,
331,1913-12-29,24.2,,
332,1913-12-30,27.8,,
333,1913-12-31,28.6,,
334,1914-01-01,29.5,,
335,1914-01-02,31.0,,
336,1914-01-03,31.7,,
337,1914-01-04,32.7,,
338,1914-01-05,32.0,,
