,date,mean temperature (degC)
0,1975-03-01,28.0
1,1975-03-02,30.0
2,1975-03-03,32.7
3,1975-03-04,31.3
4,1975-03-05,31.2
5,1975-03-06,31.4
6,1975-03-07,33.2
7,1975-03-08,33.8
8,1975-03-09,30.8
9,1975-03-10,30.5
10,1975-03-11,33.2
11,1975-03-12,32.5
12,1975-03-13,34.0
13,1975-03-14,34.4
14,1975-03-15,34.2
15,1975-03-16,28.7
16,1975-03-17,30.3
17,1975-03-18,30.5
18,1975-03-19,30.5
19,1975-03-20,31.4
20,1975-03-21,33.8
21,1975-03-22,31.3
22,1975-03-23,30.1
23,1975-03-24,31.7
24,1975-03-25,30.1
25,1975-03-26,30.5
26,1975-03-27,27.7
27,1975-03-28,28.7
28,1975-03-29,29.2
29,1975-03-30,28.4
30,1975-03-31,29.9
31,1975-04-01,27.4
32,1975-04-02,26.6
33,1975-04-03,26.8
34,1975-04-04,29.2
35,1975-04-05,30.5
36,1975-04-06,29.8
37,1975-04-07,31.3
38,1975-04-08,29.3
39,1975-04-09,28.1
40,1975-04-10,28.3
41,1975-04-11,29.8
42,1975-04-12,31.3
43,1975-04-13,30.2
44,1975-04-14,28.1
45,1975-04-15,27.9
46,1975-04-16,29.4
47,1975-04-17,28.4
48,1975-04-18,28.9
49,1975-04-19,27.4
50,1975-04-20,28.0
51,1975-04-21,28.5
52,1975-04-22,28.4
53,1975-04-23,28.0
54,1975-04-24,27.5
55,1975-04-25,27.3
56,1975-04-26,26.3
57,1975-04-27,26.3
58,1975-04-28,26.3
59,1975-04-29,26.9
60,1975-04-30,28.3
61,1975-05-01,27.8
62,1975-05-02,25.5
63,1975-05-03,26.1
64,1975-05-04,26.6
65,1975-05-05,27.8
66,1975-05-06,27.5
67,1975-05-07,28.4
68,1975-05-08,26.8
69,1975-05-09,24.9
70,1975-05-10,26.3
71,1975-05-11,24.6
72,1975-05-12,23.0
73,1975-05-13,22.8
74,1975-05-14,24.2
75,1975-05-15,23.7
76,1975-05-16,22.9
77,1975-05-17,22.8
78,1975-05-18,21.8
79,1975-05-19,22.1
80,1975-05-20,23.1
81,1975-05-21,23.8
82,1975-05-22,24.1
83,1975-05-23,23.4
84,1975-05-24,23.2
85,1975-05-25,23.5
86,1975-05-26,21.3
87,1975-05-27,21.9
88,1975-05-28,22.5
89,1975-05-29,23.0
90,1975-05-30,22.6
91,1975-05-31,23.0
92,1975-06-01,23.0
93,1975-06-02,23.0
94,1975-06-03,25.1
95,1975-06-04,25.6
96,1975-06-05,24.0
97,1975-06-06,24.1
98,1975-06-07,20.5
99,1975-06-08,19.4
100,1975-06-09,19.7
101,1975-06-10,19.8
102,1975-06-11,22.4
103,1975-06-12,22.0
104,1975-06-13,21.2
105,1975-06-14,20.3
106,1975-06-15,19.0
107,1975-06-16,18.0
108,1975-06-17,19.5
109,1975-06-18,17.7
110,1975-06-19,16.2
111,1975-06-20,17.6
112,1975-06-21,21.2
113,1975-06-22,24.2
114,1975-06-23,19.8
115,1975-06-24,17.1
116,1975-06-25,18.9
117,1975-06-26,21.3
118,1975-06-27,21.5
119,1975-06-28,19.9
120,1975-06-29,19.2
121,1975-06-30,21.2
122,1975-07-01,20.0
123,1975-07-02,20.1
124,1975-07-03,20.0
125,1975-07-04,21.2
126,1975-07-05,21.7
127,1975-07-06,20.0
128,1975-07-07,21.0
129,1975-07-08,22.0
130,1975-07-09,21.3
131,1975-07-10,21.0
132,1975-07-11,22.5
133,1975-07-12,22.6
134,1975-07-13,19.8
135,1975-07-14,17.2
136,1975-07-15,16.5
137,1975-07-16,19.0
138,1975-07-17,20.9
139,1975-07-18,21.1
140,1975-07-19,20.6
141,1975-07-20,19.5
142,1975-07-21,20.9
143,1975-07-22,22.3
144,1975-07-23,24.4
145,1975-07-24,22.0
146,1975-07-25,22.6
147,1975-07-26,22.6
148,1975-07-27,22.5
149,1975-07-28,22.8
150,1975-07-29,22.9
151,1975-07-30,21.6
152,1975-07-31,18.7
153,1975-08-01,15.4
154,1975-08-02,15.6
155,1975-08-03,16.9
156,1975-08-04,17.3
157,1975-08-05,18.9
158,1975-08-06,19.5
159,1975-08-07,22.0
160,1975-08-08,21.3
161,1975-08-09,18.3
162,1975-08-10,18.9
163,1975-08-11,21.2
164,1975-08-12,20.9
165,1975-08-13,20.3
166,1975-08-14,21.1
167,1975-08-15,20.3
168,1975-08-16,20.3
169,1975-08-17,19.8
170,1975-08-18,20.8
171,1975-08-19,22.1
172,1975-08-20,20.0
173,1975-08-21,21.8
174,1975-08-22,22.1
175,1975-08-23,22.8
176,1975-08-24,21.7
177,1975-08-25,22.4
178,1975-08-26,22.2
179,1975-08-27,22.2
