,date,mean temperature (degC),site number,site name
0,,15.8,38026.0,BIRDSVILLE AIRPORT
1,1954-05-11,15.8,,
2,1954-05-12,16.3,,
3,1954-05-13,17.4,,
4,1954-05-14,19.0,,
5,1954-05-15,20.7,,
6,1954-05-16,16.4,,
7,1954-05-17,18.4,,
8,1954-05-18,18.0,,
9,1954-05-19,13.6,,
10,1954-05-20,14.4,,
11,1954-05-21,11.6,,
12,1954-05-22,12.6,,
13,1954-05-23,20.5,,
14,1954-05-24,20.5,,
15,1954-05-25,20.5,,
16,1954-05-26,19.0,,
17,1954-05-27,19.3,,
18,1954-05-28,21.0,,
19,1954-05-29,21.7,,
20,1954-05-30,22.8,,
21,1954-05-31,22.8,,
22,1954-06-01,22.8,,
23,1954-06-02,15.6,,
24,1954-06-03,12.5,,
25,1954-06-04,10.6,,
26,1954-06-05,9.4,,
27,1954-06-06,11.3,,
28,1954-06-07,9.7,,
29,1954-06-08,11.9,,
30,1954-06-09,11.2,,
31,1954-06-10,13.2,,
32,1954-06-11,10.7,,
33,1954-06-12,10.8,,
34,1954-06-13,10.1,,
35,1954-06-14,14.7,,
36,1954-06-15,17.5,,
37,1954-06-16,14.1,,
38,1954-06-17,10.7,,
39,1954-06-18,9.8,,
40,1954-06-19,10.3,,
41,1954-06-20,14.1,,
42,1954-06-21,16.1,,
43,1954-06-22,16.5,,
44,1954-06-23,16.7,,
45,1954-06-24,17.0,,
46,1954-06-25,15.7,,
47,1954-06-26,15.1,,
48,1954-06-27,14.4,,
49,1954-06-28,16.4,,
50,1954-06-29,17.6,,
51,1954-06-30,15.8,,
52,1954-07-01,12.8,,
53,1954-07-02,11.2,,
54,1954-07-03,9.7,,
55,1954-07-04,9.0,,
56,1954-07-05,9.2,,
57,1954-07-06,9.7,,
58,1954-07-07,11.1,,
59,1954-07-08,11.2,,
60,1954-07-09,12.3,,
61,1954-07-10,11.1,,
62,1954-07-11,10.4,,
63,1954-07-12,12.6,,
64,1954-07-13,15.4,,
65,1954-07-14,19.0,,
66,1954-07-15,16.7,,
67,1954-07-16,18.4,,
68,1954-07-17,16.9,,
69,1954-07-18,16.9,,
70,1954-07-19,16.9,,
71,1954-07-20,16.9,,
72,1954-07-21,16.9,,
73,1954-07-22,16.9,,
74,1954-07-23,16.9,,
75,1954-07-24,16.9,,
76,1954-07-25,16.9,,
