,f (/years),component
0,0.0,(291025.3999999999+5.7625015870144125e-12j)
1,0.020475950218634378,(-2164.992431192627+2777.514536769094j)
2,0.040951900437268755,(-737.7694243496155+302.75759588997096j)
3,0.06142785065590313,(-2273.2613023898243+2659.4410749126487j)
4,0.08190380087453751,(-3310.8991480853924+590.0805846603134j)
5,0.10237975109317188,(-2336.332943278652-952.7018662127527j)
6,0.12285570131180626,(577.1321009734385+2547.60426422961j)
7,0.14333165153044064,(-59.702237798434645+831.0847302325947j)
8,0.16380760174907502,(77.55973872530622+1184.1647023468495j)
9,0.18428355196770937,(-1124.5318821652638-538.6710590796066j)
10,0.20475950218634376,(865.1618468878052+1616.1086198107084j)
11,0.22523545240497814,(1169.9144677738911+687.9901207753029j)
12,0.24571140262361252,(-952.3938433649469+398.6080486392885j)
13,0.26618735284224687,(-442.0833476206992-344.45934921383696j)
14,0.2866633030608813,(943.7076240543869+632.2545837464046j)
15,0.30713925327951563,(-1072.280247841837+1526.5594760035165j)
16,0.32761520349815004,(-540.0158677860182-589.0352168763299j)
17,0.3480911537167844,(-69.5743819931724-412.8605566029198j)
18,0.36856710393541875,(-173.66854889183716+372.1884829780846j)
19,0.3890430541540531,(2115.3218775944247-1673.7030275866507j)
20,0.4095190043726875,(-1383.5924615624212-48.003208515534425j)
21,0.4299949545913219,(-507.6779503452513+275.0477143425426j)
22,0.4504709048099563,(-1071.6530519797182-815.6362765457077j)
23,0.4709468550285906,(-229.75139734381366-740.9669695248059j)
24,0.49142280524722504,(895.2608831266004+648.6186165256757j)
25,0.5118987554658595,(-1111.2850687501077-928.1577005294032j)
26,0.5323747056844937,(-741.8431523669825-991.5277582169232j)
27,0.5528506559031281,(-918.4643364030363-227.3795696167559j)
28,0.5733266061217626,(-2324.679892542255+1095.4001344695757j)
29,0.5938025563403969,(-158.50680815864703-609.2484070397046j)
30,0.6142785065590313,(-536.0342137543909-78.04149707143524j)
31,0.6347544567776656,(-672.6491131360185+463.2098555517809j)
32,0.6552304069963001,(1259.6938109324253+52.639371253313556j)
33,0.6757063572149344,(-3095.889253057986+1171.6701308904749j)
34,0.6961823074335688,(-1118.092358715529+1126.0881895876562j)
35,0.7166582576522031,(-1062.071254056803-88.81974126056576j)
36,0.7371342078708375,(-1771.26865414248-87.94562789566271j)
37,0.757610158089472,(-1669.2803070128937-61.24266597228694j)
38,0.7780861083081062,(-1994.6022904405047+412.17296129233625j)
39,0.7985620585267407,(-2176.993456820077-520.5913517703771j)
40,0.819038008745375,(-1548.093694902316-135.03949471918799j)
41,0.8395139589640095,(-2304.7446254144543+316.00169124623244j)
42,0.8599899091826438,(-2305.9104646803276+404.93347111845475j)
43,0.8804658594012781,(-2405.976971130973+466.7080691837959j)
44,0.9009418096199125,(-3240.237532212467-997.7842933142233j)
45,0.921417759838547,(-4316.166833072819+5.153316343567212j)
46,0.9418937100571813,(-6182.141308404584-1259.1600495639495j)
47,0.9623696602758156,(-8543.690062103447-1074.5973802452345j)
48,0.9828456104944501,(-13373.990098397147-3393.3204888353575j)
49,1.0033215607130845,(79148.16080786525+20316.092744640373j)
50,1.023797510931719,(10035.332922422618+2952.359644961488j)
51,1.0442734611503532,(5789.492214282045+2378.2628861978633j)
52,1.0647494113689875,(4389.66324434566+2659.2127050720073j)
53,1.085225361587622,(456.7468649842843+197.4895057135184j)
54,1.1057013118062562,(1093.6139066664457+1611.3449006309193j)
55,1.1261772620248907,(242.7515691403761+815.1215665226076j)
56,1.1466532122435251,(1432.5000595652707-743.7848360999244j)
57,1.1671291624621596,(2007.8894011596722-484.56348247327526j)
58,1.1876051126807938,(2106.4329136220604+215.23880989152872j)
59,1.208081062899428,(893.4927078924884+337.3801170945077j)
60,1.2285570131180625,(1565.875136246705+28.300520961166626j)
61,1.249032963336697,(-100.68710159823672+2610.1601260874786j)
62,1.2695089135553312,(1875.815945722317+677.2986590585557j)
63,1.2899848637739657,(-110.9064101503248-562.3632215355059j)
64,1.3104608139926002,(1116.028605690003+1042.3796547728439j)
65,1.3309367642112344,(784.1451670014623+493.44894283564497j)
66,1.3514127144298689,(150.64949082235273+1885.9905899231208j)
67,1.3718886646485031,(-1743.5011576384682+865.3162867794841j)
68,1.3923646148671376,(353.1104678410136+2042.158164679102j)
