,f (/years),component
0,0.0,(391556.3999999999+8.476774837617995e-12j)
1,0.020475950218634378,(716.8233283398274+2394.694083787431j)
2,0.040951900437268755,(928.1528230151808+832.6563362003254j)
3,0.06142785065590313,(198.02339231638095+1188.4425159275954j)
4,0.08190380087453751,(1504.9335670789467+1264.6317260201142j)
5,0.10237975109317188,(-498.8724720937777-250.36790615791242j)
6,0.12285570131180626,(-428.0725436795587+387.3326658397239j)
7,0.14333165153044064,(870.317387826705-112.93685571315766j)
8,0.16380760174907502,(22.11648310911696+741.8174965877215j)
9,0.18428355196770937,(-1276.3558529894829+461.68809376819814j)
10,0.20475950218634376,(-505.5616434656897+1008.2154795812229j)
11,0.22523545240497814,(-188.33116238995814-189.5620177232521j)
12,0.24571140262361252,(-729.97453804486-199.14353745566578j)
13,0.26618735284224687,(-444.6218949825834-912.536211803833j)
14,0.2866633030608813,(1182.8693922238228+440.2567437243478j)
15,0.30713925327951563,(-114.93148200570819-178.121072047726j)
16,0.32761520349815004,(-723.6815892158627+889.1908370820676j)
17,0.3480911537167844,(-101.64752988378127-1203.7519591285145j)
18,0.36856710393541875,(-225.35173000956448-738.2473032668231j)
19,0.3890430541540531,(1071.5119193075614-650.3989947206306j)
20,0.4095190043726875,(-1951.3255045164763+454.01182334758414j)
21,0.4299949545913219,(-114.62575148273484-403.21512601103564j)
22,0.4504709048099563,(-8.844493033436933+789.7438707254198j)
23,0.4709468550285906,(-437.9275009934611-52.89086053107805j)
24,0.49142280524722504,(-982.3444703941785-1077.1496675337562j)
25,0.5118987554658595,(163.0157592354531-92.35485458163893j)
26,0.5323747056844937,(-163.2906112265976-375.03047577370756j)
27,0.5528506559031281,(-698.0503971079709+572.6145592609797j)
28,0.5733266061217626,(-238.73211259818243-43.622056276706374j)
29,0.5938025563403969,(1552.9391970116465-454.34376213723846j)
30,0.6142785065590313,(25.16442175831778-291.9542011678048j)
31,0.6347544567776656,(-555.8013767861867-1142.1621445294284j)
32,0.6552304069963001,(-581.6493126960294-2017.3051095455344j)
33,0.6757063572149344,(-614.7850501718686+805.7199482882479j)
34,0.6961823074335688,(-1367.094836465178+282.41896810458775j)
35,0.7166582576522031,(-1447.8322483154511-336.34862583378253j)
36,0.7371342078708375,(385.2623872262369-999.2072390085409j)
37,0.757610158089472,(-730.1321919987038-812.5776051418795j)
38,0.7780861083081062,(-341.7662991636932-1041.8647049667074j)
39,0.7985620585267407,(-159.53831014231733-378.75102450199796j)
40,0.819038008745375,(-60.38134335760475+126.67140323018563j)
41,0.8395139589640095,(-740.7229805917902+209.22303962108336j)
42,0.8599899091826438,(-968.1945322171308+839.6923663140497j)
43,0.8804658594012781,(-1202.3714776769013-64.64276400473102j)
44,0.9009418096199125,(-795.0851202852704-521.9394643380615j)
45,0.921417759838547,(-1321.4473386053942+714.3726385746261j)
46,0.9418937100571813,(-1657.7182829460385+502.84775748971094j)
47,0.9623696602758156,(-2271.4686160934166+35.33794230366436j)
48,0.9828456104944501,(-5057.957452609027+180.71083066054348j)
49,1.0033215607130845,(23636.525908215284+2168.6421579434573j)
50,1.023797510931719,(3575.740849687025-82.89808400269976j)
51,1.0442734611503532,(1840.9332515449435-549.9309244409224j)
52,1.0647494113689875,(738.1189082959679+221.01866403844153j)
53,1.085225361587622,(-163.80195974772755+272.2353907609365j)
54,1.1057013118062562,(384.9629447563952-101.7497756241372j)
55,1.1261772620248907,(1326.0643057602701-422.47677287372903j)
56,1.1466532122435251,(-315.606947780776+202.2092857607848j)
57,1.1671291624621596,(-308.7157564590519-249.44155944219432j)
58,1.1876051126807938,(779.4899556547546+205.80697677516577j)
59,1.208081062899428,(505.7242444082925-854.2283952428147j)
60,1.2285570131180625,(431.94526072598467-133.76029270642468j)
