,f (/days),component
0,0.0,(180702.29999999996+3.1938895972416503e-12j)
1,5.606009642336585e-05,(73.35346490317303+1774.9630752222608j)
2,0.0001121201928467317,(-1026.6489464464285+439.4393830501624j)
3,0.00016818028927009755,(-1166.2497194551604+499.3352578843115j)
4,0.0002242403856934634,(-2318.9133929247696+745.9952163210393j)
5,0.00028030048211682924,(-3135.689807002239-645.6343501646022j)
6,0.0003363605785401951,(338.53928340715936+2157.5841678810193j)
7,0.00039242067496356094,(710.635623241822-741.4445801927767j)
8,0.0004484807713869268,(-352.65332239937135+416.58605799432456j)
9,0.0005045408678102926,(-772.3014425468185-841.3494980988804j)
10,0.0005606009642336585,(570.839136583712-395.4472552468671j)
11,0.0006166610606570243,(767.2543043402798+104.4645998303163j)
12,0.0006727211570803902,(-671.5937061684837+1151.2828691463806j)
13,0.000728781253503756,(-804.7521621963035-19.58596676020679j)
14,0.0007848413499271219,(0.49175343300333196+509.4165537195641j)
15,0.0008409014463504877,(-451.98635011214026+1026.302700358361j)
16,0.0008969615427738536,(-1849.07562601181+520.9760835813196j)
17,0.0009530216391972194,(581.5179662591278-1056.8212694184122j)
18,0.0010090817356205853,(23.166147143124615-383.1885717392392j)
19,0.001065141832043951,(1539.4400050367417-1560.487550505545j)
20,0.001121201928467317,(-2272.005266467761-2062.217747759906j)
21,0.001177262024890683,(-113.5564453886754+515.9903117453129j)
22,0.0012333221213140487,(-2137.9972455622274-483.8629001194392j)
23,0.0012893822177374144,(-7.222983513694082-630.7702542361444j)
24,0.0013454423141607804,(960.2708180690619-216.72043076903068j)
25,0.0014015024105841463,(-928.7047411029621-1423.9068058315547j)
26,0.001457562507007512,(95.7140641044814-1697.5493714857296j)
27,0.0015136226034308778,(-434.08692616641974+582.9375480515306j)
28,0.0015696826998542438,(-1531.0705162614279+131.05855397385653j)
29,0.0016257427962776097,(278.5743253049683+845.8975178294871j)
30,0.0016818028927009755,(-13.29037691698834-146.42302064153003j)
31,0.0017378629891243412,(-423.579516657595-252.93390584343342j)
32,0.0017939230855477072,(1137.1673802996222-893.6777178248154j)
33,0.0018499831819710731,(-2463.618117375693+1048.7812728705708j)
34,0.0019060432783944389,(-1119.355891346064+210.40478654326455j)
35,0.0019621033748178046,(-854.2495565504538+216.47122601665995j)
36,0.0020181634712411706,(-1176.7439073325374+380.6162363543965j)
37,0.0020742235676645365,(-1262.0280672334752-562.6310066591382j)
38,0.002130283664087902,(-1225.328091661113+581.3156773006574j)
39,0.002186343760511268,(-2112.875572391562-654.576306243143j)
40,0.002242403856934634,(-917.2270795338744+293.4579145742802j)
41,0.002298463953358,(-1633.5996167900853+1349.0088852693452j)
42,0.002354524049781366,(-1298.290241966808+1176.831208068058j)
43,0.0024105841462047314,(-2642.1826295079827+349.62348954659564j)
44,0.0024666442426280973,(-3252.7954345861435-52.2145636667085j)
45,0.0025227043390514633,(-3520.510996122598+717.9050664493054j)
46,0.002578764435474829,(-5048.8622554026115-865.7956302638465j)
47,0.0026348245318981948,(-7326.5223238052495+839.670448866184j)
48,0.0026908846283215607,(-10518.379201187185-2055.1600794118126j)
49,0.0027469447247449267,(65437.99747526525+10395.30199984703j)
50,0.0028030048211682927,(8772.100644813683+2726.905836673521j)
51,0.002859064917591658,(5229.528024453412+1510.5759006282092j)
52,0.002915125014015024,(4267.84458915938+1214.6594610977666j)
53,0.00297118511043839,(-462.33026815295585-423.0528194215037j)
54,0.0030272452068617556,(51.60885361563959+761.1785310537762j)
