,f (/days),component
0,0.0,(300786.1+7.695177828281885e-12j)
1,5.606009642336585e-05,(972.2738001249933+2705.817865116444j)
2,0.0001121201928467317,(519.7273311746175+2680.0735744169065j)
3,0.00016818028927009755,(-888.9783863081493+2433.1670912851105j)
4,0.0002242403856934634,(-418.64991223925085+1675.4683803151768j)
5,0.00028030048211682924,(608.8676870275116-1765.2917048168633j)
6,0.0003363605785401951,(-495.70384089224757+956.4004338050266j)
7,0.00039242067496356094,(795.7716156340417+1467.315070785215j)
8,0.0004484807713869268,(329.38261276284265+2691.2600455786633j)
9,0.0005045408678102926,(-1006.26148397629-1151.2913790709677j)
10,0.0005606009642336585,(-542.3825197736508+370.77447219364853j)
11,0.0006166610606570243,(810.277420842192-564.9191855621688j)
12,0.0006727211570803902,(-363.2164757683429-740.4247990396915j)
13,0.000728781253503756,(-671.0664536517844-1793.7565085681717j)
14,0.0007848413499271219,(539.6305823489038+617.4930841497777j)
15,0.0008409014463504877,(-468.1004214307621+461.4956608278273j)
16,0.0008969615427738536,(-244.86984617132535+1224.0701126539582j)
17,0.0009530216391972194,(244.62046056183763-1140.6428593107303j)
18,0.0010090817356205853,(-187.72373707834635-657.6416832515143j)
19,0.001065141832043951,(679.8557621958541+23.240640119638115j)
20,0.001121201928467317,(-1584.0695940806877+1249.365875184297j)
21,0.001177262024890683,(-306.37934464261696+170.58207645203083j)
22,0.0012333221213140487,(633.5412681914394+956.4017830703923j)
23,0.0012893822177374144,(-521.2830342181841+487.6500435831856j)
24,0.0013454423141607804,(-229.06158222922704-1602.7856346848434j)
25,0.0014015024105841463,(-521.2612730954712+33.9524739552573j)
26,0.001457562507007512,(-319.2755712470954-1159.1826225465209j)
27,0.0015136226034308778,(-1021.5574179134469-59.34333222682349j)
28,0.0015696826998542438,(-969.3757115350694+24.698541587492073j)
29,0.0016257427962776097,(2267.571520532601-200.56707764811293j)
30,0.0016818028927009755,(-13.458922607256397-556.9725447454936j)
31,0.0017378629891243412,(106.26990913369784-980.8886294640618j)
32,0.0017939230855477072,(-466.4754916738477-2776.6860761000007j)
33,0.0018499831819710731,(-416.20449206913116+454.1600349226293j)
34,0.0019060432783944389,(-1121.5904244300448+1579.4362293031704j)
35,0.0019621033748178046,(-1100.0201771318357-589.5347898967151j)
36,0.0020181634712411706,(-717.1333874998043-426.4921467148463j)
37,0.0020742235676645365,(-673.5808978181226-1382.818117599056j)
38,0.002130283664087902,(-1868.1138038633255-149.7424727437787j)
39,0.002186343760511268,(-1067.75089228908+280.13835056614295j)
40,0.002242403856934634,(-759.5017541980633-833.6220387710022j)
41,0.002298463953358,(-1511.9798739791477+705.7608035656425j)
42,0.002354524049781366,(-723.4359707796143+592.3806123983317j)
43,0.0024105841462047314,(-1736.1712641507881-303.2417532780553j)
44,0.0024666442426280973,(-1298.7838341795302-1082.7122189094034j)
45,0.0025227043390514633,(-1616.1765905342727-457.31214944770005j)
46,0.002578764435474829,(-2494.1311200155005-436.81221481770456j)
47,0.0026348245318981948,(-3859.3496788706084-434.4347804275735j)
48,0.0026908846283215607,(-7359.962107345406-2248.076708333035j)
