,date,maximum temperature (degC),site number,site name
0,,35.4,16098.0,TARCOOLA AERO
1,1921-11-02,35.4,,
2,1921-11-03,41.4,,
3,1921-11-04,31.4,,
4,1921-11-05,27.6,,
5,1921-11-06,25.7,,
6,1921-11-07,25.7,,
7,1921-11-08,29.1,,
8,1921-11-09,31.4,,
9,1921-11-10,25.3,,
10,1921-11-11,30.0,,
11,1921-11-12,36.1,,
12,1921-11-13,41.4,,
13,1921-11-14,38.2,,
14,1921-11-15,33.6,,
15,1921-11-16,37.9,,
16,1921-11-17,42.0,,
17,1921-11-18,42.5,,
18,1921-11-19,23.7,,
19,1921-11-20,22.2,,
20,1921-11-21,28.1,,
21,1921-11-22,32.1,,
22,1921-11-23,31.1,,
23,1921-11-24,35.7,,
24,1921-11-25,27.6,,
25,1921-11-26,23.7,,
26,1921-11-27,25.3,,
27,1921-11-28,26.8,,
28,1921-11-29,27.6,,
29,1921-11-30,34.6,,
30,1921-12-01,24.7,,
31,1921-12-02,20.3,,
32,1921-12-03,19.2,,
33,1921-12-04,26.7,,
34,1921-12-05,31.1,,
35,1921-12-06,25.6,,
36,1921-12-07,24.7,,
37,1921-12-08,26.7,,
38,1921-12-09,30.7,,
39,1921-12-10,32.6,,
40,1921-12-11,35.2,,
41,1921-12-12,39.1,,
42,1921-12-13,33.2,,
43,1921-12-14,33.2,,
44,1921-12-15,29.6,,
45,1921-12-16,31.1,,
46,1921-12-17,35.2,,
47,1921-12-18,35.2,,
48,1921-12-19,34.7,,
49,1921-12-20,34.7,,
50,1921-12-21,30.7,,
51,1921-12-22,33.5,,
52,1921-12-23,35.2,,
53,1921-12-24,36.7,,
54,1921-12-25,37.7,,
55,1921-12-26,30.7,,
56,1921-12-27,31.1,,
57,1921-12-28,35.2,,
58,1921-12-29,30.7,,
59,1921-12-30,30.2,,
60,1921-12-31,34.0,,
61,1922-01-01,36.1,,
62,1922-01-02,36.8,,
63,1922-01-03,36.8,,
64,1922-01-04,23.7,,
65,1922-01-05,22.0,,
66,1922-01-06,23.7,,
67,1922-01-07,25.4,,
68,1922-01-08,27.9,,
69,1922-01-09,32.3,,
70,1922-01-10,36.8,,
71,1922-01-11,31.5,,
72,1922-01-12,27.1,,
73,1922-01-13,29.1,,
74,1922-01-14,31.0,,
75,1922-01-15,33.4,,
76,1922-01-16,36.4,,
77,1922-01-17,38.6,,
78,1922-01-18,43.3,,
79,1922-01-19,31.0,,
80,1922-01-20,35.2,,
81,1922-01-21,40.5,,
82,1922-01-22,30.3,,
83,1922-01-23,29.1,,
84,1922-01-24,27.9,,
85,1922-01-25,38.0,,
86,1922-01-26,31.5,,
87,1922-01-27,32.9,,
88,1922-01-28,32.9,,
89,1922-01-29,31.1,,
90,1922-01-30,33.4,,
91,1922-01-31,35.3,,
92,1922-02-01,37.0,,
93,1922-02-02,37.2,,
94,1922-02-03,38.3,,
95,1922-02-04,39.6,,
96,1922-02-05,39.5,,
97,1922-02-06,38.0,,
98,1922-02-07,37.8,,
99,1922-02-08,39.6,,
100,1922-02-09,42.7,,
101,1922-02-10,43.9,,
102,1922-02-11,44.6,,
103,1922-02-12,44.5,,
104,1922-02-13,34.6,,
105,1922-02-14,31.3,,
106,1922-02-15,42.9,,
107,1922-02-16,29.8,,
108,1922-02-17,29.4,,
109,1922-02-18,30.2,,
110,1922-02-19,34.6,,
111,1922-02-20,38.2,,
112,1922-02-21,34.6,,
113,1922-02-22,31.9,,
114,1922-02-23,34.5,,
115,1922-02-24,36.2,,
116,1922-02-25,32.5,,
117,1922-02-26,25.1,,
118,1922-02-27,26.2,,
119,1922-02-28,23.2,,
