,date,maximum temperature (degC),site number,site name
0,,17.5,84145.0,ORBOST
1,1938-01-03,17.5,,
2,1938-01-04,22.6,,
3,1938-01-05,20.7,,
4,1938-01-06,20.7,,
5,1938-01-07,14.8,,
6,1938-01-08,17.5,,
7,1938-01-09,26.3,,
8,1938-01-10,36.4,,
9,1938-01-11,22.6,,
10,1938-01-12,34.2,,
11,1938-01-13,28.8,,
12,1938-01-14,32.0,,
13,1938-01-15,25.1,,
14,1938-01-16,19.2,,
15,1938-01-17,20.7,,
16,1938-01-18,28.8,,
17,1938-01-19,32.9,,
18,1938-01-20,25.2,,
19,1938-01-21,19.2,,
20,1938-01-22,17.5,,
21,1938-01-23,20.1,,
22,1938-01-24,22.9,,
23,1938-01-25,27.9,,
24,1938-01-26,33.3,,
25,1938-01-27,28.8,,
26,1938-01-28,19.2,,
27,1938-01-29,20.1,,
28,1938-01-30,20.4,,
29,1938-01-31,29.4,,
30,1938-02-01,29.7,,
31,1938-02-02,23.5,,
32,1938-02-03,31.4,,
33,1938-02-04,25.6,,
34,1938-02-05,19.6,,
35,1938-02-06,22.9,,
36,1938-02-07,22.3,,
37,1938-02-08,22.3,,
38,1938-02-09,25.2,,
39,1938-02-10,24.3,,
40,1938-02-11,22.2,,
41,1938-02-12,21.3,,
42,1938-02-13,20.2,,
43,1938-02-14,18.1,,
44,1938-02-15,20.2,,
45,1938-02-16,28.0,,
46,1938-02-17,29.7,,
47,1938-02-18,30.6,,
48,1938-02-19,30.4,,
49,1938-02-20,32.2,,
50,1938-02-21,32.8,,
51,1938-02-22,26.4,,
52,1938-02-23,20.2,,
53,1938-02-24,26.4,,
54,1938-02-25,21.3,,
55,1938-02-26,18.1,,
56,1938-02-27,22.2,,
57,1938-02-28,23.5,,
58,1938-03-01,34.6,,
59,1938-03-02,20.5,,
60,1938-03-03,21.6,,
61,1938-03-04,25.0,,
62,1938-03-05,34.6,,
63,1938-03-06,25.0,,
64,1938-03-07,23.8,,
65,1938-03-08,21.6,,
66,1938-03-09,23.8,,
67,1938-03-10,20.5,,
68,1938-03-11,33.4,,
69,1938-03-12,21.4,,
70,1938-03-13,16.8,,
71,1938-03-14,13.7,,
72,1938-03-15,13.1,,
73,1938-03-16,18.9,,
74,1938-03-17,20.4,,
75,1938-03-18,20.5,,
76,1938-03-19,21.6,,
77,1938-03-20,21.4,,
78,1938-03-21,21.3,,
79,1938-03-22,25.0,,
80,1938-03-23,31.1,,
81,1938-03-24,32.6,,
82,1938-03-25,25.0,,
83,1938-03-26,20.4,,
84,1938-03-27,21.4,,
