,date,maximum temperature (degC),site number,site name
0,,10.8,18012.0,CEDUNA AMO
1,1939-07-03,10.8,,
2,1939-07-04,12.5,,
3,1939-07-05,14.5,,
4,1939-07-06,15.6,,
5,1939-07-07,16.7,,
6,1939-07-08,18.4,,
7,1939-07-09,15.2,,
8,1939-07-10,15.7,,
9,1939-07-11,15.7,,
10,1939-07-12,15.7,,
11,1939-07-13,15.7,,
12,1939-07-14,19.4,,
13,1939-07-15,19.4,,
14,1939-07-16,21.8,,
15,1939-07-17,16.2,,
16,1939-07-18,16.2,,
17,1939-07-19,16.2,,
18,1939-07-20,16.6,,
19,1939-07-21,15.6,,
20,1939-07-22,15.0,,
21,1939-07-23,15.8,,
22,1939-07-24,17.4,,
23,1939-07-25,17.4,,
24,1939-07-26,17.4,,
25,1939-07-27,15.9,,
26,1939-07-28,15.9,,
27,1939-07-29,20.5,,
28,1939-07-30,14.9,,
29,1939-07-31,14.8,,
30,1939-08-01,14.1,,
31,1939-08-02,15.4,,
32,1939-08-03,16.6,,
33,1939-08-04,18.8,,
34,1939-08-05,13.8,,
35,1939-08-06,15.3,,
36,1939-08-07,14.6,,
37,1939-08-08,13.8,,
38,1939-08-09,12.3,,
39,1939-08-10,12.9,,
40,1939-08-11,14.1,,
41,1939-08-12,18.6,,
42,1939-08-13,15.2,,
43,1939-08-14,15.6,,
44,1939-08-15,15.5,,
45,1939-08-16,22.5,,
46,1939-08-17,20.2,,
47,1939-08-18,17.7,,
48,1939-08-19,19.0,,
49,1939-08-20,23.4,,
50,1939-08-21,19.8,,
51,1939-08-22,15.5,,
52,1939-08-23,15.4,,
53,1939-08-24,23.6,,
54,1939-08-25,24.5,,
55,1939-08-26,16.9,,
56,1939-08-27,20.1,,
57,1939-08-28,14.0,,
58,1939-08-29,12.8,,
59,1939-08-30,14.0,,
60,1939-08-31,18.6,,
61,1939-09-01,15.3,,
62,1939-09-02,13.8,,
63,1939-09-03,15.1,,
64,1939-09-04,27.5,,
65,1939-09-05,27.5,,
66,1939-09-06,27.5,,
67,1939-09-07,23.2,,
68,1939-09-08,16.3,,
69,1939-09-09,15.2,,
70,1939-09-10,15.5,,
71,1939-09-11,23.6,,
72,1939-09-12,23.6,,
73,1939-09-13,23.6,,
74,1939-09-14,25.6,,
75,1939-09-15,16.9,,
76,1939-09-16,30.2,,
77,1939-09-17,18.1,,
78,1939-09-18,16.3,,
79,1939-09-19,16.3,,
80,1939-09-20,16.3,,
81,1939-09-21,14.8,,
82,1939-09-22,21.5,,
83,1939-09-23,25.5,,
84,1939-09-24,31.8,,
85,1939-09-25,16.7,,
86,1939-09-26,16.7,,
87,1939-09-27,16.7,,
88,1939-09-28,16.7,,
89,1939-09-29,16.2,,
90,1939-09-30,21.7,,
91,1939-10-01,27.4,,
92,1939-10-02,31.3,,
93,1939-10-03,31.3,,
94,1939-10-04,31.3,,
95,1939-10-05,20.4,,
96,1939-10-06,14.9,,
97,1939-10-07,17.0,,
98,1939-10-08,14.7,,
99,1939-10-09,26.6,,
100,1939-10-10,26.6,,
101,1939-10-11,26.6,,
102,1939-10-12,19.2,,
103,1939-10-13,16.3,,
104,1939-10-14,17.1,,
105,1939-10-15,16.3,,
106,1939-10-16,19.3,,
107,1939-10-17,19.3,,
108,1939-10-18,19.3,,
109,1939-10-19,24.4,,
110,1939-10-20,29.3,,
111,1939-10-21,29.7,,
112,1939-10-22,29.7,,
113,1939-10-23,29.7,,
114,1939-10-24,29.7,,
115,1939-10-25,29.7,,
116,1939-10-26,29.7,,
117,1939-10-27,31.5,,
118,1939-10-28,27.4,,
119,1939-10-29,27.4,,
120,1939-10-30,27.4,,
121,1939-10-31,19.0,,
122,1939-11-01,19.0,,
123,1939-11-02,25.1,,
124,1939-11-03,18.2,,
125,1939-11-04,15.7,,
126,1939-11-05,15.4,,
127,1939-11-06,15.0,,
128,1939-11-07,16.0,,
129,1939-11-08,16.5,,
130,1939-11-09,17.2,,
131,1939-11-10,22.0,,
132,1939-11-11,26.4,,
133,1939-11-12,32.4,,
134,1939-11-13,33.4,,
135,1939-11-14,30.9,,
136,1939-11-15,19.0,,
137,1939-11-16,19.0,,
138,1939-11-17,31.0,,
139,1939-11-18,30.8,,
140,1939-11-19,28.9,,
141,1939-11-20,18.1,,
142,1939-11-21,18.7,,
143,1939-11-22,23.1,,
144,1939-11-23,19.2,,
145,1939-11-24,22.0,,
146,1939-11-25,33.7,,
147,1939-11-26,22.3,,
148,1939-11-27,18.5,,
149,1939-11-28,18.4,,
150,1939-11-29,18.8,,
151,1939-11-30,18.0,,
152,1939-12-01,20.5,,
153,1939-12-02,18.9,,
154,1939-12-03,18.9,,
155,1939-12-04,18.9,,
156,1939-12-05,18.9,,
157,1939-12-06,18.9,,
158,1939-12-07,18.7,,
159,1939-12-08,20.1,,
160,1939-12-09,32.3,,
161,1939-12-10,32.9,,
162,1939-12-11,18.9,,
163,1939-12-12,18.5,,
164,1939-12-13,19.6,,
165,1939-12-14,20.0,,
166,1939-12-15,24.3,,
167,1939-12-16,20.7,,
168,1939-12-17,26.6,,
169,1939-12-18,23.3,,
170,1939-12-19,16.4,,
171,1939-12-20,19.8,,
172,1939-12-21,19.9,,
173,1939-12-22,20.5,,
174,1939-12-23,19.8,,
175,1939-12-24,21.4,,
176,1939-12-25,32.5,,
177,1939-12-26,35.7,,
178,1939-12-27,38.6,,
179,1939-12-28,41.5,,
180,1939-12-29,22.3,,
181,1939-12-30,22.9,,
182,1939-12-31,24.1,,
183,1940-01-01,21.6,,
184,1940-01-02,21.6,,
185,1940-01-03,21.6,,
186,1940-01-04,21.6,,
187,1940-01-05,21.6,,
188,1940-01-06,21.6,,
189,1940-01-07,21.6,,
190,1940-01-08,21.6,,
191,1940-01-09,21.6,,
192,1940-01-10,21.6,,
193,1940-01-11,21.6,,
194,1940-01-12,21.6,,
195,1940-01-13,21.6,,
196,1940-01-14,21.6,,
197,1940-01-15,21.6,,
198,1940-01-16,21.6,,
199,1940-01-17,21.6,,
200,1940-01-18,21.6,,
201,1940-01-19,21.6,,
202,1940-01-20,21.6,,
203,1940-01-21,21.6,,
204,1940-01-22,21.6,,
205,1940-01-23,21.6,,
206,1940-01-24,21.6,,
207,1940-01-25,21.6,,
208,1940-01-26,21.6,,
209,1940-01-27,21.6,,
210,1940-01-28,21.6,,
