,date,maximum temperature (degC),site number,site name
0,,33.8,72150.0,WAGGA WAGGA AMO
1,1910-01-01,33.8,,
2,1910-01-02,36.2,,
3,1910-01-03,37.0,,
4,1910-01-04,38.1,,
5,1910-01-05,39.9,,
6,1910-01-06,37.4,,
7,1910-01-07,36.5,,
8,1910-01-08,34.6,,
9,1910-01-09,16.8,,
10,1910-01-10,16.8,,
11,1910-01-11,16.8,,
12,1910-01-12,20.4,,
13,1910-01-13,22.7,,
14,1910-01-14,22.9,,
15,1910-01-15,28.2,,
16,1910-01-16,28.7,,
17,1910-01-17,23.3,,
18,1910-01-18,26.0,,
19,1910-01-19,34.6,,
20,1910-01-20,31.8,,
21,1910-01-21,29.0,,
22,1910-01-22,24.8,,
23,1910-01-23,29.9,,
24,1910-01-24,33.8,,
25,1910-01-25,39.4,,
26,1910-01-26,39.9,,
27,1910-01-27,38.7,,
28,1910-01-28,21.8,,
29,1910-01-29,24.8,,
30,1910-01-30,28.2,,
31,1910-01-31,28.7,,
32,1910-02-01,31.5,,
33,1910-02-02,33.5,,
34,1910-02-03,36.8,,
35,1910-02-04,28.9,,
36,1910-02-05,22.7,,
37,1910-02-06,27.4,,
38,1910-02-07,24.1,,
39,1910-02-08,28.0,,
40,1910-02-09,30.8,,
41,1910-02-10,31.4,,
42,1910-02-11,30.2,,
43,1910-02-12,28.6,,
44,1910-02-13,34.5,,
45,1910-02-14,34.5,,
46,1910-02-15,34.5,,
47,1910-02-16,35.2,,
48,1910-02-17,35.3,,
49,1910-02-18,36.8,,
50,1910-02-19,35.2,,
51,1910-02-20,35.3,,
52,1910-02-21,35.3,,
53,1910-02-22,35.3,,
54,1910-02-23,36.2,,
55,1910-02-24,35.2,,
56,1910-02-25,36.2,,
57,1910-02-26,34.3,,
58,1910-02-27,35.2,,
59,1910-02-28,37.2,,
60,1910-03-01,37.1,,
61,1910-03-02,30.1,,
62,1910-03-03,29.1,,
63,1910-03-04,27.1,,
64,1910-03-05,27.5,,
65,1910-03-06,18.5,,
66,1910-03-07,18.5,,
