,date,maximum temperature (degC)
0,1975-03-01,24.5
1,1975-03-02,25.4
2,1975-03-03,27.4
3,1975-03-04,30.2
4,1975-03-05,32.1
5,1975-03-06,32.0
6,1975-03-07,31.8
7,1975-03-08,29.1
8,1975-03-09,31.2
9,1975-03-10,25.4
10,1975-03-11,23.6
11,1975-03-12,25.3
12,1975-03-13,25.3
13,1975-03-14,23.1
14,1975-03-15,23.1
15,1975-03-16,24.2
16,1975-03-17,21.2
17,1975-03-18,23.4
18,1975-03-19,27.5
19,1975-03-20,25.4
20,1975-03-21,23.6
21,1975-03-22,21.4
22,1975-03-23,21.4
23,1975-03-24,28.7
24,1975-03-25,27.8
25,1975-03-26,22.0
26,1975-03-27,20.5
27,1975-03-28,22.0
28,1975-03-29,22.8
29,1975-03-30,23.1
30,1975-03-31,19.5
31,1975-04-01,13.3
32,1975-04-02,18.2
33,1975-04-03,20.2
34,1975-04-04,18.3
35,1975-04-05,20.1
36,1975-04-06,22.9
37,1975-04-07,27.4
38,1975-04-08,22.9
39,1975-04-09,22.0
40,1975-04-10,30.0
41,1975-04-11,27.8
42,1975-04-12,32.6
43,1975-04-13,29.8
44,1975-04-14,21.0
45,1975-04-15,15.7
46,1975-04-16,16.7
47,1975-04-17,14.2
48,1975-04-18,15.8
49,1975-04-19,16.4
50,1975-04-20,16.8
51,1975-04-21,17.8
52,1975-04-22,17.7
53,1975-04-23,18.8
54,1975-04-24,20.3
55,1975-04-25,20.3
56,1975-04-26,20.5
57,1975-04-27,20.5
58,1975-04-28,16.7
59,1975-04-29,18.2
60,1975-04-30,20.2
61,1975-05-01,22.4
62,1975-05-02,22.4
63,1975-05-03,21.5
64,1975-05-04,23.0
65,1975-05-05,18.9
66,1975-05-06,14.5
67,1975-05-07,15.6
68,1975-05-08,17.9
69,1975-05-09,19.7
70,1975-05-10,20.3
71,1975-05-11,20.7
72,1975-05-12,19.0
73,1975-05-13,19.8
74,1975-05-14,18.4
75,1975-05-15,19.0
76,1975-05-16,19.7
77,1975-05-17,21.3
78,1975-05-18,18.5
79,1975-05-19,21.7
80,1975-05-20,17.6
81,1975-05-21,11.4
82,1975-05-22,14.5
83,1975-05-23,16.4
84,1975-05-24,16.0
85,1975-05-25,17.6
86,1975-05-26,22.2
87,1975-05-27,15.0
88,1975-05-28,16.4
89,1975-05-29,17.0
90,1975-05-30,16.1
91,1975-05-31,15.7
92,1975-06-01,15.5
93,1975-06-02,15.6
94,1975-06-03,16.0
95,1975-06-04,17.4
96,1975-06-05,21.7
97,1975-06-06,15.7
98,1975-06-07,15.2
99,1975-06-08,17.1
100,1975-06-09,17.4
101,1975-06-10,16.7
102,1975-06-11,16.8
103,1975-06-12,17.1
104,1975-06-13,18.2
105,1975-06-14,12.9
106,1975-06-15,17.4
107,1975-06-16,13.0
108,1975-06-17,15.9
109,1975-06-18,15.6
110,1975-06-19,12.1
111,1975-06-20,13.6
112,1975-06-21,14.0
113,1975-06-22,13.4
114,1975-06-23,12.2
115,1975-06-24,11.9
116,1975-06-25,14.6
117,1975-06-26,14.2
118,1975-06-27,12.9
119,1975-06-28,14.9
120,1975-06-29,16.0
121,1975-06-30,16.0
122,1975-07-01,18.1
123,1975-07-02,14.7
124,1975-07-03,16.3
125,1975-07-04,17.9
126,1975-07-05,17.5
127,1975-07-06,14.7
128,1975-07-07,18.3
129,1975-07-08,15.7
130,1975-07-09,13.9
131,1975-07-10,12.7
132,1975-07-11,13.9
133,1975-07-12,10.6
134,1975-07-13,13.2
135,1975-07-14,12.7
136,1975-07-15,15.7
137,1975-07-16,16.1
138,1975-07-17,12.7
139,1975-07-18,12.9
140,1975-07-19,15.8
141,1975-07-20,15.7
142,1975-07-21,15.4
143,1975-07-22,15.9
144,1975-07-23,17.0
145,1975-07-24,17.4
146,1975-07-25,16.9
147,1975-07-26,15.6
148,1975-07-27,10.8
149,1975-07-28,13.9
150,1975-07-29,7.9
151,1975-07-30,9.6
152,1975-07-31,12.7
153,1975-08-01,11.2
154,1975-08-02,13.5
155,1975-08-03,10.8
156,1975-08-04,12.8
157,1975-08-05,15.4
158,1975-08-06,16.6
159,1975-08-07,16.3
160,1975-08-08,15.4
161,1975-08-09,12.1
162,1975-08-10,12.4
163,1975-08-11,13.3
164,1975-08-12,13.5
165,1975-08-13,14.6
166,1975-08-14,15.9
167,1975-08-15,18.2
168,1975-08-16,15.5
169,1975-08-17,15.8
170,1975-08-18,12.8
171,1975-08-19,15.5
172,1975-08-20,15.5
173,1975-08-21,11.2
174,1975-08-22,16.3
175,1975-08-23,12.7
176,1975-08-24,14.6
177,1975-08-25,15.1
178,1975-08-26,14.3
179,1975-08-27,16.1
180,1975-08-28,14.6
181,1975-08-29,15.4
182,1975-08-30,18.2
183,1975-08-31,16.9
184,1975-09-01,14.8
185,1975-09-02,14.8
186,1975-09-03,17.7
187,1975-09-04,18.4
188,1975-09-05,19.0
189,1975-09-06,23.8
190,1975-09-07,14.9
191,1975-09-08,14.1
192,1975-09-09,17.8
193,1975-09-10,21.7
194,1975-09-11,15.9
195,1975-09-12,17.3
196,1975-09-13,18.7
197,1975-09-14,21.1
198,1975-09-15,17.1
199,1975-09-16,14.0
200,1975-09-17,13.1
201,1975-09-18,15.5
202,1975-09-19,17.7
203,1975-09-20,15.5
204,1975-09-21,14.2
205,1975-09-22,17.1
206,1975-09-23,20.1
207,1975-09-24,19.6
208,1975-09-25,17.9
209,1975-09-26,14.5
210,1975-09-27,15.1
211,1975-09-28,15.7
212,1975-09-29,15.9
213,1975-09-30,17.8
214,1975-10-01,19.0
215,1975-10-02,21.1
216,1975-10-03,21.3
217,1975-10-04,15.8
218,1975-10-05,16.0
219,1975-10-06,16.4
220,1975-10-07,17.9
221,1975-10-08,21.7
222,1975-10-09,20.0
223,1975-10-10,14.6
224,1975-10-11,17.7
225,1975-10-12,20.5
226,1975-10-13,21.6
227,1975-10-14,21.8
228,1975-10-15,19.4
229,1975-10-16,19.1
230,1975-10-17,19.5
231,1975-10-18,20.6
232,1975-10-19,21.8
233,1975-10-20,17.9
234,1975-10-21,19.1
235,1975-10-22,20.6
236,1975-10-23,21.3
237,1975-10-24,24.9
238,1975-10-25,27.5
239,1975-10-26,18.5
240,1975-10-27,18.0
241,1975-10-28,18.8
242,1975-10-29,19.1
243,1975-10-30,23.7
244,1975-10-31,27.5
245,1975-11-01,23.2
246,1975-11-02,20.5
247,1975-11-03,19.7
248,1975-11-04,20.1
249,1975-11-05,21.8
250,1975-11-06,23.8
251,1975-11-07,25.1
252,1975-11-08,23.5
253,1975-11-09,28.4
254,1975-11-10,31.4
255,1975-11-11,25.0
256,1975-11-12,26.0
257,1975-11-13,24.7
258,1975-11-14,25.5
259,1975-11-15,26.1
260,1975-11-16,13.1
261,1975-11-17,16.9
262,1975-11-18,21.0
263,1975-11-19,25.4
264,1975-11-20,26.9
265,1975-11-21,23.0
266,1975-11-22,21.8
267,1975-11-23,23.8
268,1975-11-24,25.0
269,1975-11-25,31.9
270,1975-11-26,37.3
271,1975-11-27,26.2
272,1975-11-28,28.4
273,1975-11-29,31.2
274,1975-11-30,30.9
275,1975-12-01,26.8
276,1975-12-02,23.5
277,1975-12-03,28.4
278,1975-12-04,35.2
279,1975-12-05,27.2
280,1975-12-06,27.7
281,1975-12-07,32.5
282,1975-12-08,35.6
283,1975-12-09,31.6
284,1975-12-10,27.3
285,1975-12-11,21.9
286,1975-12-12,25.7
287,1975-12-13,28.8
288,1975-12-14,32.0
289,1975-12-15,25.6
290,1975-12-16,24.1
291,1975-12-17,24.6
292,1975-12-18,27.3
293,1975-12-19,31.6
294,1975-12-20,34.7
295,1975-12-21,36.3
296,1975-12-22,37.7
297,1975-12-23,39.4
298,1975-12-24,38.8
299,1975-12-25,32.0
300,1975-12-26,32.0
301,1975-12-27,24.1
302,1975-12-28,24.3
303,1975-12-29,31.0
304,1975-12-30,35.7
305,1975-12-31,35.3
306,1976-01-01,38.0
307,1976-01-02,31.1
308,1976-01-03,22.3
309,1976-01-04,24.5
310,1976-01-05,28.6
311,1976-01-06,23.5
312,1976-01-07,20.3
313,1976-01-08,21.7
314,1976-01-09,22.1
315,1976-01-10,28.1
316,1976-01-11,34.3
317,1976-01-12,25.8
318,1976-01-13,25.1
319,1976-01-14,29.7
320,1976-01-15,35.4
321,1976-01-16,36.1
322,1976-01-17,28.3
323,1976-01-18,24.0
324,1976-01-19,24.5
325,1976-01-20,27.4
326,1976-01-21,24.8
327,1976-01-22,28.6
328,1976-01-23,28.6
329,1976-01-24,32.0
330,1976-01-25,31.3
331,1976-01-26,28.1
332,1976-01-27,30.7
333,1976-01-28,37.3
334,1976-01-29,28.9
335,1976-01-30,29.1
336,1976-01-31,29.4
337,1976-02-01,30.7
338,1976-02-02,32.9
339,1976-02-03,34.3
340,1976-02-04,29.8
341,1976-02-05,34.4
342,1976-02-06,31.8
343,1976-02-07,25.1
344,1976-02-08,29.3
345,1976-02-09,30.9
346,1976-02-10,32.5
347,1976-02-11,38.5
348,1976-02-12,27.6
349,1976-02-13,27.7
350,1976-02-14,29.8
351,1976-02-15,38.5
352,1976-02-16,26.1
353,1976-02-17,22.7
354,1976-02-18,22.6
355,1976-02-19,27.9
356,1976-02-20,30.5
357,1976-02-21,26.2
358,1976-02-22,33.4
359,1976-02-23,29.8
360,1976-02-24,35.4
361,1976-02-25,28.4
362,1976-02-26,26.8
363,1976-02-27,28.3
364,1976-02-28,21.0
365,1976-02-29,22.1
366,1976-03-01,23.8
367,1976-03-02,25.3
368,1976-03-03,26.3
369,1976-03-04,32.0
370,1976-03-05,21.6
371,1976-03-06,21.0
372,1976-03-07,26.9
373,1976-03-08,28.5
374,1976-03-09,27.5
375,1976-03-10,33.8
376,1976-03-11,32.0
377,1976-03-12,34.8
378,1976-03-13,28.6
379,1976-03-14,28.6
380,1976-03-15,23.0
381,1976-03-16,23.0
382,1976-03-17,23.0
383,1976-03-18,23.0
384,1976-03-19,23.0
385,1976-03-20,26.0
386,1976-03-21,28.1
387,1976-03-22,30.3
388,1976-03-23,32.6
389,1976-03-24,32.0
390,1976-03-25,25.8
391,1976-03-26,24.5
392,1976-03-27,23.5
393,1976-03-28,24.4
394,1976-03-29,28.6
395,1976-03-30,25.3
396,1976-03-31,23.4
397,1976-04-01,20.6
398,1976-04-02,22.5
399,1976-04-03,22.1
400,1976-04-04,20.9
401,1976-04-05,23.1
402,1976-04-06,27.4
403,1976-04-07,29.4
404,1976-04-08,29.2
405,1976-04-09,29.2
406,1976-04-10,27.0
407,1976-04-11,25.9
408,1976-04-12,14.2
409,1976-04-13,18.8
410,1976-04-14,12.8
411,1976-04-15,13.3
412,1976-04-16,17.1
413,1976-04-17,24.4
414,1976-04-18,24.4
415,1976-04-19,24.4
416,1976-04-20,26.7
417,1976-04-21,29.0
418,1976-04-22,28.3
419,1976-04-23,29.7
420,1976-04-24,23.5
421,1976-04-25,20.6
422,1976-04-26,19.1
423,1976-04-27,21.6
424,1976-04-28,25.9
425,1976-04-29,23.3
426,1976-04-30,22.4
427,1976-05-01,20.2
428,1976-05-02,20.1
429,1976-05-03,19.8
430,1976-05-04,23.2
431,1976-05-05,22.3
432,1976-05-06,23.0
433,1976-05-07,22.4
434,1976-05-08,22.3
435,1976-05-09,20.5
436,1976-05-10,20.7
437,1976-05-11,22.5
438,1976-05-12,21.0
439,1976-05-13,22.8
440,1976-05-14,21.1
441,1976-05-15,14.5
442,1976-05-16,15.4
443,1976-05-17,16.6
444,1976-05-18,17.1
445,1976-05-19,23.7
446,1976-05-20,18.4
447,1976-05-21,16.6
448,1976-05-22,16.7
449,1976-05-23,16.1
450,1976-05-24,17.0
451,1976-05-25,17.3
452,1976-05-26,18.7
453,1976-05-27,19.9
454,1976-05-28,20.8
455,1976-05-29,15.7
456,1976-05-30,17.6
457,1976-05-31,9.3
458,1976-06-01,12.9
459,1976-06-02,15.8
460,1976-06-03,13.0
461,1976-06-04,17.4
462,1976-06-05,13.6
463,1976-06-06,16.6
464,1976-06-07,17.4
465,1976-06-08,15.7
466,1976-06-09,16.9
467,1976-06-10,18.5
468,1976-06-11,19.8
469,1976-06-12,18.2
470,1976-06-13,17.1
471,1976-06-14,16.7
472,1976-06-15,17.6
473,1976-06-16,18.4
474,1976-06-17,19.9
475,1976-06-18,18.2
476,1976-06-19,17.4
477,1976-06-20,14.9
478,1976-06-21,15.5
479,1976-06-22,10.4
480,1976-06-23,15.6
481,1976-06-24,11.6
482,1976-06-25,13.2
483,1976-06-26,14.2
484,1976-06-27,16.3
485,1976-06-28,18.4
486,1976-06-29,15.6
487,1976-06-30,13.8
488,1976-07-01,14.2
489,1976-07-02,13.6
490,1976-07-03,15.5
491,1976-07-04,11.6
492,1976-07-05,13.9
493,1976-07-06,17.2
494,1976-07-07,17.3
495,1976-07-08,18.5
496,1976-07-09,13.2
497,1976-07-10,13.9
498,1976-07-11,16.2
499,1976-07-12,16.2
500,1976-07-13,16.2
501,1976-07-14,15.2
502,1976-07-15,17.9
503,1976-07-16,19.5
504,1976-07-17,21.7
505,1976-07-18,21.0
506,1976-07-19,21.5
507,1976-07-20,17.1
508,1976-07-21,16.9
509,1976-07-22,15.9
510,1976-07-23,17.2
511,1976-07-24,12.7
512,1976-07-25,13.6
513,1976-07-26,9.6
514,1976-07-27,11.4
515,1976-07-28,13.9
516,1976-07-29,15.8
517,1976-07-30,16.5
518,1976-07-31,15.9
519,1976-08-01,16.3
520,1976-08-02,16.9
521,1976-08-03,20.4
522,1976-08-04,15.0
523,1976-08-05,14.6
524,1976-08-06,14.1
525,1976-08-07,16.4
526,1976-08-08,15.5
527,1976-08-09,15.0
528,1976-08-10,16.2
529,1976-08-11,17.4
530,1976-08-12,19.7
531,1976-08-13,19.3
532,1976-08-14,12.1
533,1976-08-15,12.6
534,1976-08-16,13.6
535,1976-08-17,15.6
536,1976-08-18,16.3
537,1976-08-19,15.3
538,1976-08-20,14.2
539,1976-08-21,10.7
540,1976-08-22,12.0
541,1976-08-23,13.3
542,1976-08-24,14.6
543,1976-08-25,15.7
544,1976-08-26,17.9
545,1976-08-27,16.9
546,1976-08-28,13.6
547,1976-08-29,14.3
548,1976-08-30,13.6
549,1976-08-31,13.7
550,1976-09-01,16.3
551,1976-09-02,19.5
552,1976-09-03,17.3
553,1976-09-04,18.2
554,1976-09-05,15.9
555,1976-09-06,17.7
556,1976-09-07,12.8
557,1976-09-08,10.9
558,1976-09-09,15.0
559,1976-09-10,19.5
560,1976-09-11,17.9
561,1976-09-12,16.3
562,1976-09-13,19.5
563,1976-09-14,18.8
564,1976-09-15,19.6
565,1976-09-16,24.7
566,1976-09-17,23.1
567,1976-09-18,14.9
568,1976-09-19,16.1
569,1976-09-20,17.8
570,1976-09-21,19.8
571,1976-09-22,20.6
572,1976-09-23,22.3
573,1976-09-24,25.7
574,1976-09-25,19.0
575,1976-09-26,15.2
576,1976-09-27,13.0
577,1976-09-28,16.1
578,1976-09-29,17.7
579,1976-09-30,19.9
580,1976-10-01,21.1
581,1976-10-02,19.1
582,1976-10-03,13.0
583,1976-10-04,19.0
584,1976-10-05,20.0
585,1976-10-06,19.4
586,1976-10-07,21.5
587,1976-10-08,24.4
588,1976-10-09,14.1
589,1976-10-10,18.6
590,1976-10-11,18.8
591,1976-10-12,17.5
592,1976-10-13,19.2
593,1976-10-14,21.8
594,1976-10-15,24.0
595,1976-10-16,29.2
596,1976-10-17,20.1
597,1976-10-18,22.1
598,1976-10-19,19.7
599,1976-10-20,22.4
600,1976-10-21,23.4
601,1976-10-22,22.1
602,1976-10-23,22.3
603,1976-10-24,23.0
604,1976-10-25,24.4
605,1976-10-26,26.9
606,1976-10-27,25.7
607,1976-10-28,23.2
608,1976-10-29,22.8
609,1976-10-30,24.4
610,1976-10-31,18.0
611,1976-11-01,18.3
612,1976-11-02,16.7
613,1976-11-03,20.5
614,1976-11-04,26.4
615,1976-11-05,31.6
616,1976-11-06,22.7
617,1976-11-07,19.7
618,1976-11-08,22.6
619,1976-11-09,17.1
620,1976-11-10,16.6
621,1976-11-11,16.7
622,1976-11-12,12.6
623,1976-11-13,16.2
624,1976-11-14,17.2
625,1976-11-15,20.7
626,1976-11-16,26.0
627,1976-11-17,23.5
628,1976-11-18,22.6
629,1976-11-19,25.5
630,1976-11-20,29.2
631,1976-11-21,35.4
632,1976-11-22,22.6
