,date,maximum temperature (degC),site number,site name
0,,33.3,17043.0,OODNADATTA AIRPORT
1,1940-02-02,33.3,,
2,1940-02-03,35.0,,
3,1940-02-04,38.3,,
4,1940-02-05,32.9,,
5,1940-02-06,33.5,,
6,1940-02-07,35.2,,
7,1940-02-08,36.4,,
8,1940-02-09,36.4,,
9,1940-02-10,36.4,,
10,1940-02-11,35.3,,
11,1940-02-12,36.0,,
12,1940-02-13,39.1,,
13,1940-02-14,39.6,,
14,1940-02-15,33.8,,
15,1940-02-16,33.8,,
16,1940-02-17,33.8,,
17,1940-02-18,35.1,,
18,1940-02-19,33.0,,
19,1940-02-20,35.5,,
20,1940-02-21,37.5,,
21,1940-02-22,31.5,,
22,1940-02-23,31.5,,
23,1940-02-24,33.0,,
24,1940-02-25,35.5,,
25,1940-02-26,35.5,,
26,1940-02-27,35.5,,
27,1940-02-28,29.1,,
28,1940-02-29,29.1,,
29,1940-03-01,29.1,,
30,1940-03-02,31.4,,
31,1940-03-03,34.1,,
32,1940-03-04,36.2,,
33,1940-03-05,37.1,,
34,1940-03-06,37.6,,
35,1940-03-07,39.1,,
36,1940-03-08,37.8,,
37,1940-03-09,37.8,,
38,1940-03-10,37.8,,
39,1940-03-11,37.2,,
40,1940-03-12,37.2,,
41,1940-03-13,37.2,,
42,1940-03-14,36.8,,
43,1940-03-15,31.0,,
44,1940-03-16,31.0,,
45,1940-03-17,31.0,,
46,1940-03-18,31.0,,
47,1940-03-19,31.0,,
48,1940-03-20,27.4,,
49,1940-03-21,33.6,,
50,1940-03-22,37.1,,
51,1940-03-23,37.1,,
52,1940-03-24,37.1,,
53,1940-03-25,37.1,,
54,1940-03-26,37.2,,
55,1940-03-27,35.9,,
56,1940-03-28,37.1,,
57,1940-03-29,26.9,,
58,1940-03-30,26.9,,
59,1940-03-31,26.9,,
60,1940-04-01,26.9,,
61,1940-04-02,26.9,,
62,1940-04-03,27.2,,
63,1940-04-04,27.2,,
64,1940-04-05,27.2,,
