,date,maximum temperature (degC)
0,1975-03-01,25.3
1,1975-03-02,24.9
2,1975-03-03,20.1
3,1975-03-04,24.1
4,1975-03-05,21.0
5,1975-03-06,21.5
6,1975-03-07,15.7
7,1975-03-08,15.4
8,1975-03-09,17.3
9,1975-03-10,20.0
10,1975-03-11,20.0
11,1975-03-12,22.3
12,1975-03-13,21.2
13,1975-03-14,23.3
14,1975-03-15,20.7
15,1975-03-16,21.0
16,1975-03-17,22.6
17,1975-03-18,16.8
18,1975-03-19,20.7
19,1975-03-20,20.0
20,1975-03-21,18.0
21,1975-03-22,16.7
22,1975-03-23,18.5
23,1975-03-24,16.7
24,1975-03-25,16.5
25,1975-03-26,19.9
26,1975-03-27,22.1
27,1975-03-28,18.4
28,1975-03-29,20.5
29,1975-03-30,18.0
30,1975-03-31,14.3
31,1975-04-01,14.8
32,1975-04-02,15.0
33,1975-04-03,18.8
34,1975-04-04,27.2
35,1975-04-05,20.3
36,1975-04-06,15.4
37,1975-04-07,18.9
38,1975-04-08,21.1
39,1975-04-09,19.7
40,1975-04-10,16.1
41,1975-04-11,19.4
42,1975-04-12,15.2
43,1975-04-13,18.6
44,1975-04-14,21.9
45,1975-04-15,22.7
46,1975-04-16,22.6
47,1975-04-17,25.5
48,1975-04-18,24.3
49,1975-04-19,16.7
50,1975-04-20,16.6
51,1975-04-21,13.7
52,1975-04-22,12.7
53,1975-04-23,17.1
54,1975-04-24,16.0
55,1975-04-25,17.2
56,1975-04-26,18.2
57,1975-04-27,17.7
58,1975-04-28,11.7
59,1975-04-29,16.6
60,1975-04-30,15.0
61,1975-05-01,16.6
62,1975-05-02,17.2
63,1975-05-03,16.2
64,1975-05-04,16.6
65,1975-05-05,16.0
66,1975-05-06,19.3
67,1975-05-07,18.2
68,1975-05-08,16.6
69,1975-05-09,19.2
70,1975-05-10,16.7
71,1975-05-11,17.8
72,1975-05-12,14.8
73,1975-05-13,13.2
74,1975-05-14,13.1
75,1975-05-15,14.0
76,1975-05-16,10.6
77,1975-05-17,16.3
78,1975-05-18,18.0
79,1975-05-19,15.2
80,1975-05-20,17.4
81,1975-05-21,14.4
82,1975-05-22,12.5
83,1975-05-23,12.0
84,1975-05-24,13.4
85,1975-05-25,12.1
86,1975-05-26,13.7
87,1975-05-27,12.5
88,1975-05-28,12.6
89,1975-05-29,15.9
90,1975-05-30,10.5
91,1975-05-31,16.0
92,1975-06-01,15.1
93,1975-06-02,15.4
94,1975-06-03,15.4
95,1975-06-04,10.8
96,1975-06-05,13.9
97,1975-06-06,15.1
98,1975-06-07,16.6
99,1975-06-08,16.8
100,1975-06-09,16.6
101,1975-06-10,13.9
102,1975-06-11,8.1
103,1975-06-12,10.8
104,1975-06-13,13.6
105,1975-06-14,12.9
106,1975-06-15,11.8
107,1975-06-16,12.6
108,1975-06-17,11.6
109,1975-06-18,12.7
110,1975-06-19,12.5
111,1975-06-20,13.7
112,1975-06-21,9.5
113,1975-06-22,10.4
114,1975-06-23,11.6
115,1975-06-24,10.9
116,1975-06-25,11.6
117,1975-06-26,11.6
118,1975-06-27,12.7
119,1975-06-28,14.7
120,1975-06-29,13.9
121,1975-06-30,11.4
122,1975-07-01,13.0
123,1975-07-02,12.8
124,1975-07-03,8.4
125,1975-07-04,11.6
126,1975-07-05,11.4
127,1975-07-06,11.2
128,1975-07-07,10.8
129,1975-07-08,13.0
130,1975-07-09,11.9
131,1975-07-10,13.9
132,1975-07-11,9.7
133,1975-07-12,9.7
134,1975-07-13,13.3
135,1975-07-14,11.9
136,1975-07-15,11.1
137,1975-07-16,13.1
138,1975-07-17,14.4
139,1975-07-18,10.4
140,1975-07-19,13.0
141,1975-07-20,14.5
142,1975-07-21,15.0
143,1975-07-22,15.2
144,1975-07-23,17.1
145,1975-07-24,15.7
146,1975-07-25,13.3
147,1975-07-26,16.8
148,1975-07-27,19.5
149,1975-07-28,18.4
150,1975-07-29,18.4
151,1975-07-30,20.8
152,1975-07-31,11.6
153,1975-08-01,9.5
154,1975-08-02,8.5
155,1975-08-03,8.3
156,1975-08-04,12.2
157,1975-08-05,12.6
158,1975-08-06,12.9
159,1975-08-07,13.5
160,1975-08-08,14.3
161,1975-08-09,16.4
162,1975-08-10,16.6
163,1975-08-11,9.9
164,1975-08-12,11.2
165,1975-08-13,13.1
166,1975-08-14,14.9
167,1975-08-15,13.3
168,1975-08-16,11.3
169,1975-08-17,13.3
170,1975-08-18,14.9
171,1975-08-19,13.3
172,1975-08-20,14.1
173,1975-08-21,14.9
174,1975-08-22,11.5
175,1975-08-23,13.5
176,1975-08-24,16.1
177,1975-08-25,11.9
178,1975-08-26,9.4
179,1975-08-27,10.3
180,1975-08-28,14.1
181,1975-08-29,13.5
182,1975-08-30,11.2
183,1975-08-31,15.4
184,1975-09-01,16.5
185,1975-09-02,17.5
186,1975-09-03,10.8
187,1975-09-04,9.7
188,1975-09-05,15.0
189,1975-09-06,12.3
190,1975-09-07,13.3
191,1975-09-08,17.8
192,1975-09-09,19.8
193,1975-09-10,18.7
194,1975-09-11,18.4
195,1975-09-12,21.7
196,1975-09-13,18.4
197,1975-09-14,18.5
198,1975-09-15,17.0
199,1975-09-16,16.8
200,1975-09-17,20.8
201,1975-09-18,18.6
202,1975-09-19,14.8
203,1975-09-20,11.7
204,1975-09-21,14.0
205,1975-09-22,17.9
206,1975-09-23,11.5
207,1975-09-24,11.9
208,1975-09-25,15.4
209,1975-09-26,19.8
210,1975-09-27,20.2
211,1975-09-28,20.0
212,1975-09-29,16.8
213,1975-09-30,14.9
214,1975-10-01,12.7
215,1975-10-02,12.7
216,1975-10-03,12.6
217,1975-10-04,14.5
218,1975-10-05,17.3
219,1975-10-06,20.4
220,1975-10-07,19.8
221,1975-10-08,14.7
222,1975-10-09,17.2
223,1975-10-10,22.4
224,1975-10-11,20.0
225,1975-10-12,13.4
226,1975-10-13,15.1
227,1975-10-14,14.5
228,1975-10-15,13.5
229,1975-10-16,12.2
230,1975-10-17,10.8
231,1975-10-18,12.7
232,1975-10-19,13.5
233,1975-10-20,15.4
234,1975-10-21,13.2
235,1975-10-22,14.6
236,1975-10-23,14.2
237,1975-10-24,12.9
238,1975-10-25,10.7
239,1975-10-26,14.3
240,1975-10-27,24.2
241,1975-10-28,26.9
242,1975-10-29,16.7
243,1975-10-30,20.3
244,1975-10-31,22.7
245,1975-11-01,14.0
246,1975-11-02,15.6
247,1975-11-03,14.0
248,1975-11-04,20.5
249,1975-11-05,16.0
250,1975-11-06,15.1
251,1975-11-07,12.7
252,1975-11-08,15.2
253,1975-11-09,17.0
254,1975-11-10,21.5
255,1975-11-11,22.5
256,1975-11-12,18.7
257,1975-11-13,21.6
258,1975-11-14,26.2
259,1975-11-15,15.0
260,1975-11-16,16.7
261,1975-11-17,23.8
262,1975-11-18,24.0
263,1975-11-19,18.0
264,1975-11-20,21.3
265,1975-11-21,16.9
266,1975-11-22,20.1
267,1975-11-23,16.2
268,1975-11-24,20.8
269,1975-11-25,14.5
270,1975-11-26,17.6
271,1975-11-27,22.8
272,1975-11-28,29.3
273,1975-11-29,24.1
274,1975-11-30,22.8
275,1975-12-01,16.3
276,1975-12-02,23.3
277,1975-12-03,21.5
278,1975-12-04,18.8
