,date,maximum temperature (degC),site number,site name
0,,36.0,23373.0,NURIOOTPA PIRSA
1,1957-01-02,36.0,,
2,1957-01-03,29.5,,
3,1957-01-04,25.2,,
4,1957-01-05,28.8,,
5,1957-01-06,24.6,,
6,1957-01-07,24.0,,
7,1957-01-08,24.4,,
8,1957-01-09,28.6,,
9,1957-01-10,24.1,,
10,1957-01-11,29.2,,
11,1957-01-12,38.2,,
12,1957-01-13,28.6,,
13,1957-01-14,31.6,,
14,1957-01-15,31.5,,
15,1957-01-16,24.9,,
16,1957-01-17,31.7,,
17,1957-01-18,39.9,,
18,1957-01-19,24.6,,
19,1957-01-20,26.0,,
20,1957-01-21,28.9,,
21,1957-01-22,28.8,,
22,1957-01-23,27.7,,
23,1957-01-24,23.7,,
24,1957-01-25,23.7,,
25,1957-01-26,21.1,,
26,1957-01-27,26.9,,
27,1957-01-28,32.0,,
28,1957-01-29,36.0,,
29,1957-01-30,35.3,,
30,1957-01-31,33.3,,
31,1957-02-01,35.9,,
32,1957-02-02,26.1,,
33,1957-02-03,24.7,,
34,1957-02-04,28.3,,
35,1957-02-05,34.2,,
36,1957-02-06,26.9,,
37,1957-02-07,27.1,,
38,1957-02-08,26.1,,
39,1957-02-09,33.0,,
40,1957-02-10,20.4,,
41,1957-02-11,23.8,,
42,1957-02-12,28.0,,
43,1957-02-13,33.3,,
44,1957-02-14,38.6,,
45,1957-02-15,22.8,,
46,1957-02-16,23.7,,
47,1957-02-17,29.0,,
48,1957-02-18,32.7,,
49,1957-02-19,37.3,,
50,1957-02-20,28.0,,
51,1957-02-21,21.5,,
52,1957-02-22,24.7,,
53,1957-02-23,28.0,,
54,1957-02-24,23.8,,
55,1957-02-25,23.5,,
56,1957-02-26,31.6,,
57,1957-02-27,36.7,,
58,1957-02-28,27.1,,
59,1957-03-01,29.3,,
60,1957-03-02,23.1,,
61,1957-03-03,22.4,,
62,1957-03-04,24.2,,
63,1957-03-05,26.4,,
64,1957-03-06,29.7,,
65,1957-03-07,32.7,,
66,1957-03-08,33.4,,
67,1957-03-09,18.1,,
68,1957-03-10,18.9,,
69,1957-03-11,22.5,,
70,1957-03-12,27.8,,
71,1957-03-13,17.3,,
72,1957-03-14,16.2,,
73,1957-03-15,17.9,,
74,1957-03-16,19.2,,
75,1957-03-17,24.3,,
76,1957-03-18,28.3,,
77,1957-03-19,29.6,,
78,1957-03-20,28.1,,
79,1957-03-21,33.8,,
80,1957-03-22,24.3,,
81,1957-03-23,20.2,,
82,1957-03-24,22.0,,
83,1957-03-25,27.5,,
84,1957-03-26,30.2,,
85,1957-03-27,20.2,,
86,1957-03-28,19.6,,
87,1957-03-29,24.7,,
88,1957-03-30,28.2,,
89,1957-03-31,19.6,,
90,1957-04-01,19.5,,
91,1957-04-02,20.9,,
92,1957-04-03,23.8,,
93,1957-04-04,26.5,,
94,1957-04-05,30.0,,
95,1957-04-06,20.3,,
96,1957-04-07,20.9,,
97,1957-04-08,28.7,,
98,1957-04-09,18.7,,
99,1957-04-10,16.9,,
100,1957-04-11,21.1,,
101,1957-04-12,24.8,,
102,1957-04-13,17.7,,
103,1957-04-14,15.8,,
104,1957-04-15,18.7,,
105,1957-04-16,26.1,,
106,1957-04-17,17.8,,
107,1957-04-18,17.0,,
108,1957-04-19,21.0,,
109,1957-04-20,19.2,,
110,1957-04-21,24.8,,
111,1957-04-22,24.8,,
112,1957-04-23,19.1,,
113,1957-04-24,20.9,,
114,1957-04-25,18.6,,
115,1957-04-26,21.9,,
116,1957-04-27,20.5,,
117,1957-04-28,17.7,,
118,1957-04-29,18.5,,
119,1957-04-30,17.8,,
120,1957-05-01,12.6,,
121,1957-05-02,12.8,,
122,1957-05-03,15.5,,
123,1957-05-04,17.9,,
124,1957-05-05,20.6,,
125,1957-05-06,21.2,,
126,1957-05-07,23.4,,
127,1957-05-08,23.8,,
128,1957-05-09,23.8,,
129,1957-05-10,26.1,,
130,1957-05-11,21.2,,
131,1957-05-12,21.8,,
132,1957-05-13,16.2,,
133,1957-05-14,18.2,,
134,1957-05-15,19.6,,
135,1957-05-16,20.4,,
136,1957-05-17,17.1,,
137,1957-05-18,16.3,,
138,1957-05-19,12.3,,
139,1957-05-20,12.8,,
140,1957-05-21,13.4,,
141,1957-05-22,13.1,,
142,1957-05-23,12.6,,
143,1957-05-24,13.1,,
144,1957-05-25,16.3,,
145,1957-05-26,18.7,,
146,1957-05-27,18.4,,
147,1957-05-28,21.2,,
148,1957-05-29,21.1,,
149,1957-05-30,17.2,,
150,1957-05-31,21.6,,
151,1957-06-01,22.8,,
152,1957-06-02,23.4,,
153,1957-06-03,24.0,,
154,1957-06-04,23.4,,
155,1957-06-05,21.9,,
156,1957-06-06,23.2,,
157,1957-06-07,22.1,,
158,1957-06-08,21.4,,
159,1957-06-09,22.0,,
160,1957-06-10,22.0,,
161,1957-06-11,20.5,,
162,1957-06-12,18.9,,
163,1957-06-13,20.2,,
164,1957-06-14,15.5,,
165,1957-06-15,14.5,,
166,1957-06-16,17.7,,
167,1957-06-17,14.6,,
168,1957-06-18,20.9,,
169,1957-06-19,15.7,,
170,1957-06-20,14.5,,
171,1957-06-21,15.3,,
172,1957-06-22,14.6,,
173,1957-06-23,14.6,,
174,1957-06-24,16.7,,
175,1957-06-25,14.5,,
176,1957-06-26,15.7,,
177,1957-06-27,18.6,,
178,1957-06-28,18.6,,
179,1957-06-29,13.1,,
