,date,maximum temperature (degC),site number,site name
0,,23.4,38026.0,BIRDSVILLE AIRPORT
1,1954-05-11,23.4,,
2,1954-05-12,23.9,,
3,1954-05-13,26.5,,
4,1954-05-14,27.8,,
5,1954-05-15,28.1,,
6,1954-05-16,23.9,,
7,1954-05-17,23.4,,
8,1954-05-18,27.2,,
9,1954-05-19,16.9,,
10,1954-05-20,20.0,,
11,1954-05-21,16.9,,
12,1954-05-22,20.5,,
13,1954-05-23,27.6,,
14,1954-05-24,27.6,,
15,1954-05-25,27.6,,
16,1954-05-26,27.6,,
17,1954-05-27,27.8,,
18,1954-05-28,28.4,,
19,1954-05-29,28.1,,
20,1954-05-30,29.5,,
21,1954-05-31,29.5,,
22,1954-06-01,29.5,,
23,1954-06-02,18.3,,
24,1954-06-03,16.0,,
25,1954-06-04,15.0,,
26,1954-06-05,15.5,,
27,1954-06-06,18.0,,
28,1954-06-07,17.6,,
29,1954-06-08,17.6,,
30,1954-06-09,17.2,,
31,1954-06-10,18.3,,
32,1954-06-11,17.2,,
33,1954-06-12,16.4,,
34,1954-06-13,17.6,,
35,1954-06-14,22.5,,
36,1954-06-15,22.5,,
37,1954-06-16,20.0,,
38,1954-06-17,17.2,,
39,1954-06-18,16.4,,
40,1954-06-19,18.0,,
41,1954-06-20,24.1,,
42,1954-06-21,25.3,,
43,1954-06-22,23.2,,
44,1954-06-23,24.8,,
45,1954-06-24,24.1,,
46,1954-06-25,23.2,,
47,1954-06-26,22.1,,
48,1954-06-27,23.2,,
49,1954-06-28,26.6,,
50,1954-06-29,26.6,,
51,1954-06-30,21.3,,
52,1954-07-01,17.8,,
53,1954-07-02,17.4,,
54,1954-07-03,17.1,,
55,1954-07-04,17.1,,
56,1954-07-05,17.1,,
57,1954-07-06,17.1,,
58,1954-07-07,16.5,,
59,1954-07-08,14.5,,
60,1954-07-09,16.0,,
61,1954-07-10,18.4,,
62,1954-07-11,14.5,,
63,1954-07-12,15.5,,
64,1954-07-13,21.3,,
65,1954-07-14,23.1,,
66,1954-07-15,23.7,,
67,1954-07-16,27.7,,
