,date,maximum temperature (degC),site number,site name
0,,37.1,14825.0,VICTORIA RIVER DOWNS
1,1965-01-02,37.1,,
2,1965-01-03,37.8,,
3,1965-01-04,38.2,,
4,1965-01-05,38.4,,
5,1965-01-06,37.7,,
6,1965-01-07,36.3,,
7,1965-01-08,37.2,,
8,1965-01-09,36.9,,
9,1965-01-10,37.3,,
10,1965-01-11,36.9,,
11,1965-01-12,38.4,,
12,1965-01-13,38.4,,
13,1965-01-14,38.2,,
14,1965-01-15,40.2,,
15,1965-01-16,40.3,,
16,1965-01-17,40.4,,
17,1965-01-18,41.6,,
18,1965-01-19,40.6,,
19,1965-01-20,37.7,,
20,1965-01-21,40.9,,
21,1965-01-22,41.5,,
22,1965-01-23,41.3,,
23,1965-01-24,41.5,,
24,1965-01-25,40.1,,
25,1965-01-26,38.4,,
26,1965-01-27,39.3,,
27,1965-01-28,40.1,,
28,1965-01-29,37.5,,
29,1965-01-30,41.5,,
30,1965-01-31,38.2,,
31,1965-02-01,37.1,,
32,1965-02-02,39.1,,
33,1965-02-03,39.4,,
34,1965-02-04,41.0,,
35,1965-02-05,38.4,,
36,1965-02-06,38.9,,
37,1965-02-07,39.0,,
38,1965-02-08,37.2,,
39,1965-02-09,40.2,,
40,1965-02-10,41.6,,
41,1965-02-11,41.6,,
42,1965-02-12,42.2,,
43,1965-02-13,41.6,,
44,1965-02-14,41.5,,
45,1965-02-15,39.9,,
46,1965-02-16,40.0,,
47,1965-02-17,40.0,,
48,1965-02-18,39.9,,
49,1965-02-19,38.4,,
50,1965-02-20,39.0,,
51,1965-02-21,39.7,,
52,1965-02-22,39.4,,
53,1965-02-23,40.4,,
54,1965-02-24,39.8,,
55,1965-02-25,40.1,,
56,1965-02-26,40.2,,
57,1965-02-27,40.2,,
58,1965-02-28,37.0,,
59,1965-03-01,28.3,,
60,1965-03-02,33.6,,
61,1965-03-03,35.5,,
62,1965-03-04,34.7,,
63,1965-03-05,33.6,,
64,1965-03-06,31.9,,
65,1965-03-07,33.0,,
66,1965-03-08,33.0,,
67,1965-03-09,33.3,,
68,1965-03-10,30.8,,
69,1965-03-11,34.8,,
70,1965-03-12,35.6,,
71,1965-03-13,34.0,,
72,1965-03-14,36.3,,
73,1965-03-15,36.3,,
74,1965-03-16,36.7,,
75,1965-03-17,37.6,,
76,1965-03-18,37.2,,
77,1965-03-19,35.2,,
78,1965-03-20,34.4,,
79,1965-03-21,35.6,,
80,1965-03-22,35.8,,
81,1965-03-23,34.9,,
82,1965-03-24,34.8,,
83,1965-03-25,33.9,,
84,1965-03-26,28.6,,
85,1965-03-27,28.8,,
86,1965-03-28,28.0,,
87,1965-03-29,34.0,,
88,1965-03-30,35.0,,
89,1965-03-31,33.3,,
90,1965-04-01,35.0,,
91,1965-04-02,35.4,,
92,1965-04-03,35.8,,
93,1965-04-04,37.1,,
94,1965-04-05,36.3,,
95,1965-04-06,35.8,,
96,1965-04-07,33.7,,
97,1965-04-08,34.6,,
98,1965-04-09,36.1,,
99,1965-04-10,35.0,,
100,1965-04-11,35.0,,
101,1965-04-12,35.0,,
102,1965-04-13,35.6,,
103,1965-04-14,36.2,,
