,date,maximum temperature (degC)
0,1975-03-01,34.7
1,1975-03-02,35.4
2,1975-03-03,35.1
3,1975-03-04,34.5
4,1975-03-05,33.8
5,1975-03-06,33.4
6,1975-03-07,35.0
7,1975-03-08,35.4
8,1975-03-09,35.2
9,1975-03-10,35.5
10,1975-03-11,37.3
11,1975-03-12,38.2
12,1975-03-13,38.2
13,1975-03-14,33.8
14,1975-03-15,37.6
15,1975-03-16,37.3
16,1975-03-17,35.0
17,1975-03-18,30.3
18,1975-03-19,35.0
19,1975-03-20,31.4
20,1975-03-21,30.3
21,1975-03-22,34.5
22,1975-03-23,34.9
23,1975-03-24,34.0
24,1975-03-25,33.6
25,1975-03-26,35.0
26,1975-03-27,35.4
27,1975-03-28,33.6
28,1975-03-29,32.0
29,1975-03-30,34.7
30,1975-03-31,33.3
31,1975-04-01,31.0
32,1975-04-02,31.0
33,1975-04-03,31.2
34,1975-04-04,31.5
35,1975-04-05,31.1
36,1975-04-06,32.4
37,1975-04-07,32.4
38,1975-04-08,32.4
39,1975-04-09,31.9
40,1975-04-10,32.6
41,1975-04-11,31.5
42,1975-04-12,31.5
43,1975-04-13,31.5
44,1975-04-14,31.8
45,1975-04-15,33.1
46,1975-04-16,33.1
47,1975-04-17,33.1
48,1975-04-18,33.6
49,1975-04-19,34.4
50,1975-04-20,37.0
51,1975-04-21,37.0
52,1975-04-22,37.0
53,1975-04-23,31.5
54,1975-04-24,31.5
55,1975-04-25,30.5
56,1975-04-26,31.0
57,1975-04-27,29.9
58,1975-04-28,30.1
59,1975-04-29,32.8
60,1975-04-30,32.7
61,1975-05-01,33.3
62,1975-05-02,33.3
63,1975-05-03,30.8
64,1975-05-04,30.8
65,1975-05-05,30.8
66,1975-05-06,30.8
67,1975-05-07,30.4
68,1975-05-08,32.0
69,1975-05-09,30.4
70,1975-05-10,30.5
71,1975-05-11,30.3
72,1975-05-12,30.1
73,1975-05-13,30.1
74,1975-05-14,30.3
75,1975-05-15,28.6
76,1975-05-16,29.4
77,1975-05-17,30.0
78,1975-05-18,30.7
79,1975-05-19,30.8
80,1975-05-20,31.2
81,1975-05-21,30.9
82,1975-05-22,30.5
83,1975-05-23,32.2
84,1975-05-24,30.8
85,1975-05-25,26.1
86,1975-05-26,24.9
87,1975-05-27,27.2
88,1975-05-28,27.7
89,1975-05-29,28.6
90,1975-05-30,28.3
91,1975-05-31,29.4
92,1975-06-01,27.7
93,1975-06-02,29.0
94,1975-06-03,30.0
