,date,maximum temperature (degC),site number,site name
0,,33.1,10092.0,MERREDIN
1,1912-12-01,33.1,,
2,1912-12-02,28.3,,
3,1912-12-03,31.5,,
4,1912-12-04,28.3,,
5,1912-12-05,24.9,,
6,1912-12-06,29.2,,
7,1912-12-07,32.2,,
8,1912-12-08,36.5,,
9,1912-12-09,31.6,,
10,1912-12-10,33.9,,
11,1912-12-11,39.5,,
12,1912-12-12,43.5,,
13,1912-12-13,38.8,,
14,1912-12-14,36.3,,
15,1912-12-15,39.8,,
16,1912-12-16,39.1,,
17,1912-12-17,39.1,,
18,1912-12-18,39.2,,
19,1912-12-19,39.8,,
20,1912-12-20,30.9,,
21,1912-12-21,28.3,,
22,1912-12-22,30.6,,
23,1912-12-23,38.8,,
24,1912-12-24,28.8,,
25,1912-12-25,31.5,,
26,1912-12-26,39.2,,
27,1912-12-27,39.5,,
28,1912-12-28,36.9,,
29,1912-12-29,34.4,,
30,1912-12-30,39.2,,
31,1912-12-31,30.3,,
32,1913-01-01,27.9,,
33,1913-01-02,22.6,,
34,1913-01-03,25.1,,
35,1913-01-04,24.3,,
36,1913-01-05,19.9,,
37,1913-01-06,24.6,,
38,1913-01-07,29.9,,
39,1913-01-08,30.5,,
40,1913-01-09,32.0,,
41,1913-01-10,36.5,,
42,1913-01-11,39.2,,
43,1913-01-12,24.4,,
44,1913-01-13,29.4,,
45,1913-01-14,32.6,,
46,1913-01-15,38.0,,
47,1913-01-16,36.5,,
48,1913-01-17,33.0,,
49,1913-01-18,36.5,,
50,1913-01-19,35.9,,
51,1913-01-20,41.2,,
52,1913-01-21,44.6,,
53,1913-01-22,41.6,,
54,1913-01-23,38.0,,
55,1913-01-24,33.9,,
56,1913-01-25,35.7,,
57,1913-01-26,36.1,,
58,1913-01-27,28.3,,
59,1913-01-28,28.3,,
60,1913-01-29,27.7,,
61,1913-01-30,36.1,,
62,1913-01-31,28.3,,
63,1913-02-01,31.7,,
64,1913-02-02,35.8,,
65,1913-02-03,31.3,,
66,1913-02-04,25.7,,
67,1913-02-05,29.0,,
68,1913-02-06,31.3,,
69,1913-02-07,34.1,,
70,1913-02-08,32.4,,
71,1913-02-09,37.2,,
72,1913-02-10,31.7,,
73,1913-02-11,32.4,,
74,1913-02-12,31.7,,
75,1913-02-13,39.7,,
76,1913-02-14,37.2,,
77,1913-02-15,33.6,,
78,1913-02-16,30.8,,
79,1913-02-17,30.1,,
80,1913-02-18,39.2,,
81,1913-02-19,39.7,,
82,1913-02-20,37.2,,
83,1913-02-21,39.7,,
84,1913-02-22,38.4,,
85,1913-02-23,30.8,,
86,1913-02-24,35.8,,
87,1913-02-25,37.2,,
88,1913-02-26,38.4,,
89,1913-02-27,36.7,,
90,1913-02-28,36.7,,
91,1913-03-01,38.2,,
92,1913-03-02,35.2,,
93,1913-03-03,34.5,,
94,1913-03-04,35.2,,
95,1913-03-05,33.3,,
96,1913-03-06,30.9,,
97,1913-03-07,28.4,,
98,1913-03-08,35.2,,
99,1913-03-09,35.7,,
100,1913-03-10,25.7,,
101,1913-03-11,25.1,,
102,1913-03-12,27.4,,
103,1913-03-13,28.8,,
104,1913-03-14,33.3,,
105,1913-03-15,37.3,,
106,1913-03-16,32.2,,
107,1913-03-17,23.7,,
108,1913-03-18,28.4,,
109,1913-03-19,33.3,,
110,1913-03-20,37.3,,
111,1913-03-21,35.7,,
112,1913-03-22,26.1,,
113,1913-03-23,23.0,,
114,1913-03-24,21.9,,
115,1913-03-25,21.9,,
116,1913-03-26,23.0,,
117,1913-03-27,26.9,,
118,1913-03-28,30.5,,
119,1913-03-29,27.4,,
120,1913-03-30,28.4,,
121,1913-03-31,30.9,,
122,1913-04-01,28.7,,
123,1913-04-02,32.8,,
124,1913-04-03,33.2,,
125,1913-04-04,32.8,,
126,1913-04-05,33.8,,
127,1913-04-06,28.7,,
128,1913-04-07,27.6,,
129,1913-04-08,23.5,,
130,1913-04-09,22.4,,
131,1913-04-10,19.3,,
132,1913-04-11,19.1,,
133,1913-04-12,21.4,,
134,1913-04-13,23.5,,
135,1913-04-14,23.8,,
136,1913-04-15,26.4,,
137,1913-04-16,28.5,,
138,1913-04-17,33.2,,
139,1913-04-18,28.5,,
140,1913-04-19,27.6,,
141,1913-04-20,29.1,,
142,1913-04-21,28.5,,
143,1913-04-22,28.6,,
144,1913-04-23,29.1,,
145,1913-04-24,19.8,,
146,1913-04-25,20.4,,
147,1913-04-26,21.4,,
