,f (/days),component
0,0.0,(407916.19999999995+8.924416761146858e-12j)
1,5.606009642336585e-05,(1383.5811141545792+4109.203448792584j)
2,0.0001121201928467317,(-64.01767641688534+377.79359428056864j)
3,0.00016818028927009755,(-596.4384314176127+413.6137499785377j)
4,0.0002242403856934634,(-2136.7531712030645+1522.3425521058232j)
5,0.00028030048211682924,(-921.6865132212597+28.577150687943913j)
6,0.0003363605785401951,(-964.1891297844641+1241.8742704098981j)
7,0.00039242067496356094,(-501.20767891947213-1033.8925230323425j)
8,0.0004484807713869268,(-2794.44292211306-192.32804038476382j)
9,0.0005045408678102926,(137.51785658833793-1758.4621466293597j)
10,0.0005606009642336585,(459.9285159360433+518.8344529876282j)
11,0.0006166610606570243,(57.62832477364056+22.282320313175163j)
12,0.0006727211570803902,(92.18936870650577+1431.585615997785j)
13,0.000728781253503756,(-1006.6253355853488-1179.2658739243827j)
14,0.0007848413499271219,(-1437.0209760804335+1675.2165030636438j)
15,0.0008409014463504877,(1130.2497553385074+1176.56472560248j)
16,0.0008969615427738536,(-1717.9710116125448+8.437299181889017j)
17,0.0009530216391972194,(-1532.214609279574+632.8893591047552j)
18,0.0010090817356205853,(2229.3236030767303+2212.366748147666j)
19,0.001065141832043951,(-62.06974070309263-254.92598131905183j)
20,0.001121201928467317,(-1412.4744187313954-1094.5665259913644j)
21,0.001177262024890683,(612.6559272207543+219.7484028199715j)
22,0.0012333221213140487,(-1544.7120297629594+1347.5080652423133j)
23,0.0012893822177374144,(1638.9152877404056+58.54691055416356j)
24,0.0013454423141607804,(-241.27551295396978+114.27666926104827j)
25,0.0014015024105841463,(-403.2888463893221-606.6334914957058j)
26,0.001457562507007512,(-339.2286165973182+462.0733949469134j)
27,0.0015136226034308778,(-1443.933199785482+1599.2849345774107j)
28,0.0015696826998542438,(269.1735657738588-565.8789424964983j)
29,0.0016257427962776097,(-1472.3273794578313+1207.6243905691013j)
30,0.0016818028927009755,(858.0107641759897+262.8396800529983j)
31,0.0017378629891243412,(247.43624586345823-1024.4040902714487j)
32,0.0017939230855477072,(271.7933807894815+2965.5511732516165j)
33,0.0018499831819710731,(-1779.2932245759914-222.68619831427333j)
34,0.0019060432783944389,(115.8892813017637-162.27022207977762j)
35,0.0019621033748178046,(-1802.4344947602617+1175.589119267663j)
36,0.0020181634712411706,(158.9354760469075-279.83571684336346j)
37,0.0020742235676645365,(-1588.1787025684257+1930.4786142661153j)
38,0.002130283664087902,(-991.2545279365316+249.13822279061174j)
39,0.002186343760511268,(-515.461349717858+347.2215887212258j)
40,0.002242403856934634,(-384.6459702502864+721.9153042233041j)
41,0.002298463953358,(-2686.006431388206-2843.3238792311045j)
42,0.002354524049781366,(-1335.8187302843055+289.81166101841404j)
43,0.0024105841462047314,(-1177.2878621542147+383.49221590047887j)
44,0.0024666442426280973,(-2639.198145361244+607.7419623900128j)
45,0.0025227043390514633,(-3338.579125780824-744.6062384518949j)
46,0.002578764435474829,(-4065.9328225956624-1433.7538957367908j)
47,0.0026348245318981948,(-5880.980224058058-1007.9690701330569j)
48,0.0026908846283215607,(-11526.649425431562-3151.1405384570685j)
49,0.0027469447247449267,(73283.1078663872+17816.761973866505j)
50,0.0028030048211682927,(9905.992955994754+2839.831898812693j)
51,0.002859064917591658,(5036.203035341847+1864.0258610506658j)
52,0.002915125014015024,(4779.098641445009-263.4327101954905j)
53,0.00297118511043839,(2311.6138720914882+393.25440187713184j)
54,0.0030272452068617556,(1742.8961781237206+590.341024542964j)
55,0.0030833053032851216,(1273.6793902734082+802.4061046954598j)
56,0.0031393653997084875,(477.33928185723886-1006.8747985158031j)
57,0.0031954254961318535,(1819.7850517563804+2707.020368134704j)
58,0.0032514855925552194,(1041.037559340519-690.8639453599949j)
59,0.003307545688978585,(3065.2794563294133+1353.5785642717j)
60,0.003363605785401951,(1118.4604877608122+1098.5006814783467j)
61,0.003419665881825317,(-1006.6447217362474+2511.691767201871j)
62,0.0034757259782486824,(959.2720106295142+363.68353535448125j)
63,0.0035317860746720484,(670.2341665714232+439.3555957852908j)
64,0.0035878461710954143,(-228.66475380150507+1778.428864199322j)
65,0.0036439062675187803,(157.10427693204713+383.8199036330857j)
66,0.0036999663639421462,(-914.6854366612479+863.2196769445792j)
67,0.0037560264603655118,(-6.867911957706639-204.31582756540485j)
68,0.0038120865567888777,(393.31593016269426+456.18759952279726j)
69,0.0038681466532122437,(-513.9022472211896+347.79778599143077j)
70,0.003924206749635609,(1687.8092628442068+517.4061685630948j)
71,0.003980266846058975,(278.4460439777244+1109.152541561014j)
72,0.004036326942482341,(-122.93420303856192+1466.2715453810063j)
73,0.004092387038905707,(-751.5272192332915+1940.9403828583058j)
74,0.004148447135329073,(237.68413543405472+1086.8035918549208j)
75,0.004204507231752439,(-648.4401864383032+30.18093305363891j)
76,0.004260567328175804,(720.3965842464943+1041.615415155233j)
77,0.00431662742459917,(-425.0640485182235+131.21326336754828j)
78,0.004372687521022536,(-4.591928040962102+514.1027207162101j)
79,0.004428747617445902,(306.6932666405286+1535.7464721315678j)
80,0.004484807713869268,(-840.1984618932725-493.4536070855961j)
81,0.004540867810292634,(-51.324565901294086+207.29679404180035j)
82,0.004596927906716,(-521.2015833729657+722.3210843244133j)
83,0.004652988003139366,(138.73765615789114+1255.7293219863234j)
84,0.004709048099562732,(-775.4620103598121-67.22978918706951j)
85,0.004765108195986097,(-1833.5712730401083-346.227185818731j)
86,0.004821168292409463,(-956.8250194678868+1201.4330876021231j)
87,0.004877228388832829,(-565.9694345636977+169.71560615708202j)
88,0.004933288485256195,(-432.4856799638219-78.18262354127171j)
89,0.004989348581679561,(-171.94421877756838-201.8119368777118j)
90,0.005045408678102927,(144.87195268938066-388.52187074669473j)
91,0.0051014687745262926,(-663.3619729359094-18.44706070653524j)
92,0.005157528870949658,(-850.0585846286751+375.8446510872932j)
93,0.005213588967373024,(-234.22770338110965+772.417065128368j)
94,0.0052696490637963896,(-324.3712271344184-63.359788260015065j)
95,0.0053257091602197555,(331.4314492427948+794.8813169015177j)
96,0.0053817692566431215,(-9.778178683419554+2553.147292202232j)
97,0.005437829353066487,(509.8824305496146+1930.1224007597145j)
98,0.005493889449489853,(-240.16551821292944-4612.1487638461285j)
99,0.005549949545913219,(-197.5312935254204-2245.971599048275j)
100,0.005606009642336585,(-79.63291567831506+481.1845561606919j)
101,0.00566206973875995,(997.8939469483299-747.0385364346878j)
102,0.005718129835183316,(624.3819090956123-2.0365358371940374j)
103,0.005774189931606682,(85.44492849910804+403.41520134038365j)
104,0.005830250028030048,(2205.1656897683347-329.32221219021807j)
105,0.005886310124453414,(855.2370836765709+633.0735279065871j)
106,0.00594237022087678,(89.73081785973677+302.39519594258536j)
107,0.005998430317300146,(-151.34481779080676-496.6663264667116j)
