,f (/years),component
0,0.0,(491028.6+1.0736300737335114e-11j)
1,0.020475950218634378,(-8.002296696078062+1659.3154932159355j)
2,0.040951900437268755,(222.07703553941514+1838.17665222148j)
3,0.06142785065590313,(-420.4560802216996+2601.0036901896838j)
4,0.08190380087453751,(-358.29842014524365-72.28033341341754j)
5,0.10237975109317188,(-1227.0269988956784-271.0442261829994j)
6,0.12285570131180626,(46.03413416090345+1494.4700940815524j)
7,0.14333165153044064,(426.5560000412873+934.086241431892j)
8,0.16380760174907502,(-864.7683297231538+2878.3332005834172j)
9,0.18428355196770937,(187.1317885704293-1477.812096850122j)
10,0.20475950218634376,(47.259070139864306+841.0923131887035j)
11,0.22523545240497814,(940.0080191777862+422.42950765031986j)
12,0.24571140262361252,(-1370.6443222028836+295.5064238382181j)
13,0.26618735284224687,(1162.0125612484544-969.1685293947601j)
14,0.2866633030608813,(1411.5049222689888+1499.1769922505914j)
15,0.30713925327951563,(-31.265127568505434+683.6938875897595j)
16,0.32761520349815004,(-757.3166443640082+105.30076873084943j)
17,0.3480911537167844,(658.5187203888122-1746.1019929747397j)
18,0.36856710393541875,(-256.1224642730189-1572.294615402098j)
19,0.3890430541540531,(535.8458980657439+276.25778680627053j)
20,0.4095190043726875,(-1551.6655197794478-651.545333107355j)
21,0.4299949545913219,(852.3347565471398+1400.6633700757343j)
22,0.4504709048099563,(-119.63509564990804+526.1410134361798j)
23,0.4709468550285906,(31.559485650907718-413.27849742125386j)
24,0.49142280524722504,(1035.3493553804888-610.6522715155081j)
25,0.5118987554658595,(-294.05317379826295+163.7878210713728j)
26,0.5323747056844937,(1218.4769767549046-410.0458445977264j)
27,0.5528506559031281,(-62.386182968145704+98.44322200871291j)
28,0.5733266061217626,(-1248.5087628708447+62.67173851081644j)
29,0.5938025563403969,(1335.410165536139+424.4843132350708j)
30,0.6142785065590313,(-268.46233027698315+527.6888022677559j)
31,0.6347544567776656,(-137.54759995720758-953.8033777893718j)
32,0.6552304069963001,(608.9665595561113-903.4892546621988j)
33,0.6757063572149344,(-453.8622897967928+178.45375789001776j)
34,0.6961823074335688,(-1471.0192226708216+329.6636358340537j)
35,0.7166582576522031,(-889.9113027710437-1399.8833395243278j)
36,0.7371342078708375,(-723.6459883883184-946.6991409580153j)
37,0.757610158089472,(329.21215825780837-1501.8096380746852j)
38,0.7780861083081062,(-913.3516025757524-333.0096812864847j)
39,0.7985620585267407,(-31.389839888931164-549.9220013850212j)
40,0.819038008745375,(-159.12124144624445-335.37665020162297j)
41,0.8395139589640095,(-1573.1913211932347+986.0917729595928j)
42,0.8599899091826438,(-1843.5268704668226-209.85462507665557j)
43,0.8804658594012781,(-1595.8969261144334+931.1010548781987j)
44,0.9009418096199125,(-79.96568361467371-643.5936842193757j)
45,0.921417759838547,(-390.1043235872494+261.77602454361784j)
46,0.9418937100571813,(-127.17322677304526-1307.1358686379247j)
47,0.9623696602758156,(-3030.4729744010306-358.00177438398646j)
48,0.9828456104944501,(-4654.5383936116195-3232.183091043837j)
49,1.0033215607130845,(25568.767500304562+17745.171753569113j)
50,1.023797510931719,(3696.9871067315653+1662.669382583496j)
51,1.0442734611503532,(1925.086437923888+1321.7100799648074j)
52,1.0647494113689875,(1927.668763468242+1933.0012080990723j)
53,1.085225361587622,(-358.10813929233694+964.0551508760631j)
54,1.1057013118062562,(1503.424562934872+1135.7827102061776j)
55,1.1261772620248907,(871.01798258101-492.8841620431256j)
56,1.1466532122435251,(334.44907933825317+310.012257441339j)
57,1.1671291624621596,(226.0000320161961-1250.3660226467746j)
58,1.1876051126807938,(465.45506637143717+647.0719526623533j)
59,1.208081062899428,(65.39798945843125+121.66261709348962j)
60,1.2285570131180625,(470.2546126067757-9.670632823434659j)
61,1.249032963336697,(1546.1507944793273+675.4217393321428j)
62,1.2695089135553312,(370.2129803945859+1006.4020667110458j)
63,1.2899848637739657,(-370.2588801852189+325.30414510657795j)
64,1.3104608139926002,(66.88162773573856-604.9190275037167j)
65,1.3309367642112344,(233.7107815934541+875.7543172677049j)
66,1.3514127144298689,(-627.3348791883557+479.42636949985683j)
67,1.3718886646485031,(559.2879778100636+884.3103096402923j)
68,1.3923646148671376,(-740.5957581956117+702.6689165269304j)
69,1.412840565085772,(505.8256056031822-79.63028575757099j)
70,1.4333165153044063,(-193.885750111283-196.27378588585017j)
71,1.4537924655230408,(-862.4597132185205+869.8158026608411j)
72,1.474268415741675,(500.258854250289+878.7600838127994j)
73,1.4947443659603095,(-363.1253133471562+355.7691869590621j)
74,1.515220316178944,(961.9845245303095-75.13517021515673j)
