,f (/years),component
0,0.0,(354529.19999999995+7.8017592386459e-12j)
1,0.020475950218634378,(-153.8932274355957+2816.782426613194j)
2,0.040951900437268755,(152.61999078716798+1629.2481219278266j)
3,0.06142785065590313,(-787.3377967041388+1831.2518340982178j)
4,0.08190380087453751,(-1906.0601125179348+116.01395423504394j)
5,0.10237975109317188,(-1248.7294006705667-837.1531338998363j)
6,0.12285570131180626,(-525.8750997321109+1056.0714256584113j)
7,0.14333165153044064,(-477.8649916421251+190.7329863417101j)
8,0.16380760174907502,(-371.17650272563753+474.28224515076386j)
9,0.18428355196770937,(-149.81888686483117-1034.7370606884945j)
10,0.20475950218634376,(-353.4281363932372-505.746355468196j)
11,0.22523545240497814,(731.6188228034989+369.30878110109205j)
12,0.24571140262361252,(-835.8465212402799+138.7954685106343j)
13,0.26618735284224687,(-27.29849727210383-1332.5078251024083j)
14,0.2866633030608813,(-78.74959075611042+1222.1592803370693j)
15,0.30713925327951563,(-490.6310926890359+1165.9329934461136j)
16,0.32761520349815004,(-1097.2547818878732+1438.9805828618955j)
17,0.3480911537167844,(238.08242828387745+218.4293023418582j)
18,0.36856710393541875,(-4.806013459033309+614.7309747535235j)
19,0.3890430541540531,(551.9011310698039-1068.1954142067423j)
20,0.4095190043726875,(-968.7326115333925-240.38130543455887j)
21,0.4299949545913219,(1740.1920146722516+412.66620079313225j)
22,0.4504709048099563,(-484.40613515693184-775.075269425935j)
23,0.4709468550285906,(-539.3523108172398+8.391733513189074j)
24,0.49142280524722504,(246.7670949511251-109.44206756556655j)
25,0.5118987554658595,(-926.1625842141267-43.50535963654707j)
26,0.5323747056844937,(-764.9973256535638-575.6431318712721j)
27,0.5528506559031281,(18.56209579060802+538.5998993557856j)
28,0.5733266061217626,(-1113.3954494262714+1096.63135647393j)
29,0.5938025563403969,(534.951822899419+284.554573702606j)
30,0.6142785065590313,(220.9981526203052+107.4939891428742j)
31,0.6347544567776656,(-995.0318280554337-71.13742164845922j)
32,0.6552304069963001,(763.1833543617956-240.10061390305916j)
33,0.6757063572149344,(-1026.2671487728999+631.8050495116115j)
34,0.6961823074335688,(-487.36829727008444+1002.5909183633851j)
35,0.7166582576522031,(-348.59070037258135-117.78722745648571j)
36,0.7371342078708375,(-396.19248422768317+121.28102551385342j)
37,0.757610158089472,(-889.6655164868184-982.7550605620374j)
38,0.7780861083081062,(-572.4477434314982-436.7348331947288j)
39,0.7985620585267407,(-1039.905160437589+858.5241802349857j)
40,0.819038008745375,(-995.4707907293187+240.11724537280278j)
41,0.8395139589640095,(-1724.0305155747274-809.851337135962j)
42,0.8599899091826438,(-1174.0303982905577+171.8743636806606j)
43,0.8804658594012781,(-1521.6200832526097-596.3813882351299j)
44,0.9009418096199125,(-1196.801363637549-374.8115512599778j)
45,0.921417759838547,(-2710.5317794880298-481.7059931706648j)
46,0.9418937100571813,(-3380.652722041672+56.129929102056394j)
47,0.9623696602758156,(-4490.17968918776-627.6299164077695j)
48,0.9828456104944501,(-8329.459112953247-1905.544762689482j)
49,1.0033215607130845,(50448.45033680492+13611.783868065137j)
50,1.023797510931719,(6645.006734120249+1592.7464579697871j)
51,1.0442734611503532,(4159.254725855744+849.787337092678j)
52,1.0647494113689875,(2984.5745870860164+1277.795043903693j)
53,1.085225361587622,(1387.3113720857857-267.1709329394328j)
54,1.1057013118062562,(1254.8529463731484+482.28821123926787j)
55,1.1261772620248907,(385.0225009211314-249.1595745680268j)
56,1.1466532122435251,(791.2756679119051-167.6096931013992j)
57,1.1671291624621596,(915.5121033618675+52.29394949568842j)
58,1.1876051126807938,(1540.644177522231+225.59211725798787j)
59,1.208081062899428,(601.0172887481918-480.70336995426055j)
60,1.2285570131180625,(490.3591906545308+159.2435014064207j)
61,1.249032963336697,(100.19931908685788+881.1480932292288j)
62,1.2695089135553312,(1868.6839184312491+394.6371746516785j)
63,1.2899848637739657,(-289.1407914576987+432.7357045052302j)
64,1.3104608139926002,(1067.8985601004363+695.714701129777j)
65,1.3309367642112344,(463.54670371697637+358.99555251005165j)
66,1.3514127144298689,(-99.74547312926165+579.2551796766419j)
67,1.3718886646485031,(-697.1880867265952+1284.519412486577j)
68,1.3923646148671376,(-200.6012179864394+1180.8382955670886j)
69,1.412840565085772,(1185.0842203196012-25.91032766383455j)
70,1.4333165153044063,(699.2181492877277+548.8965423343076j)
71,1.4537924655230408,(850.6964930920589+743.0485121593562j)
72,1.474268415741675,(370.91062908876756+1294.5857328686516j)
73,1.4947443659603095,(119.29106389923088+306.6827875134651j)
74,1.515220316178944,(-285.1056001435605+404.1293440247321j)
75,1.5356962663975784,(-307.79326311665363-701.354429587635j)
76,1.5561722166162124,(1294.58666630738+374.2132444946041j)
77,1.5766481668348469,(-629.2566287315237+1250.6506904782188j)
78,1.5971241170534813,(187.7045143094221-250.95871568146023j)
79,1.6176000672721156,(525.462726561877+638.2576640298014j)
80,1.63807601749075,(0.21871584304531666-411.50984318256445j)
81,1.6585519677093845,(362.39815922266934-10.951322201400671j)
82,1.679027917928019,(-89.29396942286935+500.763888791468j)
83,1.6995038681466534,(-134.8461614450699-402.91214246024583j)
84,1.7199798183652877,(911.4994369266453-452.8622446682182j)
85,1.740455768583922,(595.8998524414242+864.1967248093194j)
86,1.7609317188025562,(152.54061937859095+144.6776107224817j)
87,1.7814076690211906,(262.0901416807687+448.7422514565096j)
88,1.801883619239825,(15.215312092842389+31.318565805053282j)
89,1.8223595694584596,(-484.0838913147862+1112.970614516162j)
90,1.842835519677094,(1110.7107830921718-600.842873604232j)
91,1.8633114698957283,(275.23230117192827+236.00575765236104j)
92,1.8837874201143625,(62.14505626691196+571.1070441682783j)
93,1.904263370332997,(711.4471684217986+502.43036000477423j)
94,1.9247393205516312,(29.554901066885808-545.8132627718892j)
95,1.9452152707702657,(-379.1697837963631+1104.6139869247436j)
96,1.9656912209889001,(1208.01232505194+831.1074880322541j)
97,1.9861671712075346,(1311.303446649225+1808.0804925233092j)
98,2.006643121426169,(-3391.443674750301-5044.1945975348735j)
99,2.0271190716448033,(-10.257956686393797-597.4030116151462j)
100,2.047595021863438,(-574.6726390746268-1069.3395831497276j)
101,2.068070972082072,(-477.4182703438703-159.9306316624478j)
102,2.0885469223007065,(-88.25872273102829+18.86105713054152j)
103,2.1090228725193407,(84.75692859226726+787.3110894564793j)
104,2.129498822737975,(191.07451708495267-822.3927243127431j)
105,2.1499747729566097,(-530.9597180069073-566.6291053418053j)
106,2.170450723175244,(624.9738688061226-319.68244873937135j)
107,2.1909266733938786,(-129.76562067154723-652.1372616000947j)
108,2.2114026236125124,(-23.318792629815725+146.43107697280345j)
109,2.231878573831147,(76.41143839986354-149.48219323811472j)
110,2.2523545240497813,(267.0768735033846-13.695670068603818j)
111,2.2728304742684156,(1145.2826287254466-5.963155167352966j)
112,2.2933064244870502,(182.69370132638926-359.68781479781404j)
113,2.3137823747056845,(676.176487775319+241.52629172616471j)
114,2.334258324924319,(1221.050732290745+500.90335310380027j)
115,2.3547342751429534,(840.6910133543183-1578.164813463949j)
116,2.3752102253615877,(-722.1963658504412-88.08528457219057j)
117,2.395686175580222,(418.8690324806178-536.9825846915222j)
118,2.416162125798856,(170.34101448883013-0.9945325865603536j)
119,2.436638076017491,(156.82541631249518-194.11141533249682j)
