,f (/years),component
0,0.0,(282231.39999999997+5.186961971048731e-12j)
1,0.020475950218634378,(-0.4115902978890852+4964.1365337701j)
2,0.040951900437268755,(-930.2967547069545+442.8338306082484j)
3,0.06142785065590313,(-1137.4459738161029+1107.0532773925902j)
4,0.08190380087453751,(-2275.618430011193-701.1471443811732j)
5,0.10237975109317188,(-2730.6178951902766-583.4618805937005j)
6,0.12285570131180626,(766.6061856117235+1040.033623711826j)
7,0.14333165153044064,(678.2538118929324+5.583378096122532j)
8,0.16380760174907502,(-1141.698285467229-759.2344125554151j)
9,0.18428355196770937,(230.1895883160971-1151.6639108626634j)
10,0.20475950218634376,(541.8891935749733+658.9150400122338j)
11,0.22523545240497814,(-216.38463298586205+508.87511402121856j)
12,0.24571140262361252,(-512.6345386407916+1183.7409015266119j)
13,0.26618735284224687,(-439.459725179829-795.5857869169463j)
14,0.2866633030608813,(283.9832854885518+933.7843961990683j)
15,0.30713925327951563,(374.271311582405+897.9672619097222j)
16,0.32761520349815004,(-1618.6784302798828-2006.8879965120657j)
17,0.3480911537167844,(-407.7584260203435-188.31322266676918j)
18,0.36856710393541875,(435.5013554594312-27.3745319881298j)
19,0.3890430541540531,(1141.7954620426058-661.1513764913864j)
20,0.4095190043726875,(-1368.8788161254497-1556.8101607060228j)
21,0.4299949545913219,(-802.4014086004778+522.7589225800365j)
22,0.4504709048099563,(-1721.2263867426323+400.3006843584709j)
23,0.4709468550285906,(-537.2251266978014-1446.004841530461j)
24,0.49142280524722504,(311.3108224297686+1012.9636997188605j)
25,0.5118987554658595,(-349.6078908105223-959.387393457064j)
26,0.5323747056844937,(-140.0733464348781-86.66336863935572j)
27,0.5528506559031281,(-399.0661919401503-714.7233348899241j)
28,0.5733266061217626,(-1199.7897804673757+545.853674582317j)
29,0.5938025563403969,(-1122.5133219611223+821.5116484846944j)
30,0.6142785065590313,(396.139965732381-21.725279710422406j)
31,0.6347544567776656,(-339.93885612299-151.98206026875366j)
32,0.6552304069963001,(1041.8995745185746+470.43567296569637j)
33,0.6757063572149344,(-2540.67777856376+1589.1634380895684j)
34,0.6961823074335688,(-763.5753617167412+352.4087548869343j)
35,0.7166582576522031,(-134.9275118033559+110.50082870016243j)
36,0.7371342078708375,(-1010.4242881397998-275.47601062884246j)
37,0.757610158089472,(-394.9658658613502-233.57765401005076j)
38,0.7780861083081062,(-1881.8064616631898+1.2308186171999864j)
39,0.7985620585267407,(-1637.2541369499377-615.3521903628633j)
40,0.819038008745375,(-1303.0821402237525+518.6557535886918j)
41,0.8395139589640095,(-2764.8090810634126+105.92097354258794j)
42,0.8599899091826438,(-1830.2051129845331+871.599328367299j)
43,0.8804658594012781,(-1426.3661619953682-52.88159077915975j)
44,0.9009418096199125,(-3731.373068495157-149.17130628167388j)
45,0.921417759838547,(-3303.7311608302093+200.90560405127462j)
46,0.9418937100571813,(-5939.720300817647-1211.5594352204707j)
47,0.9623696602758156,(-7343.024650317671-293.4173988912021j)
48,0.9828456104944501,(-11378.764407697608-2982.856948081415j)
49,1.0033215607130845,(69417.33232710506+13276.898120310238j)
50,1.023797510931719,(8880.3021014226+3595.832487273397j)
51,1.0442734611503532,(5126.176661804211+1322.4992770229132j)
52,1.0647494113689875,(3926.903370267743+938.9513603913549j)
53,1.085225361587622,(359.38292850176003+34.280881972690594j)
54,1.1057013118062562,(-435.89313103136516-420.57377472710914j)
55,1.1261772620248907,(1081.0665948260043+888.9243988705309j)
56,1.1466532122435251,(1191.0859826149367-243.78641021691118j)
57,1.1671291624621596,(1947.6153638943147-74.13173983694298j)
58,1.1876051126807938,(1415.857049830952-813.0427138764416j)
59,1.208081062899428,(1785.3522035430392+218.31412181572682j)
60,1.2285570131180625,(1550.3984303219636+331.01746525686883j)
61,1.249032963336697,(-16.365832508897938+2386.356492406568j)
62,1.2695089135553312,(1512.0222222146115+327.7014823614363j)
63,1.2899848637739657,(695.3244996750119-486.3312744234109j)
64,1.3104608139926002,(1107.9827332346758+1458.761772127427j)
65,1.3309367642112344,(-607.306893423072-136.74511851013378j)
66,1.3514127144298689,(716.5670615901397+1431.3034676207562j)
67,1.3718886646485031,(-1429.9033263300516+386.0006268500251j)
68,1.3923646148671376,(182.60640392890042+1063.1857010650378j)
69,1.412840565085772,(253.9692082529598-824.117021769117j)
70,1.4333165153044063,(-222.52550254238326-496.9371069499274j)
71,1.4537924655230408,(567.2405175560605+1154.6845864475965j)
72,1.474268415741675,(203.04439500471003+465.8252347884337j)
73,1.4947443659603095,(-161.56326198987722+1596.758930072976j)
74,1.515220316178944,(956.5662340576084+70.44203368161556j)
75,1.5356962663975784,(-434.2469296538923-329.5936707826206j)
76,1.5561722166162124,(2227.3392535184134-405.80237232905654j)
77,1.5766481668348469,(27.70556061387333+1295.7062125530717j)
78,1.5971241170534813,(1.5869486915024709-1823.1761308353543j)
79,1.6176000672721156,(1431.1342887267754+1131.6518588489305j)
80,1.63807601749075,(-874.7216981993698-462.39827137342513j)
81,1.6585519677093845,(-1085.892757760731+745.0164590635721j)
82,1.679027917928019,(-911.1962543850707+575.1674236912716j)
83,1.6995038681466534,(-416.43804586765117+747.1530137490536j)
84,1.7199798183652877,(1038.435600678144-276.4530089897837j)
85,1.740455768583922,(6.657363353710565+529.3758498872802j)
86,1.7609317188025562,(-201.60650437804992+695.3559348149871j)
87,1.7814076690211906,(-810.6906517198968-89.42530873122797j)
88,1.801883619239825,(-174.9161336804317+676.652541890146j)
89,1.8223595694584596,(-1061.516532956298+451.59029566472304j)
90,1.842835519677094,(34.31579159186873+209.7684807396273j)
91,1.8633114698957283,(-1232.5714113179392+1870.5804963150556j)
92,1.8837874201143625,(-354.0993603296594+122.67690736669013j)
93,1.904263370332997,(-60.90473999824741-221.39323398374302j)
94,1.9247393205516312,(-245.6325147169634-666.374810794021j)
95,1.9452152707702657,(-1862.5613716322473+1333.4084961682856j)
96,1.9656912209889001,(38.29370897179517+1141.0118810534962j)
97,1.9861671712075346,(-1470.9341482000862+1029.1578792899184j)
98,2.006643121426169,(4922.67253692529-1844.6060241047476j)
99,2.0271190716448033,(510.16471665221263-625.973637957881j)
100,2.047595021863438,(1011.3467972461099-427.6482027063696j)
101,2.068070972082072,(892.8463701538391+201.49913272145608j)
102,2.0885469223007065,(844.66325344485-714.1433624654741j)
103,2.1090228725193407,(177.07966859007843+255.13285066694812j)
104,2.129498822737975,(198.49232535384422-510.80277265781046j)
105,2.1499747729566097,(77.74043335009219-34.08186525805272j)
106,2.170450723175244,(846.5153563682709-593.4038730605919j)
107,2.1909266733938786,(766.6239635571956-894.244984793691j)
108,2.2114026236125124,(-361.64647864943674+230.947450149177j)
109,2.231878573831147,(137.95016112956318+504.742900094037j)
110,2.2523545240497813,(-224.1823933511077+776.3540465549321j)
111,2.2728304742684156,(1447.2210619147345-251.5575228201489j)
112,2.2933064244870502,(729.8202209864727-1476.8267072216456j)
113,2.3137823747056845,(105.58821924312588+1424.8834782311822j)
114,2.334258324924319,(606.3648620014274+205.17031730950703j)
115,2.3547342751429534,(-339.6419796873553+494.4831570928854j)
116,2.3752102253615877,(-842.33443930409+77.12707710606685j)
117,2.395686175580222,(114.94554822829946-890.7141495021531j)
118,2.416162125798856,(65.69248253540744+400.67243951275105j)
119,2.436638076017491,(187.11673064848247+419.7662603897818j)
120,2.457114026236125,(-393.5227537072608+970.8514948403531j)
121,2.4775899764547598,(-55.19717173783299+121.30803875561999j)
122,2.498065926673394,(-113.13856701844941+1909.0331472161392j)
123,2.5185418768920282,(1343.8546113108262+536.3245669103715j)
124,2.5390178271106625,(-215.84903665448047+609.3662620229794j)
125,2.5594937773292967,(1207.951319988336-85.84310943238228j)
126,2.5799697275479314,(583.1244336775782+1110.0459337162495j)
127,2.6004456777665657,(505.44840561366004-863.5148269888003j)
128,2.6209216279852003,(386.80003490808275+497.9816070636602j)
129,2.6413975782038346,(1001.5126270004193+430.130694082614j)
130,2.661873528422469,(-2059.7960737540197-498.3494101585196j)
131,2.6823494786411035,(227.7318642276275+104.8941829418187j)
132,2.7028254288597378,(-69.82375186813206+565.7704241243017j)
133,2.723301379078372,(609.91123240992-6.941625409534948j)
134,2.7437773292970062,(-561.180073808745+245.04932894850631j)
135,2.764253279515641,(254.13590997411345-270.09783762599864j)
136,2.784729229734275,(-57.41378892935799-1060.4480711329163j)
137,2.8052051799529094,(472.15324792158117-886.6448216880954j)
138,2.825681130171544,(398.29342548319084-286.91881279226925j)
139,2.8461570803901783,(-371.7817052889936+742.1638140495145j)
140,2.8666330306088126,(-544.0529388725242+626.4926267908113j)
141,2.887108980827447,(59.078437230209005-337.42052371596526j)
142,2.9075849310460815,(-318.3738546376141+109.13029254244566j)
143,2.9280608812647158,(-708.5565077792725-550.4315052692051j)
144,2.94853683148335,(-599.4680792706299-112.16414086000702j)
145,2.9690127817019847,(745.8243082690412+611.7366967347433j)
146,2.989488731920619,(-1063.3052571922808+178.64589545994352j)
147,3.0099646821392536,(792.351397723326-73.06371958891259j)
148,3.030440632357888,(432.51996151747085-485.5931402970531j)
149,3.050916582576522,(709.731380350852+1157.710871289491j)
150,3.071392532795157,(261.7760663311985-832.8926929174896j)
151,3.091868483013791,(-90.82653430566455+190.11244882661765j)
152,3.112344433232425,(-42.78073088057947+94.07674410456968j)
153,3.132820383451059,(-22.760176230387003-715.3181968219269j)
154,3.1532963336696938,(-442.93504128968925+105.36942708019538j)
155,3.173772283888328,(-459.20992529692603+359.0335584591953j)
156,3.1942482341069627,(482.6385681788418-367.0307811000654j)
157,3.214724184325597,(-629.185429052769-795.04401839493j)
158,3.235200134544231,(55.01695751665312+820.578689331893j)
159,3.255676084762866,(-210.0003327597524+10.416269824598878j)
160,3.2761520349815,(346.7851852899248-658.6337548822221j)
161,3.296627985200135,(308.67305793367154+138.76886567548905j)
162,3.317103935418769,(-401.69175793804806+629.861992947735j)
163,3.3375798856374033,(-776.7129124701579-154.94933809146713j)
164,3.358055835856038,(-67.41528748430628+409.3284638764224j)
165,3.378531786074672,(-379.0648708638145-93.55660003438521j)
166,3.399007736293307,(-475.0957095805247-737.94110603651j)
167,3.419483686511941,(493.93299954083045+416.04030778580125j)
168,3.4399596367305754,(-762.2151117608125+323.63081610697617j)
169,3.460435586949209,(-575.4272649872576+539.4931692979462j)
170,3.480911537167844,(-448.13237477468573+574.1031321755216j)
171,3.501387487386478,(118.75125523192071+1722.391792440194j)
172,3.5218634376051123,(78.37234137018578-941.6643669313412j)
173,3.542339387823747,(-27.82812207137721+742.3417679705447j)
174,3.5628153380423813,(-404.72724792010644+1210.22485775384j)
175,3.583291288261016,(-57.52722509012716+592.9604406537687j)
176,3.60376723847965,(123.72534949143159+679.5036349358504j)
177,3.6242431886982844,(937.3589590204623+830.9345451441288j)
178,3.644719138916919,(768.4156460929753+99.29333020594231j)
179,3.6651950891355534,(-541.6832920743345-1020.2254462098228j)
180,3.685671039354188,(416.9756003107673+1366.6403641775514j)
181,3.7061469895728223,(-626.7490358163775+37.20866544067076j)
182,3.7266229397914565,(58.92290233482598+422.46498970880157j)
183,3.747098890010091,(992.6274604146132+26.616653002878138j)
184,3.767574840228725,(-1244.4966909218163-727.4886497093607j)
185,3.7880507904473593,(1243.4010936573159-250.1120634056582j)
186,3.808526740665994,(-609.326298013223-618.2521584275609j)
187,3.829002690884628,(-234.17859687045902+248.68051908393727j)
188,3.8494786411032624,(144.42636179516097+1182.721191569046j)
189,3.869954591321897,(1003.5421860805099+432.1746485926369j)
190,3.8904305415405314,(-320.88145921087664+725.0907038430244j)
191,3.9109064917591656,(88.63770822231982+205.47574148009423j)
192,3.9313824419778003,(-899.5661456471146-856.4674565389288j)
193,3.9518583921964345,(325.5470871408774+82.28530831055114j)
194,3.972334342415069,(-0.7606264340606401+385.84029177450475j)
195,3.9928102926337035,(653.8949710774912+445.59595049697947j)
196,4.013286242852338,(1802.1051261672762-638.0166338773417j)
197,4.033762193070972,(1154.9910112293917+241.94730969765448j)
198,4.054238143289607,(206.42737994911258+44.38771439311331j)
199,4.074714093508241,(-556.159632048092+250.3111493490417j)
200,4.095190043726876,(-97.53008703981646+883.8546179001003j)
201,4.115665993945509,(1.662037210795745+586.4636779433133j)
202,4.136141944164144,(-579.6870556290274-495.043782396586j)
203,4.156617894382778,(93.93400837492106-1349.1762914641868j)
204,4.177093844601413,(-483.10204938914575-190.48832752677203j)
205,4.197569794820047,(530.8658676552019+112.68055715216947j)
206,4.2180457450386815,(-517.6741199156559-52.64142480753961j)
207,4.238521695257316,(531.5645144443456+656.212018564618j)
