,f (/days),component
0,0.0,(240777.99999999994+4.632738637155853e-12j)
1,5.606009642336585e-05,(41.78135168711116+2713.5977200363345j)
2,0.0001121201928467317,(-1178.8845502234753+936.0297253643947j)
3,0.00016818028927009755,(-500.1522508339033+1238.5541645051583j)
4,0.0002242403856934634,(694.31393160973-498.37325178492114j)
5,0.00028030048211682924,(-1197.6551359577327+435.0399718767508j)
6,0.0003363605785401951,(669.7820782776803+444.1423251684414j)
7,0.00039242067496356094,(473.3423270906022+1220.2612346318142j)
8,0.0004484807713869268,(1014.8770381133274-328.2342767535984j)
9,0.0005045408678102926,(-304.1738050856428+642.9251732839384j)
10,0.0005606009642336585,(552.3540825549918+584.0450155953549j)
11,0.0006166610606570243,(164.04208063408566-166.0518599186599j)
12,0.0006727211570803902,(-1102.5688398117336-268.87932201447387j)
13,0.000728781253503756,(-861.366921435961+341.26828096473315j)
14,0.0007848413499271219,(-28.40311799207592+259.84615746902483j)
15,0.0008409014463504877,(-261.3424677651902+183.07769294466698j)
16,0.0008969615427738536,(-44.876666462304875-751.5069750581335j)
17,0.0009530216391972194,(-541.4691917626451-596.3692882082254j)
18,0.0010090817356205853,(600.003343975356-514.0635448630147j)
19,0.001065141832043951,(-172.61251596588187-76.18547713845601j)
20,0.001121201928467317,(-887.7057730585879-595.0901922505949j)
21,0.001177262024890683,(-18.1386413175628+923.891331387832j)
22,0.0012333221213140487,(-874.8149029856239+1445.4026109251822j)
23,0.0012893822177374144,(-723.5605004271605-1120.9650591070524j)
24,0.0013454423141607804,(243.46842694797127+24.269325417792828j)
25,0.0014015024105841463,(-300.5273745473863+181.82266067188462j)
26,0.001457562507007512,(145.5063324582046+902.447262661467j)
27,0.0015136226034308778,(-173.30148283636024-115.90286064053795j)
28,0.0015696826998542438,(-553.2957030482174+129.04350984205126j)
29,0.0016257427962776097,(-650.9813673145126+161.95398772068012j)
30,0.0016818028927009755,(-346.7564775664067-544.358079234177j)
31,0.0017378629891243412,(-916.6232277288401-2.710474714441375j)
32,0.0017939230855477072,(391.93307837522934+1271.9610955750018j)
33,0.0018499831819710731,(-813.7512719268799+876.077704992581j)
34,0.0019060432783944389,(-1186.3631550377772+731.0295869100278j)
35,0.0019621033748178046,(-413.3739551286969+228.76605393689005j)
36,0.0020181634712411706,(-976.4478225452126-231.50065200016326j)
37,0.0020742235676645365,(-395.4760028446175-61.64550957803132j)
38,0.002130283664087902,(-449.41243021038105+645.3080720785171j)
39,0.002186343760511268,(-1321.182769024739+222.04416568344573j)
40,0.002242403856934634,(-701.5002357576637-139.42242443203514j)
41,0.002298463953358,(-598.8932811004233+749.0765187644731j)
42,0.002354524049781366,(-843.7187213081877+238.94815154358616j)
43,0.0024105841462047314,(-264.34774607307946+336.57594041262763j)
44,0.0024666442426280973,(-1642.631927717254+722.4567234732891j)
45,0.0025227043390514633,(-1456.7089330508952+159.7071723221385j)
46,0.002578764435474829,(-2192.1608440631535+178.54380101465597j)
47,0.0026348245318981948,(-3290.7471856143143-156.47065634636624j)
48,0.0026908846283215607,(-5787.450949802022-416.3836922139644j)
49,0.0027469447247449267,(34037.20797475666+546.1218612651755j)
50,0.0028030048211682927,(4752.551194617384+515.4872960990836j)
51,0.002859064917591658,(2381.37487172497+523.4020562516953j)
52,0.002915125014015024,(1657.455487119653-44.86339750349555j)
53,0.00297118511043839,(827.6131202411639+56.64569636876263j)
54,0.0030272452068617556,(746.0748215803812-375.23676237679723j)
55,0.0030833053032851216,(772.6925706637126+258.201428831203j)
56,0.0031393653997084875,(1237.3850407995214-213.8280736725589j)
57,0.0031954254961318535,(854.3889019896376+30.81853591423726j)
58,0.0032514855925552194,(384.94710829038706+115.96429442587538j)
59,0.003307545688978585,(984.2185500958572+86.90776270603862j)
60,0.003363605785401951,(123.16373345972055+87.99301212415459j)
61,0.003419665881825317,(-114.14567261787168+323.92384178280076j)
62,0.0034757259782486824,(-87.63780314534256+1131.9032985608699j)
63,0.0035317860746720484,(325.46334003932486-340.84303782900497j)
64,0.0035878461710954143,(743.7802921359122-92.8236898872691j)
65,0.0036439062675187803,(-465.4332010474833-109.35980822072037j)
66,0.0036999663639421462,(639.5333066177311+145.50628722882672j)
67,0.0037560264603655118,(66.56880927724652-154.4948431665396j)
68,0.0038120865567888777,(-111.36820315328288+735.8156125334124j)
69,0.0038681466532122437,(-627.1095213316473-473.06218319401506j)
70,0.003924206749635609,(-347.35589052886945-94.54352274304483j)
71,0.003980266846058975,(209.39801212100366+686.1442764063511j)
72,0.004036326942482341,(123.50199572647972-197.4707949468084j)
73,0.004092387038905707,(203.30224792204606+533.2796550862589j)
74,0.004148447135329073,(602.494577181415-316.877113037756j)
75,0.004204507231752439,(-33.874571294642514-36.83540474332653j)
76,0.004260567328175804,(467.67293036364117+88.2536870368738j)
77,0.00431662742459917,(37.861463329452434+235.3067075559601j)
78,0.004372687521022536,(234.45278438782086-1033.15678759839j)
79,0.004428747617445902,(351.63268533811004+336.5789947899747j)
80,0.004484807713869268,(-14.092266206416504+117.46387640981757j)
81,0.004540867810292634,(615.8910795867253+216.314704709362j)
82,0.004596927906716,(122.91636432651393+650.9743157753643j)
83,0.004652988003139366,(-79.77876833726705+657.4599487247946j)
84,0.004709048099562732,(239.36819725434515-627.1471623904466j)
85,0.004765108195986097,(-213.45392928268484-283.816815836101j)
86,0.004821168292409463,(-393.480471666389+528.6516788330988j)
87,0.004877228388832829,(226.75506697606016+113.0498384414368j)
88,0.004933288485256195,(-78.56474368185056+234.3409794190906j)
89,0.004989348581679561,(-376.4842522390893+524.7176140969499j)
90,0.005045408678102927,(517.643331260574+542.123388803542j)
91,0.0051014687745262926,(-236.35435129783446+805.5030589674358j)
92,0.005157528870949658,(-151.9311709035993-7.272325220671508j)
93,0.005213588967373024,(-114.95863032566848+155.0495472202204j)
94,0.0052696490637963896,(-531.083687977764-399.5226221497299j)
95,0.0053257091602197555,(-250.18905240697612+651.7117637435327j)
96,0.0053817692566431215,(467.0417249967865+1020.5061634404528j)
97,0.005437829353066487,(-127.19485070505738+783.3382559348968j)
98,0.005493889449489853,(1816.1748309777947-3167.7474615584183j)
99,0.005549949545913219,(317.9005837616737-535.5079800246127j)
100,0.005606009642336585,(620.5227057233758+78.57794943732156j)
101,0.00566206973875995,(-358.6005686236326-509.1091580069874j)
102,0.005718129835183316,(306.98213853071627-687.0856386378333j)
103,0.005774189931606682,(194.4319962659059-319.3373699615415j)
104,0.005830250028030048,(241.26185846047713-102.28276748641932j)
105,0.005886310124453414,(434.96615210877906+54.63157115489224j)
106,0.00594237022087678,(174.03256759131432-209.2818145087309j)
107,0.005998430317300146,(503.7581832343496-289.314539662615j)
108,0.006054490413723511,(11.372923542142203+315.9860353598799j)
109,0.006110550510146877,(394.0942501580606-345.49209029333434j)
110,0.006166610606570243,(243.33214202307818+879.7032103831947j)
111,0.006222670702993609,(140.71820862229418+350.7538188377537j)
112,0.006278730799416975,(474.6508979679768-377.3053419602561j)
113,0.006334790895840341,(173.95692604590957+155.61026822040506j)
114,0.006390850992263707,(-105.34785205812103+272.88043908544773j)
115,0.006446911088687073,(152.97897459025114+223.2447351882294j)
116,0.006502971185110439,(269.2957708525028-244.76843026547462j)
117,0.006559031281533804,(-87.34103573085572-272.68622908432053j)
118,0.00661509137795717,(34.77682921331203-461.4769259491936j)
119,0.006671151474380536,(-112.0636828390117+500.35640695013853j)
120,0.006727211570803902,(5.210181035443441+628.5687806950889j)
121,0.006783271667227268,(162.90758914381502+70.15552327465568j)
122,0.006839331763650634,(465.4163012983515+324.64049781592604j)
123,0.006895391860074,(514.5581848414986+78.89638286885287j)
124,0.006951451956497365,(112.21747944904455+27.077805293731476j)
125,0.007007512052920731,(210.44678838074-162.8515404944853j)
126,0.007063572149344097,(245.2864299584707+139.66456858597968j)
127,0.007119632245767463,(-186.72705926058825-40.22090243712493j)
128,0.007175692342190829,(-215.06661157844968-65.2844033773959j)
129,0.007231752438614195,(-93.16760428065183+272.2689262915203j)
130,0.0072878125350375605,(-836.7620766292202+128.34895220429246j)
131,0.0073438726314609265,(136.98179579940492+273.7750964786822j)
132,0.0073999327278842925,(27.701907632080285+481.98802518924515j)
133,0.0074559928243076576,(-110.91028262835441-186.57767785921848j)
134,0.0075120529207310235,(-345.0244506557474-352.71872896823623j)
135,0.0075681130171543895,(674.1901235045674+203.1261032179958j)
136,0.007624173113577755,(-191.4877249068868+60.4350801302381j)
137,0.007680233210001121,(301.74480098686143-357.24243134838275j)
138,0.007736293306424487,(140.44941639820973-116.43937506446771j)
139,0.007792353402847853,(-11.292323629948086+208.43235099634495j)
140,0.007848413499271218,(-202.8035812941655+228.2412495322016j)
141,0.007904473595694584,(213.19134912861455-520.8116676315063j)
142,0.00796053369211795,(-338.84175769047596+314.0974728490225j)
143,0.008016593788541316,(417.2608372023037-126.24899909794796j)
144,0.008072653884964682,(-451.7835668096435+309.1923321856666j)
145,0.008128713981388048,(540.7029565810055-168.93935733449612j)
146,0.008184774077811414,(-303.88103457270313+14.056982784978686j)
147,0.00824083417423478,(313.0405970728151+67.53080926219735j)
148,0.008296894270658146,(147.72198407688091+233.96248924731557j)
149,0.008352954367081512,(802.2010862263523+205.4473901780442j)
150,0.008409014463504878,(-53.88376464858196-256.5993603582303j)
151,0.008465074559928244,(-319.6602684203641+90.96545198171579j)
152,0.008521134656351608,(-34.55679113891253-376.03374483211144j)
153,0.008577194752774974,(70.75566456265281+9.122962757141902j)
154,0.00863325484919834,(61.3546897060037+263.5919630914636j)
155,0.008689314945621706,(-296.9719995548179+668.5587717816535j)
156,0.008745375042045072,(163.51703296611154-88.99610158450659j)
157,0.008801435138468438,(-348.86889494605805-255.3877642137016j)
158,0.008857495234891804,(210.4164490089383-254.3014571918792j)
159,0.00891355533131517,(590.115850049817+308.0782766678874j)
160,0.008969615427738536,(6.5857353867554735-329.82094202981165j)
161,0.009025675524161902,(-206.22141630847443+279.0594263181387j)
162,0.009081735620585268,(6.881173851982086+33.19699053610987j)
163,0.009137795717008634,(-149.11132897689177+29.21359554873891j)
164,0.009193855813432,(-228.139137434866+52.406442433614046j)
165,0.009249915909855366,(-136.92811061669275+189.66966621628632j)
166,0.009305976006278732,(-413.4017379161348-245.47529579135823j)
167,0.009362036102702097,(620.4940011822871+60.325582226895065j)
168,0.009418096199125463,(-496.38662843063605+679.0617683868061j)
169,0.009474156295548828,(-12.293062772180146+40.83665609470095j)
170,0.009530216391972194,(-37.76798944629906-221.74208161213423j)
171,0.00958627648839556,(26.957715556388564+419.38219462589717j)
172,0.009642336584818926,(120.18126724202975-623.2047757303224j)
173,0.009698396681242291,(169.5250620118454+4.445984215445549j)
174,0.009754456777665657,(-241.9468995628232+426.31346269349683j)
175,0.009810516874089023,(-98.57902054834707-170.03787683910897j)
176,0.00986657697051239,(-57.33189339994709+819.6549085858608j)
177,0.009922637066935755,(114.71259882942768+276.77306909845476j)
178,0.009978697163359121,(129.8932748003539+381.0942889101459j)
179,0.010034757259782487,(-152.05114124466985-691.5087567470431j)
180,0.010090817356205853,(187.91660727463815+412.5550964151928j)
181,0.01014687745262922,(-525.621759631132+454.87808730855846j)
182,0.010202937549052585,(-161.90693169506977+145.9394966931333j)
183,0.010258997645475951,(79.78477120864136+424.9679335548761j)
184,0.010315057741899315,(-274.4280730587674-330.2144166514537j)
185,0.010371117838322681,(631.7696512093606+66.34157115162738j)
186,0.010427177934746047,(-103.80079721942117-104.05705907207715j)
187,0.010483238031169413,(-441.0809508933072+184.89233616640018j)
188,0.010539298127592779,(64.71286057123925+314.49361644405144j)
189,0.010595358224016145,(318.82418064803915+291.5755491527897j)
190,0.010651418320439511,(188.45538196280273+154.097268689748j)
191,0.010707478416862877,(217.83680182504267+318.63407627969883j)
192,0.010763538513286243,(-602.8477334022937-325.7692430277432j)
193,0.010819598609709609,(-211.09257254226645-195.0946413666264j)
194,0.010875658706132975,(283.1999190649856+0.33107314657576126j)
195,0.01093171880255634,(90.5504394858051+588.6157449555044j)
196,0.010987778898979707,(490.17443253507383-347.78272640070423j)
197,0.011043838995403073,(532.9009883231897-306.27757248841476j)
198,0.011099899091826439,(-83.64600051500591-160.70500599208617j)
199,0.011155959188249805,(-105.7467175519273-81.85278573816376j)
200,0.01121201928467317,(226.16113543416043+313.39879759914146j)
201,0.011268079381096535,(-41.13280266394264+7.355074008537368j)
202,0.0113241394775199,(43.266734790816656-273.550917115304j)
203,0.011380199573943267,(404.90586826187644-126.97542599816572j)
204,0.011436259670366633,(-26.429518863788047-175.18195293152945j)
205,0.011492319766789999,(16.33750435705757+216.88156363847926j)
206,0.011548379863213365,(-644.3613485548434-52.12467414920954j)
207,0.01160443995963673,(492.0371418688334+386.4999229352159j)
208,0.011660500056060097,(357.10894117669153-39.475185466251276j)
209,0.011716560152483462,(428.3190862232806+298.21108151639453j)
210,0.011772620248906828,(-146.28113033464598-9.929202343755454j)
211,0.011828680345330194,(-334.08420375734227+334.74817330158436j)
212,0.01188474044175356,(-70.4882254237593+674.5392892400602j)
213,0.011940800538176926,(-152.93696814575787-108.28106809130591j)
214,0.011996860634600292,(-4.61400554174913-220.18802472581757j)
