,f (/days),component
0,0.0,(354972.39999999997+6.0538241086760536e-12j)
1,5.606009642336585e-05,(737.6725979220046+7929.682471208671j)
2,0.0001121201928467317,(-538.6774772243824+157.59806786801164j)
3,0.00016818028927009755,(-2719.000246429098+2105.5834935390176j)
4,0.0002242403856934634,(-3627.676074248568+26.554020738673813j)
5,0.00028030048211682924,(-2161.3177308323093-925.9845396299336j)
6,0.0003363605785401951,(-268.9198146378803+1839.7388838464851j)
7,0.00039242067496356094,(-87.04306106682586+124.29918671150439j)
8,0.0004484807713869268,(243.6103769183983-514.5408686952968j)
9,0.0005045408678102926,(1820.9869334569307-1742.1720302237418j)
10,0.0005606009642336585,(333.0982679413498+289.7391955074411j)
11,0.0006166610606570243,(600.1783730730609+480.3933148300282j)
12,0.0006727211570803902,(-636.7314294951883+2198.202187967825j)
13,0.000728781253503756,(1248.4108514036511-1542.5194416830645j)
14,0.0007848413499271219,(-820.6897907193722+1541.931712546615j)
15,0.0008409014463504877,(772.2268317572061+1949.6791689595352j)
16,0.0008969615427738536,(-2277.4530320181084-1497.816217542435j)
17,0.0009530216391972194,(-713.844253016837+1709.3872522752833j)
18,0.0010090817356205853,(1422.712043461612+1761.1904315709298j)
19,0.001065141832043951,(1728.7857788091821-11.047517315169003j)
20,0.001121201928467317,(563.5291167496284-1017.0987896180878j)
21,0.001177262024890683,(-353.77713139631334+87.79083185475692j)
22,0.0012333221213140487,(-1466.4901692837889-1267.449537566398j)
23,0.0012893822177374144,(-508.592304390906+270.72640190824023j)
24,0.0013454423141607804,(106.41637835770389+1691.3345007817495j)
25,0.0014015024105841463,(4.4636847179932815+484.360834375106j)
26,0.001457562507007512,(-23.74423527207344+708.7432706193347j)
27,0.0015136226034308778,(-1054.2221040215877-464.4626228087023j)
28,0.0015696826998542438,(-612.5460559873337+308.99252638960763j)
29,0.0016257427962776097,(-3009.2954026675234+1024.446918473074j)
30,0.0016818028927009755,(-81.00254054538986+812.0993058412264j)
31,0.0017378629891243412,(-441.77300965266085-298.3477679649265j)
32,0.0017939230855477072,(1378.5554069771738+1004.3716824918044j)
33,0.0018499831819710731,(-2341.702222498687+1346.1927790883215j)
34,0.0019060432783944389,(-41.42194504283414-814.6067096136292j)
35,0.0019621033748178046,(70.28712304383082+142.52034342902087j)
36,0.0020181634712411706,(-137.47471271312995+863.3989630985438j)
37,0.0020742235676645365,(324.65277917675877+60.85351798433432j)
38,0.002130283664087902,(-1436.5314721506907+221.76050232045785j)
39,0.002186343760511268,(-727.0955387603365+219.0106459824128j)
40,0.002242403856934634,(-861.3449232849807+916.142353981116j)
41,0.002298463953358,(-3795.5284351789833-2076.245144964464j)
42,0.002354524049781366,(-1701.4314739330066+833.3301869016364j)
43,0.0024105841462047314,(-717.3852815733783-198.63802192400863j)
44,0.0024666442426280973,(-3235.753679186174+175.49832419602842j)
45,0.0025227043390514633,(-4233.330641151512-51.51785944314997j)
46,0.002578764435474829,(-5860.657472428022-1598.6198758554876j)
47,0.0026348245318981948,(-7252.414528022944-1075.0979733879572j)
48,0.0026908846283215607,(-10857.321121314684-1318.451930208219j)
49,0.0027469447247449267,(66788.71618145243+15916.703872418282j)
50,0.0028030048211682927,(8370.246295196794+4044.1594843890803j)
51,0.002859064917591658,(4796.242214094675+518.795216265293j)
52,0.002915125014015024,(3192.3503996547925+1829.0218437436065j)
53,0.00297118511043839,(793.7018391115008-202.38487903652748j)
54,0.0030272452068617556,(-295.3722486460446-1216.5516425994176j)
55,0.0030833053032851216,(359.97412494787824+698.3633375733134j)
56,0.0031393653997084875,(447.37492021907826-271.06585491419304j)
57,0.0031954254961318535,(2119.3714580288297+317.3279334982701j)
58,0.0032514855925552194,(2000.7162481171613-723.1117845384225j)
59,0.003307545688978585,(1057.5813029699566-155.76408545126935j)
60,0.003363605785401951,(1309.2118782643129+655.6334548551322j)
61,0.003419665881825317,(-1324.0503639961835+2734.362117966666j)
62,0.0034757259782486824,(2208.7134187831707-380.4356480801018j)
63,0.0035317860746720484,(-211.92654149745547+504.71000471684397j)
64,0.0035878461710954143,(903.7575788608535+2787.223604646806j)
65,0.0036439062675187803,(-547.8720403440558-41.243521392438964j)
66,0.0036999663639421462,(-485.5964376538764+1315.138796755731j)
67,0.0037560264603655118,(-1455.927045980235+792.0707531587036j)
68,0.0038120865567888777,(907.5664174410447+684.8771497502188j)
69,0.0038681466532122437,(768.0451673568457+227.14965900522327j)
70,0.003924206749635609,(546.4992628418272+821.1948897312726j)
71,0.003980266846058975,(682.9108843493598+431.55898850117j)
72,0.004036326942482341,(-13.203311057100223+1652.0034420174652j)
73,0.004092387038905707,(-262.32633465699917+1800.3691015418253j)
74,0.004148447135329073,(1117.2126693185958+866.1927765671225j)
75,0.004204507231752439,(-93.81380239413696-364.37550597984057j)
76,0.004260567328175804,(1880.0728046159493-317.2415078986253j)
77,0.00431662742459917,(-165.9548630443153+1364.3017815979836j)
78,0.004372687521022536,(-160.7445984913909-898.1409306222374j)
79,0.004428747617445902,(1289.250227810276+983.3276088803689j)
80,0.004484807713869268,(-650.6101668728575-532.7938706722879j)
81,0.004540867810292634,(-1131.7860499104138-462.3854198816034j)
82,0.004596927906716,(-1301.4094817079813-176.53853422101918j)
83,0.004652988003139366,(-296.766685288849-179.23495397288593j)
84,0.004709048099562732,(1128.0555891487659+280.85873297575415j)
85,0.004765108195986097,(-71.77934990581934+1263.8160868245957j)
86,0.004821168292409463,(-222.53585691976167+375.380816281819j)
87,0.004877228388832829,(-677.5379770381743+534.1653615075429j)
88,0.004933288485256195,(-47.1988338394416+435.7255735561989j)
89,0.004989348581679561,(-1534.4227612419313+191.228968259458j)
90,0.005045408678102927,(592.3393301695595-316.15603901253866j)
91,0.0051014687745262926,(-1234.1521477715805+583.1187850550248j)
92,0.005157528870949658,(-1601.7196603169537+491.24361092040044j)
93,0.005213588967373024,(183.97991978225085+109.29913061316876j)
94,0.0052696490637963896,(-586.6509923952266-322.082085722198j)
95,0.0053257091602197555,(-1767.0119897100924+61.550933788729125j)
96,0.0053817692566431215,(-177.76489038713024+890.9667611174493j)
97,0.005437829353066487,(-526.9215655879218+2549.5004465237494j)
98,0.005493889449489853,(2584.720647145577-4141.30159396317j)
99,0.005549949545913219,(567.4404963648483-1059.620536094393j)
100,0.005606009642336585,(286.1049584672284-725.950880395672j)
101,0.00566206973875995,(-393.01407115092906+66.67266455793171j)
102,0.005718129835183316,(826.5459432361368+140.80321420421797j)
103,0.005774189931606682,(-476.06685798512746+592.8860402010877j)
104,0.005830250028030048,(46.277934835992966-713.0640483469964j)
105,0.005886310124453414,(40.41561777021941-120.6701931491642j)
106,0.00594237022087678,(1159.5006092875647-919.3717567771598j)
107,0.005998430317300146,(188.45361809792252-1002.0347501192286j)
108,0.006054490413723511,(82.48990946820868+205.16361585825803j)
