,f (/years),component
0,0.0,(352708.3999999999+7.0912165028858e-12j)
1,0.020475950218634378,(1283.3171202178928+5228.018601892078j)
2,0.040951900437268755,(-1737.6536176163402-430.62367655541203j)
3,0.06142785065590313,(-2037.8789893170742+1150.9348755784283j)
4,0.08190380087453751,(-1829.787062832592+73.1165896421101j)
5,0.10237975109317188,(-2814.855408031962+442.62754427176094j)
6,0.12285570131180626,(1378.5430476324545+1747.8695292535497j)
7,0.14333165153044064,(-47.64060380599079+1170.6462708304446j)
8,0.16380760174907502,(1300.2640799008282-796.0304804004224j)
9,0.18428355196770937,(724.1462044229362-205.86964779019394j)
10,0.20475950218634376,(1024.9185913743984+471.2816766914621j)
11,0.22523545240497814,(-482.41010008662664-405.5082029105624j)
12,0.24571140262361252,(-1348.7053291182738+358.9986489835527j)
13,0.26618735284224687,(-646.7925164188415-74.77012682981588j)
14,0.2866633030608813,(-241.78381520613456+441.03829266346133j)
15,0.30713925327951563,(-305.3911584553007+958.3137889675114j)
16,0.32761520349815004,(-711.0389889597537-2125.7327886493345j)
17,0.3480911537167844,(-883.9376072797077+602.6191710705696j)
18,0.36856710393541875,(906.5950353628754+79.17349378223666j)
19,0.3890430541540531,(285.0339770072483+800.8599776598379j)
20,0.4095190043726875,(-346.75026960804644-1221.0767848953697j)
21,0.4299949545913219,(129.32327433893673+681.8142870318798j)
22,0.4504709048099563,(-919.3969341009229+811.0841946809106j)
23,0.4709468550285906,(-903.5357655204143-1111.8880750833368j)
24,0.49142280524722504,(614.8487790108975+1358.8169248127876j)
25,0.5118987554658595,(443.36625091380483+742.7172173202998j)
26,0.5323747056844937,(-605.8191940325837+682.5079568100705j)
27,0.5528506559031281,(-447.64420675417574-780.0551149820302j)
28,0.5733266061217626,(-1361.642731439157-10.770278049610397j)
29,0.5938025563403969,(-1430.8701882086968+245.562637649083j)
30,0.6142785065590313,(-698.0478689833631-266.8207296726781j)
31,0.6347544567776656,(-1135.7188302136046+222.99973449884564j)
32,0.6552304069963001,(1345.418834219943+1695.0560652843603j)
