,f (/years),component
0,0.0,(522209.19999999984+1.1116441100966767e-11j)
1,0.020475950218634378,(916.600024439979+5189.90567529622j)
2,0.040951900437268755,(117.63239419560365+1159.6929184572512j)
3,0.06142785065590313,(-2420.5580634655007+1967.2292873370686j)
4,0.08190380087453751,(-3867.0354189972245-1634.4744865999j)
5,0.10237975109317188,(196.7911656875435-458.0677999094926j)
6,0.12285570131180626,(-460.2189754945605+1136.3234737145485j)
7,0.14333165153044064,(-1104.9924400061498-405.0953267151918j)
8,0.16380760174907502,(-264.66352543323035-304.1438641992767j)
9,0.18428355196770937,(2521.1800080610933-1259.6114885694763j)
10,0.20475950218634376,(-16.844858031977505+972.5762200042964j)
11,0.22523545240497814,(308.8805315743856+554.8670543109255j)
12,0.24571140262361252,(-1794.7711300960073+284.6928557018324j)
13,0.26618735284224687,(-713.338667571444-1583.0650837190688j)
14,0.2866633030608813,(-324.55786360478385+2063.6868638595965j)
15,0.30713925327951563,(-951.258916805229+146.55584499325607j)
16,0.32761520349815004,(-727.6752406423208-413.50380906943417j)
17,0.3480911537167844,(198.28088065552123+2650.0735176574253j)
18,0.36856710393541875,(1469.872873189754+2256.120752436588j)
19,0.3890430541540531,(1962.728648872204-271.7543874769295j)
20,0.4095190043726875,(795.4550261822974+1387.4824091483601j)
21,0.4299949545913219,(1337.2771617212306+192.81277020108362j)
22,0.4504709048099563,(-228.02429873409295-1484.6007895526718j)
23,0.4709468550285906,(1109.0199397089375-739.183124014866j)
24,0.49142280524722504,(1038.3813793701981+2130.2562073116637j)
25,0.5118987554658595,(-1386.7063303969003+648.5709357129057j)
26,0.5323747056844937,(225.90935225427478-69.41033562007799j)
27,0.5528506559031281,(511.41197212603686-479.1874342736976j)
28,0.5733266061217626,(-796.8896073049177+1248.6417936173186j)
29,0.5938025563403969,(-2058.246523468213-1043.615303712355j)
30,0.6142785065590313,(799.9964394863775+1422.0485276749282j)
31,0.6347544567776656,(-1527.491719812848-46.5122930291528j)
32,0.6552304069963001,(669.4313880757987+2645.801475578727j)
33,0.6757063572149344,(-2254.0722526017585-390.06559756273816j)
34,0.6961823074335688,(89.7135728469394-448.74567112438103j)
35,0.7166582576522031,(-208.95641882113796-393.40824422151377j)
36,0.7371342078708375,(-82.39710372274786-631.3537656142506j)
37,0.757610158089472,(-1527.923019455819-1265.8888185067515j)
38,0.7780861083081062,(-1270.8860231464525-324.1475217304258j)
39,0.7985620585267407,(-1851.6441978367802+377.7814184611028j)
40,0.819038008745375,(-2046.642541287903-964.7477236939382j)
41,0.8395139589640095,(-4206.533694217695-3039.8845016107443j)
42,0.8599899091826438,(-3215.088447333438-667.9258402736086j)
43,0.8804658594012781,(-662.5378855735867-1195.4043034268047j)
44,0.9009418096199125,(-2268.0657832370694-674.0966145598744j)
45,0.921417759838547,(-4442.410906516306-1016.8980704516734j)
46,0.9418937100571813,(-5954.532378440053-2811.9745862283917j)
47,0.9623696602758156,(-7666.584780056373-3178.112725955189j)
48,0.9828456104944501,(-12130.60920042298-4851.35139595152j)
49,1.0033215607130845,(72674.70008319523+28701.761869550908j)
50,1.023797510931719,(10579.342447113528+4343.6127997023095j)
51,1.0442734611503532,(5426.411071347593+1469.9143392567073j)
52,1.0647494113689875,(3300.272688097846+3048.1193897481535j)
53,1.085225361587622,(1877.3583467771077+880.8611863810781j)
54,1.1057013118062562,(1567.540390631546-1073.7330170512018j)
55,1.1261772620248907,(-1629.403926201202+724.8330893289092j)
56,1.1466532122435251,(1512.1325831529239-184.36988827315292j)
57,1.1671291624621596,(3798.690242167432+333.746667592957j)
58,1.1876051126807938,(1583.18983590402-391.1144588960263j)
59,1.208081062899428,(334.74919545039995+833.6784795126766j)
60,1.2285570131180625,(1303.863869424658-161.09640033790663j)
61,1.249032963336697,(-642.6553642104469+2242.8088037573516j)
62,1.2695089135553312,(2453.056771386656+735.329349558959j)
63,1.2899848637739657,(183.62789184594237+703.7256601976758j)
64,1.3104608139926002,(-512.6479079165492+45.174184799144j)
65,1.3309367642112344,(372.7578298447262+1221.207210461836j)
66,1.3514127144298689,(-483.26875415195656+1467.016968850018j)
67,1.3718886646485031,(-1851.6765606986417+1398.0638325592186j)
68,1.3923646148671376,(904.5817692070411+1557.2718960718307j)
69,1.412840565085772,(430.1209687063403+1381.5714762267066j)
70,1.4333165153044063,(380.0876515509316+713.8848677554191j)
71,1.4537924655230408,(1386.6701487478588+666.9466937783725j)
72,1.474268415741675,(345.2079348988766+2439.665551736984j)
73,1.4947443659603095,(-1393.958463457639+2908.7001522566325j)
74,1.515220316178944,(613.8566342413105+190.746651301831j)
75,1.5356962663975784,(1469.1719762735888-757.2342604271455j)
76,1.5561722166162124,(2816.301533688208+415.55980477304365j)
77,1.5766481668348469,(-1394.175032243537+1440.971118042742j)
78,1.5971241170534813,(138.47988791003422+417.99699764376703j)
79,1.6176000672721156,(2537.7589780100498+1470.0228784577214j)
80,1.63807601749075,(657.9442016646362+317.46537859157553j)
81,1.6585519677093845,(332.8089602568993-1710.4950623182528j)
82,1.679027917928019,(-813.7716538973625-1772.7695174624025j)
83,1.6995038681466534,(9.246341480012106-380.2892890710804j)
84,1.7199798183652877,(1727.322444530883+603.5925860484124j)
85,1.740455768583922,(-849.3952740597495+473.32157402308883j)
86,1.7609317188025562,(142.2526106785437-505.1512825330493j)
87,1.7814076690211906,(-800.8130105584781-462.5384474544255j)
88,1.801883619239825,(-696.3662669323584+307.91542082068577j)
89,1.8223595694584596,(-1574.3782010364425-1193.938284255826j)
90,1.842835519677094,(363.5500767113004-750.1427739057395j)
91,1.8633114698957283,(-449.5961776350071+501.6389549042454j)
92,1.8837874201143625,(-1354.7940001226063-29.048216131289138j)
93,1.904263370332997,(-1745.3140504822784-362.76270164668955j)
94,1.9247393205516312,(-845.5327373923105-87.4962371882502j)
95,1.9452152707702657,(-1980.493546643206+379.17799447349023j)
96,1.9656912209889001,(480.8503118855206+598.5687362340153j)
97,1.9861671712075346,(96.69666269888094+4031.7982612213214j)
98,2.006643121426169,(-1421.4565976184897-6931.82137097077j)
99,2.0271190716448033,(340.99395592095004-1496.7595537661875j)
100,2.047595021863438,(-182.40530910091064-1311.8902397760155j)
101,2.068070972082072,(-373.006220571497+54.53551209782071j)
102,2.0885469223007065,(931.9228613310115+290.6484791692358j)
103,2.1090228725193407,(-951.5047962882601+1670.8285219233828j)
104,2.129498822737975,(-291.54499218724004-1902.5075701579276j)
105,2.1499747729566097,(386.14860053704047-488.22201968633885j)
106,2.170450723175244,(1277.1795127921796-1529.956145154144j)
107,2.1909266733938786,(710.4938564526328-867.1780573233059j)
108,2.2114026236125124,(475.8935608490648-492.78809339493677j)
109,2.231878573831147,(117.74155794315166+127.30192588576487j)
110,2.2523545240497813,(-180.94723609497802+553.2025255461994j)
111,2.2728304742684156,(1025.9896946899319+1166.5944634618559j)
112,2.2933064244870502,(1504.296366038218-829.9361162904889j)
113,2.3137823747056845,(172.73013256121718-32.02076784019803j)
114,2.334258324924319,(471.51468932567343+1549.9450754536597j)
115,2.3547342751429534,(77.5741792348731-810.6750385942912j)
116,2.3752102253615877,(-2053.3852315053473-539.419245637206j)
117,2.395686175580222,(533.2835928922257-629.8935206310347j)
118,2.416162125798856,(-881.3585304239831-314.60092947976625j)
119,2.436638076017491,(-273.8782074471763-209.50335055747803j)
120,2.457114026236125,(-577.5523243608828+175.07307489112125j)
121,2.4775899764547598,(506.17545979735775+296.2737775773327j)
122,2.498065926673394,(447.6010688660887+403.45979946422165j)
123,2.5185418768920282,(-216.6247193061635+1367.9396614528293j)
124,2.5390178271106625,(-139.79516438543908+1136.8612306402733j)
125,2.5594937773292967,(1108.1764943854657-371.368174905777j)
126,2.5799697275479314,(-301.6462018081164+1626.8137156458763j)
127,2.6004456777665657,(-569.0829160858216-643.8528888165365j)
128,2.6209216279852003,(1367.2366263017343+175.2613781852083j)
129,2.6413975782038346,(780.2906517133817+1723.9379321779202j)
130,2.661873528422469,(-1715.3990125729908+151.1117495222723j)
131,2.6823494786411035,(672.2859217521624-973.8417866202881j)
132,2.7028254288597378,(1711.6457856500385+377.2749015119989j)
133,2.723301379078372,(1181.9939092765694+405.5472949314827j)
134,2.7437773292970062,(-530.356784738539+1026.7260538754813j)
135,2.764253279515641,(761.1492733419847-382.860515153261j)
136,2.784729229734275,(825.8268188627605-1071.002766534847j)
137,2.8052051799529094,(1316.8133167060612-1198.6218483171338j)
138,2.825681130171544,(547.3299469246369-1255.1197293732448j)
139,2.8461570803901783,(117.67279787534784+1396.1232828421378j)
140,2.8666330306088126,(-6.161992465479045+994.3910156475933j)
141,2.887108980827447,(-57.05447347425928-1540.7419826829992j)
142,2.9075849310460815,(-837.4009780341567-976.7360258472779j)
143,2.9280608812647158,(1254.5180018699602-337.3999168958914j)
144,2.94853683148335,(497.54589625613914-946.1670318639997j)
145,2.9690127817019847,(-592.6161799052069-949.2530558555409j)
146,2.989488731920619,(-693.5117581742969-1845.782311961705j)
147,3.0099646821392536,(461.3397128399183+1505.0711116602831j)
148,3.030440632357888,(-1164.2122277543351+133.33035273600427j)
149,3.050916582576522,(-319.5756074947383-12.619862183060746j)
150,3.071392532795157,(-644.3995536424816+357.9198033795252j)
151,3.091868483013791,(184.23044364669838+537.1826211164753j)
152,3.112344433232425,(-1659.155217979315+1297.1756507847497j)
153,3.132820383451059,(-821.684115656183+103.88916791344582j)
154,3.1532963336696938,(-1169.3353133283556+66.37630445430648j)
155,3.173772283888328,(830.7513790380796-107.48660287645754j)
156,3.1942482341069627,(-434.11445796670597+850.2393840287863j)
157,3.214724184325597,(275.9025599102443-179.54183751052318j)
158,3.235200134544231,(-391.056323772403-132.11803263551428j)
159,3.255676084762866,(-190.98550313453882-1116.1715904363991j)
160,3.2761520349815,(-92.79499820603003-3.343366828628989j)
161,3.296627985200135,(135.59618826037848+58.56684682539998j)
162,3.317103935418769,(-1004.8839067597187+0.650180350326977j)
163,3.3375798856374033,(-783.8443398350553+1107.4292461868092j)
164,3.358055835856038,(547.5943772692972+519.5345720114628j)
165,3.378531786074672,(838.12612826296-871.7275687164355j)
166,3.399007736293307,(525.1313392961933-1148.6923191835972j)
167,3.419483686511941,(-531.3580205201181+868.9409474105177j)
168,3.4399596367305754,(-723.616920592431-358.046234269215j)
169,3.460435586949209,(-1052.406503688297-648.1830724783854j)
170,3.480911537167844,(1345.8029637993943-41.12773541967039j)
171,3.501387487386478,(159.74483796417434+687.087866038178j)
172,3.5218634376051123,(-31.91589390016854-337.28417831057135j)
173,3.542339387823747,(159.1079310307279+1305.10200402763j)
