station1,station2,dist,sim
001019,001019,0.0,0.0
001019,003003,621.8048905012031,2.3379529615010872
001019,004032,1085.8258830999914,3.4106142643964703
001019,004106,1057.1561094755532,3.990047489253422
001019,005007,1591.0824033761826,5.018051502142886
001019,006011,1796.22017071827,6.225072197918906
001019,007045,1607.9040751555194,7.192845250770505
001019,008296,1985.0391922608733,8.92182740454357
001019,008297,2049.3024017312555,10.127261105460843
001019,009021,2240.2940276446166,10.008340142487807
001019,009518,2513.9596936285648,10.76953460379155
001019,009617,2428.013348436598,12.933159451809905
001019,009789,2224.177256365871,11.277922708382361
001019,010092,2091.627480846959,10.227462676770589
001019,010286,2151.9957557397815,10.940382151940913
001019,010916,2340.566298414264,12.45945863387469
001019,010917,2279.3659703103226,12.642020849258992
001019,011003,1946.2545464653374,10.6212096995883
001019,011052,1846.2176105316883,10.335544936056085
001019,012038,1908.59153150681,10.016037911128018
001019,013017,1206.4481392456632,6.937694599150581
001019,014015,504.43308070693547,2.0830863066612433
001019,014825,523.7619124045403,2.418235621283727
001019,015135,997.6932584840423,3.7099802159626796
001019,015590,1301.2960709955385,8.272935712860427
001019,015666,745.8296849324072,4.531609476748936
001019,016001,2141.924041929616,9.519459403910354
001019,016098,1996.5431506508933,9.74595550660504
001019,017043,1733.0460589636846,7.768034627399013
001019,017126,2071.7949209572926,8.345815466058529
001019,018012,2108.304443267696,11.4042861599093
001019,018044,2279.896324594704,11.126194121026675
001019,018192,2440.2789496367423,11.934148909929428
001019,021133,2459.0363546047324,12.170012613899031
001019,022823,2584.2818413133978,12.826118316760223
001019,023000,2586.9567076115195,11.222483515231898
001019,023373,2564.0924496914367,13.247932922789378
001019,026021,2956.803825749986,14.003811869141034
001019,026026,2854.669171792266,13.016795421795608
001019,027045,1661.162490044784,2.342597336640048
001019,027058,1747.6205195666225,2.734295358486475
001019,028004,1879.8305420768856,2.798169572600899
001019,029063,1587.0796816359427,2.243973551423125
001019,029077,1429.6631922677966,2.5385692160017523
001019,030124,1855.4159098400712,3.187835502303085
