,date,minimum temperature (degC),site number,site name
0,,8.0,72161.0,CABRAMURRA SMHEA AWS
1,1962-01-01,8.0,,
2,1962-01-02,10.0,,
3,1962-01-03,10.0,,
4,1962-01-04,11.7,,
5,1962-01-05,5.3,,
6,1962-01-06,4.5,,
7,1962-01-07,4.1,,
8,1962-01-08,9.2,,
9,1962-01-09,10.8,,
10,1962-01-10,12.5,,
11,1962-01-11,11.7,,
12,1962-01-12,8.1,,
13,1962-01-13,7.9,,
14,1962-01-14,8.9,,
15,1962-01-15,14.1,,
16,1962-01-16,13.9,,
17,1962-01-17,12.5,,
18,1962-01-18,17.1,,
19,1962-01-19,15.3,,
20,1962-01-20,4.5,,
21,1962-01-21,3.9,,
22,1962-01-22,3.4,,
23,1962-01-23,5.3,,
24,1962-01-24,5.3,,
25,1962-01-25,11.7,,
26,1962-01-26,10.3,,
27,1962-01-27,4.8,,
28,1962-01-28,6.5,,
29,1962-01-29,9.2,,
30,1962-01-30,11.4,,
31,1962-01-31,10.8,,
32,1962-02-01,11.0,,
33,1962-02-02,7.4,,
34,1962-02-03,7.4,,
35,1962-02-04,10.4,,
36,1962-02-05,10.6,,
37,1962-02-06,13.4,,
38,1962-02-07,15.1,,
39,1962-02-08,16.3,,
40,1962-02-09,12.3,,
41,1962-02-10,11.8,,
42,1962-02-11,6.6,,
43,1962-02-12,7.4,,
44,1962-02-13,8.5,,
45,1962-02-14,7.4,,
46,1962-02-15,2.9,,
47,1962-02-16,2.3,,
48,1962-02-17,3.8,,
49,1962-02-18,6.6,,
50,1962-02-19,10.6,,
51,1962-02-20,14.2,,
52,1962-02-21,8.5,,
53,1962-02-22,6.6,,
54,1962-02-23,7.4,,
55,1962-02-24,6.6,,
56,1962-02-25,11.8,,
57,1962-02-26,11.0,,
58,1962-02-27,6.6,,
59,1962-02-28,10.3,,
60,1962-03-01,11.2,,
61,1962-03-02,7.3,,
62,1962-03-03,5.3,,
63,1962-03-04,5.8,,
64,1962-03-05,8.4,,
65,1962-03-06,9.6,,
66,1962-03-07,11.6,,
67,1962-03-08,9.8,,
68,1962-03-09,8.2,,
69,1962-03-10,9.1,,
70,1962-03-11,5.8,,
71,1962-03-12,7.8,,
72,1962-03-13,9.1,,
73,1962-03-14,7.8,,
74,1962-03-15,3.0,,
75,1962-03-16,8.2,,
76,1962-03-17,9.6,,
77,1962-03-18,11.6,,
78,1962-03-19,9.8,,
79,1962-03-20,6.7,,
80,1962-03-21,6.3,,
81,1962-03-22,12.3,,
82,1962-03-23,8.6,,
83,1962-03-24,9.1,,
84,1962-03-25,8.2,,
85,1962-03-26,7.8,,
86,1962-03-27,11.2,,
87,1962-03-28,9.8,,
88,1962-03-29,8.2,,
89,1962-03-30,3.4,,
90,1962-03-31,4.4,,
91,1962-04-01,8.3,,
92,1962-04-02,6.9,,
93,1962-04-03,8.6,,
94,1962-04-04,5.7,,
95,1962-04-05,-0.1,,
96,1962-04-06,3.3,,
97,1962-04-07,4.1,,
98,1962-04-08,3.9,,
99,1962-04-09,3.6,,
100,1962-04-10,2.6,,
101,1962-04-11,1.8,,
102,1962-04-12,5.3,,
103,1962-04-13,4.4,,
104,1962-04-14,0.4,,
105,1962-04-15,2.8,,
106,1962-04-16,5.5,,
107,1962-04-17,5.7,,
108,1962-04-18,8.3,,
109,1962-04-19,5.7,,
110,1962-04-20,6.4,,
111,1962-04-21,4.4,,
112,1962-04-22,4.4,,
113,1962-04-23,5.7,,
114,1962-04-24,8.3,,
115,1962-04-25,8.9,,
116,1962-04-26,9.4,,
117,1962-04-27,9.1,,
118,1962-04-28,8.9,,
119,1962-04-29,1.8,,
120,1962-04-30,3.3,,
121,1962-05-01,1.0,,
122,1962-05-02,-0.4,,
123,1962-05-03,1.0,,
124,1962-05-04,2.0,,
125,1962-05-05,1.6,,
126,1962-05-06,2.0,,
127,1962-05-07,1.0,,
128,1962-05-08,-0.4,,
129,1962-05-09,-0.4,,
130,1962-05-10,-1.7,,
131,1962-05-11,1.6,,
132,1962-05-12,1.6,,
133,1962-05-13,2.0,,
134,1962-05-14,3.0,,
135,1962-05-15,4.9,,
136,1962-05-16,3.0,,
137,1962-05-17,2.4,,
138,1962-05-18,2.0,,
139,1962-05-19,-1.0,,
140,1962-05-20,0.8,,
141,1962-05-21,3.2,,
142,1962-05-22,1.0,,
143,1962-05-23,1.0,,
144,1962-05-24,-1.1,,
145,1962-05-25,-0.9,,
146,1962-05-26,-0.7,,
147,1962-05-27,-0.4,,
148,1962-05-28,0.5,,
149,1962-05-29,1.9,,
150,1962-05-30,-0.4,,
151,1962-05-31,1.3,,
152,1962-06-01,1.7,,
153,1962-06-02,1.1,,
154,1962-06-03,2.2,,
155,1962-06-04,0.7,,
156,1962-06-05,-1.3,,
157,1962-06-06,0.7,,
158,1962-06-07,2.5,,
159,1962-06-08,2.2,,
160,1962-06-09,2.2,,
161,1962-06-10,-0.4,,
162,1962-06-11,-1.3,,
163,1962-06-12,-0.4,,
164,1962-06-13,-0.4,,
165,1962-06-14,-0.1,,
166,1962-06-15,-0.1,,
167,1962-06-16,1.1,,
168,1962-06-17,0.2,,
169,1962-06-18,0.4,,
170,1962-06-19,4.0,,
171,1962-06-20,2.9,,
172,1962-06-21,1.1,,
173,1962-06-22,-2.8,,
174,1962-06-23,-4.2,,
175,1962-06-24,0.7,,
176,1962-06-25,1.1,,
177,1962-06-26,-5.3,,
178,1962-06-27,-1.3,,
179,1962-06-28,1.7,,
180,1962-06-29,1.1,,
181,1962-06-30,0.5,,
182,1962-07-01,0.9,,
183,1962-07-02,-1.1,,
184,1962-07-03,0.4,,
185,1962-07-04,-1.3,,
186,1962-07-05,0.4,,
187,1962-07-06,-0.8,,
188,1962-07-07,0.8,,
189,1962-07-08,0.4,,
190,1962-07-09,-1.1,,
191,1962-07-10,0.7,,
192,1962-07-11,-0.2,,
193,1962-07-12,-2.1,,
194,1962-07-13,-0.7,,
195,1962-07-14,-0.2,,
196,1962-07-15,-4.0,,
197,1962-07-16,-3.2,,
198,1962-07-17,-1.3,,
199,1962-07-18,-0.7,,
200,1962-07-19,-0.7,,
201,1962-07-20,0.4,,
202,1962-07-21,3.2,,
203,1962-07-22,1.5,,
204,1962-07-23,2.0,,
205,1962-07-24,1.5,,
206,1962-07-25,0.4,,
207,1962-07-26,-0.3,,
208,1962-07-27,-0.7,,
209,1962-07-28,-1.1,,
210,1962-07-29,-0.7,,
211,1962-07-30,0.4,,
212,1962-07-31,0.7,,
213,1962-08-01,-2.9,,
214,1962-08-02,-4.3,,
215,1962-08-03,-2.3,,
216,1962-08-04,-0.1,,
217,1962-08-05,-4.3,,
218,1962-08-06,-1.3,,
219,1962-08-07,0.9,,
220,1962-08-08,-2.9,,
221,1962-08-09,-2.9,,
222,1962-08-10,-1.3,,
223,1962-08-11,-1.3,,
224,1962-08-12,0.0,,
225,1962-08-13,0.3,,
226,1962-08-14,1.7,,
227,1962-08-15,-1.3,,
228,1962-08-16,-0.5,,
229,1962-08-17,0.3,,
230,1962-08-18,0.0,,
231,1962-08-19,1.7,,
232,1962-08-20,-1.3,,
233,1962-08-21,-5.4,,
234,1962-08-22,-5.9,,
235,1962-08-23,-4.9,,
236,1962-08-24,-2.9,,
237,1962-08-25,-1.9,,
238,1962-08-26,-0.2,,
239,1962-08-27,-0.5,,
240,1962-08-28,3.7,,
241,1962-08-29,3.0,,
242,1962-08-30,1.3,,
243,1962-08-31,1.7,,
244,1962-09-01,-1.0,,
245,1962-09-02,0.8,,
246,1962-09-03,-1.0,,
247,1962-09-04,5.6,,
248,1962-09-05,3.9,,
249,1962-09-06,-1.0,,
250,1962-09-07,-1.0,,
251,1962-09-08,-2.4,,
252,1962-09-09,-2.9,,
253,1962-09-10,3.2,,
254,1962-09-11,5.6,,
255,1962-09-12,-0.1,,
256,1962-09-13,-1.0,,
257,1962-09-14,-1.0,,
258,1962-09-15,1.3,,
259,1962-09-16,-0.1,,
260,1962-09-17,1.7,,
261,1962-09-18,3.9,,
262,1962-09-19,4.5,,
263,1962-09-20,-0.1,,
264,1962-09-21,-1.0,,
265,1962-09-22,-1.9,,
266,1962-09-23,2.3,,
267,1962-09-24,2.9,,
268,1962-09-25,3.2,,
269,1962-09-26,2.3,,
270,1962-09-27,1.7,,
271,1962-09-28,-3.4,,
272,1962-09-29,-3.4,,
273,1962-09-30,-4.1,,
274,1962-10-01,-0.9,,
275,1962-10-02,-0.1,,
276,1962-10-03,-2.1,,
277,1962-10-04,1.3,,
278,1962-10-05,-0.1,,
279,1962-10-06,-0.1,,
280,1962-10-07,-2.1,,
281,1962-10-08,-2.9,,
282,1962-10-09,-0.1,,
283,1962-10-10,-2.6,,
284,1962-10-11,-3.0,,
285,1962-10-12,4.4,,
286,1962-10-13,7.9,,
287,1962-10-14,4.1,,
288,1962-10-15,-1.6,,
289,1962-10-16,-1.6,,
290,1962-10-17,5.2,,
291,1962-10-18,6.0,,
292,1962-10-19,6.5,,
293,1962-10-20,7.2,,
294,1962-10-21,5.2,,
295,1962-10-22,-0.9,,
296,1962-10-23,-0.6,,
297,1962-10-24,-1.6,,
298,1962-10-25,-2.6,,
299,1962-10-26,-0.1,,
300,1962-10-27,5.6,,
301,1962-10-28,7.9,,
302,1962-10-29,0.2,,
303,1962-10-30,-2.1,,
304,1962-10-31,2.6,,
305,1962-11-01,3.8,,
306,1962-11-02,1.4,,
307,1962-11-03,0.8,,
308,1962-11-04,-1.5,,
309,1962-11-05,1.8,,
310,1962-11-06,5.1,,
311,1962-11-07,6.0,,
312,1962-11-08,4.8,,
313,1962-11-09,2.0,,
314,1962-11-10,8.1,,
315,1962-11-11,5.2,,
316,1962-11-12,4.2,,
317,1962-11-13,4.9,,
318,1962-11-14,3.8,,
319,1962-11-15,11.7,,
320,1962-11-16,12.7,,
321,1962-11-17,12.3,,
322,1962-11-18,13.7,,
323,1962-11-19,6.0,,
324,1962-11-20,11.1,,
325,1962-11-21,1.4,,
326,1962-11-22,4.2,,
327,1962-11-23,4.8,,
328,1962-11-24,6.0,,
329,1962-11-25,0.8,,
330,1962-11-26,6.9,,
331,1962-11-27,13.3,,
332,1962-11-28,14.3,,
333,1962-11-29,9.2,,
334,1962-11-30,10.3,,
335,1962-12-01,14.3,,
336,1962-12-02,18.3,,
337,1962-12-03,10.5,,
338,1962-12-04,9.8,,
339,1962-12-05,6.6,,
340,1962-12-06,3.6,,
341,1962-12-07,4.5,,
342,1962-12-08,8.2,,
343,1962-12-09,7.3,,
344,1962-12-10,4.1,,
345,1962-12-11,2.5,,
346,1962-12-12,-1.0,,
347,1962-12-13,4.1,,
348,1962-12-14,7.0,,
349,1962-12-15,5.8,,
350,1962-12-16,8.2,,
351,1962-12-17,8.2,,
352,1962-12-18,14.8,,
353,1962-12-19,10.5,,
354,1962-12-20,9.0,,
355,1962-12-21,9.8,,
356,1962-12-22,13.7,,
357,1962-12-23,11.6,,
358,1962-12-24,12.8,,
359,1962-12-25,3.3,,
360,1962-12-26,1.1,,
361,1962-12-27,5.8,,
362,1962-12-28,8.6,,
363,1962-12-29,11.1,,
364,1962-12-30,14.8,,
365,1962-12-31,11.6,,
366,1963-01-01,11.4,,
367,1963-01-02,13.9,,
368,1963-01-03,11.7,,
369,1963-01-04,10.0,,
370,1963-01-05,7.9,,
371,1963-01-06,5.9,,
372,1963-01-07,5.9,,
373,1963-01-08,6.6,,
374,1963-01-09,8.9,,
375,1963-01-10,10.0,,
376,1963-01-11,7.9,,
377,1963-01-12,7.3,,
378,1963-01-13,8.0,,
379,1963-01-14,11.4,,
380,1963-01-15,5.3,,
381,1963-01-16,8.1,,
382,1963-01-17,8.9,,
383,1963-01-18,5.3,,
384,1963-01-19,7.3,,
385,1963-01-20,8.1,,
386,1963-01-21,8.1,,
387,1963-01-22,13.9,,
388,1963-01-23,14.5,,
389,1963-01-24,13.9,,
390,1963-01-25,14.1,,
391,1963-01-26,13.9,,
392,1963-01-27,13.4,,
393,1963-01-28,13.9,,
394,1963-01-29,12.5,,
395,1963-01-30,4.8,,
396,1963-01-31,8.9,,
397,1963-02-01,11.8,,
398,1963-02-02,14.2,,
399,1963-02-03,11.0,,
400,1963-02-04,-0.6,,
401,1963-02-05,1.2,,
402,1963-02-06,5.6,,
403,1963-02-07,10.6,,
404,1963-02-08,15.1,,
405,1963-02-09,15.1,,
406,1963-02-10,16.8,,
407,1963-02-11,10.6,,
408,1963-02-12,6.6,,
409,1963-02-13,5.8,,
410,1963-02-14,11.9,,
