,date,minimum temperature (degC),site number,site name
0,,0.9,82039.0,RUTHERGLEN RESEARCH
1,1912-11-07,0.9,,
2,1912-11-08,8.0,,
3,1912-11-09,3.8,,
4,1912-11-10,13.2,,
5,1912-11-11,3.8,,
6,1912-11-12,2.7,,
7,1912-11-13,5.4,,
8,1912-11-14,10.3,,
9,1912-11-15,18.4,,
10,1912-11-16,10.5,,
11,1912-11-17,8.9,,
12,1912-11-18,9.2,,
13,1912-11-19,10.1,,
14,1912-11-20,10.5,,
15,1912-11-21,8.5,,
16,1912-11-22,11.6,,
17,1912-11-23,7.7,,
18,1912-11-24,5.1,,
19,1912-11-25,3.9,,
20,1912-11-26,3.5,,
21,1912-11-27,7.6,,
22,1912-11-28,9.2,,
23,1912-11-29,12.5,,
24,1912-11-30,10.9,,
25,1912-12-01,15.3,,
26,1912-12-02,11.9,,
27,1912-12-03,8.3,,
28,1912-12-04,8.3,,
29,1912-12-05,10.6,,
30,1912-12-06,12.3,,
31,1912-12-07,7.2,,
32,1912-12-08,6.2,,
33,1912-12-09,10.8,,
34,1912-12-10,8.3,,
35,1912-12-11,4.2,,
36,1912-12-12,3.4,,
37,1912-12-13,4.8,,
38,1912-12-14,7.2,,
39,1912-12-15,11.4,,
40,1912-12-16,10.3,,
41,1912-12-17,11.4,,
42,1912-12-18,17.4,,
43,1912-12-19,10.3,,
44,1912-12-20,10.6,,
45,1912-12-21,10.6,,
46,1912-12-22,14.5,,
47,1912-12-23,12.3,,
48,1912-12-24,8.9,,
49,1912-12-25,10.3,,
50,1912-12-26,15.9,,
51,1912-12-27,13.0,,
52,1912-12-28,8.9,,
53,1912-12-29,10.3,,
54,1912-12-30,12.3,,
55,1912-12-31,8.9,,
56,1913-01-01,12.6,,
57,1913-01-02,16.4,,
58,1913-01-03,13.5,,
59,1913-01-04,6.9,,
60,1913-01-05,4.5,,
61,1913-01-06,6.6,,
62,1913-01-07,8.0,,
63,1913-01-08,9.9,,
64,1913-01-09,9.9,,
65,1913-01-10,12.1,,
66,1913-01-11,12.7,,
67,1913-01-12,15.7,,
68,1913-01-13,16.3,,
69,1913-01-14,15.9,,
70,1913-01-15,12.9,,
71,1913-01-16,9.0,,
72,1913-01-17,14.7,,
73,1913-01-18,14.7,,
74,1913-01-19,11.4,,
75,1913-01-20,8.8,,
76,1913-01-21,6.6,,
77,1913-01-22,8.0,,
78,1913-01-23,13.0,,
79,1913-01-24,7.5,,
80,1913-01-25,6.9,,
81,1913-01-26,7.5,,
82,1913-01-27,4.6,,
83,1913-01-28,11.6,,
84,1913-01-29,12.6,,
85,1913-01-30,8.5,,
86,1913-01-31,4.6,,
87,1913-02-01,12.6,,
88,1913-02-02,10.8,,
89,1913-02-03,6.2,,
90,1913-02-04,10.8,,
91,1913-02-05,16.0,,
92,1913-02-06,5.6,,
93,1913-02-07,7.8,,
94,1913-02-08,11.8,,
95,1913-02-09,12.3,,
96,1913-02-10,11.9,,
97,1913-02-11,10.8,,
98,1913-02-12,9.7,,
99,1913-02-13,12.0,,
