,date,minimum temperature (degC),site number,site name
0,,18.4,68151.0,POINT PERPENDICULAR AWS
1,1946-01-02,18.4,,
2,1946-01-03,16.6,,
3,1946-01-04,20.5,,
4,1946-01-05,22.7,,
5,1946-01-06,17.7,,
6,1946-01-07,15.5,,
7,1946-01-08,15.5,,
8,1946-01-09,16.1,,
9,1946-01-10,18.4,,
10,1946-01-11,20.5,,
11,1946-01-12,19.9,,
12,1946-01-13,18.4,,
13,1946-01-14,19.4,,
14,1946-01-15,19.4,,
15,1946-01-16,19.9,,
16,1946-01-17,19.4,,
17,1946-01-18,19.9,,
18,1946-01-19,19.9,,
19,1946-01-20,19.9,,
20,1946-01-21,21.6,,
21,1946-01-22,20.5,,
22,1946-01-23,17.3,,
23,1946-01-24,19.4,,
24,1946-01-25,19.4,,
25,1946-01-26,17.7,,
26,1946-01-27,17.7,,
27,1946-01-28,19.0,,
28,1946-01-29,19.0,,
29,1946-01-30,16.6,,
30,1946-01-31,20.5,,
31,1946-02-01,21.1,,
32,1946-02-02,20.0,,
33,1946-02-03,18.3,,
34,1946-02-04,16.8,,
35,1946-02-05,18.9,,
36,1946-02-06,20.7,,
37,1946-02-07,20.7,,
38,1946-02-08,19.4,,
39,1946-02-09,11.1,,
40,1946-02-10,18.3,,
41,1946-02-11,21.1,,
42,1946-02-12,16.8,,
43,1946-02-13,18.3,,
44,1946-02-14,17.2,,
45,1946-02-15,19.4,,
46,1946-02-16,17.8,,
47,1946-02-17,15.0,,
48,1946-02-18,16.8,,
49,1946-02-19,20.7,,
50,1946-02-20,19.4,,
51,1946-02-21,18.9,,
52,1946-02-22,18.9,,
53,1946-02-23,20.7,,
54,1946-02-24,17.8,,
55,1946-02-25,18.9,,
56,1946-02-26,21.1,,
57,1946-02-27,16.1,,
58,1946-02-28,16.8,,
59,1946-03-01,16.0,,
60,1946-03-02,17.9,,
61,1946-03-03,19.6,,
62,1946-03-04,18.5,,
63,1946-03-05,17.9,,
64,1946-03-06,19.1,,
