,date,minimum temperature (degC),site number,site name
0,,10.1,94198.0,CAPE BRUNY (CAPE BRUNY)
1,1923-01-02,10.1,,
2,1923-01-03,11.0,,
3,1923-01-04,10.4,,
4,1923-01-05,12.8,,
5,1923-01-06,9.7,,
6,1923-01-07,9.4,,
7,1923-01-08,6.7,,
8,1923-01-09,9.7,,
9,1923-01-10,10.0,,
10,1923-01-11,15.5,,
11,1923-01-12,9.7,,
12,1923-01-13,10.0,,
13,1923-01-14,13.4,,
14,1923-01-15,9.7,,
15,1923-01-16,8.1,,
16,1923-01-17,10.7,,
17,1923-01-18,9.4,,
18,1923-01-19,9.7,,
19,1923-01-20,11.8,,
20,1923-01-21,9.4,,
21,1923-01-22,8.3,,
22,1923-01-23,9.9,,
23,1923-01-24,11.2,,
24,1923-01-25,12.2,,
25,1923-01-26,10.0,,
26,1923-01-27,10.9,,
27,1923-01-28,10.9,,
28,1923-01-29,9.4,,
29,1923-01-30,9.1,,
30,1923-01-31,7.2,,
31,1923-02-01,9.6,,
32,1923-02-02,11.7,,
33,1923-02-03,10.6,,
34,1923-02-04,12.5,,
35,1923-02-05,11.5,,
36,1923-02-06,9.8,,
37,1923-02-07,9.9,,
38,1923-02-08,8.3,,
39,1923-02-09,9.9,,
40,1923-02-10,11.8,,
41,1923-02-11,12.5,,
42,1923-02-12,12.4,,
43,1923-02-13,10.2,,
44,1923-02-14,10.7,,
45,1923-02-15,2.8,,
46,1923-02-16,7.2,,
47,1923-02-17,8.3,,
48,1923-02-18,9.2,,
49,1923-02-19,8.3,,
50,1923-02-20,8.8,,
51,1923-02-21,13.4,,
52,1923-02-22,12.1,,
53,1923-02-23,10.7,,
54,1923-02-24,11.7,,
55,1923-02-25,8.8,,
56,1923-02-26,9.8,,
57,1923-02-27,10.0,,
58,1923-02-28,11.4,,
59,1923-03-01,11.9,,
60,1923-03-02,9.2,,
61,1923-03-03,13.1,,
62,1923-03-04,11.4,,
63,1923-03-05,12.3,,
64,1923-03-06,7.1,,
65,1923-03-07,8.4,,
66,1923-03-08,3.0,,
67,1923-03-09,9.7,,
68,1923-03-10,11.5,,
69,1923-03-11,8.1,,
70,1923-03-12,6.9,,
71,1923-03-13,6.5,,
72,1923-03-14,9.7,,
73,1923-03-15,9.7,,
74,1923-03-16,7.5,,
75,1923-03-17,9.5,,
76,1923-03-18,10.0,,
77,1923-03-19,11.8,,
78,1923-03-20,11.5,,
79,1923-03-21,10.0,,
80,1923-03-22,11.0,,
81,1923-03-23,11.4,,
82,1923-03-24,8.8,,
83,1923-03-25,10.8,,
84,1923-03-26,11.0,,
85,1923-03-27,12.2,,
86,1923-03-28,11.7,,
87,1923-03-29,11.0,,
