,date,minimum temperature (degC)
0,1975-03-01,1.4
1,1975-03-02,7.2
2,1975-03-03,11.7
3,1975-03-04,11.2
4,1975-03-05,4.4
5,1975-03-06,6.4
6,1975-03-07,10.8
7,1975-03-08,5.6
8,1975-03-09,1.6
9,1975-03-10,0.8
10,1975-03-11,5.9
11,1975-03-12,6.2
12,1975-03-13,5.5
13,1975-03-14,6.3
14,1975-03-15,12.5
15,1975-03-16,6.7
16,1975-03-17,9.5
17,1975-03-18,10.8
18,1975-03-19,11.2
19,1975-03-20,5.2
20,1975-03-21,8.3
21,1975-03-22,10.6
22,1975-03-23,8.8
23,1975-03-24,9.7
24,1975-03-25,6.3
25,1975-03-26,7.7
26,1975-03-27,6.5
27,1975-03-28,8.9
28,1975-03-29,11.4
29,1975-03-30,4.8
30,1975-03-31,4.1
31,1975-04-01,1.0
32,1975-04-02,7.6
33,1975-04-03,4.2
34,1975-04-04,11.5
35,1975-04-05,13.0
36,1975-04-06,6.0
37,1975-04-07,6.8
38,1975-04-08,11.1
39,1975-04-09,11.2
40,1975-04-10,3.8
41,1975-04-11,6.8
42,1975-04-12,9.1
43,1975-04-13,7.6
44,1975-04-14,2.1
45,1975-04-15,3.8
46,1975-04-16,0.8
47,1975-04-17,3.1
48,1975-04-18,3.6
49,1975-04-19,6.0
50,1975-04-20,9.5
51,1975-04-21,6.9
52,1975-04-22,0.8
53,1975-04-23,-2.0
54,1975-04-24,2.8
55,1975-04-25,2.8
56,1975-04-26,-2.2
57,1975-04-27,3.7
58,1975-04-28,2.1
59,1975-04-29,3.9
60,1975-04-30,6.0
61,1975-05-01,5.3
62,1975-05-02,5.2
63,1975-05-03,2.7
64,1975-05-04,1.7
65,1975-05-05,3.2
66,1975-05-06,2.5
67,1975-05-07,5.2
68,1975-05-08,7.4
69,1975-05-09,7.9
70,1975-05-10,5.2
71,1975-05-11,4.9
72,1975-05-12,5.8
73,1975-05-13,7.3
74,1975-05-14,7.3
75,1975-05-15,6.4
76,1975-05-16,4.4
77,1975-05-17,4.0
78,1975-05-18,7.5
79,1975-05-19,7.8
80,1975-05-20,7.8
81,1975-05-21,9.4
82,1975-05-22,-0.9
83,1975-05-23,1.9
84,1975-05-24,4.7
85,1975-05-25,8.2
86,1975-05-26,7.9
87,1975-05-27,2.1
88,1975-05-28,-3.1
89,1975-05-29,-0.4
90,1975-05-30,-1.5
91,1975-05-31,1.3
92,1975-06-01,1.0
93,1975-06-02,1.5
94,1975-06-03,5.5
95,1975-06-04,2.6
96,1975-06-05,2.1
97,1975-06-06,3.4
98,1975-06-07,7.3
