,date,minimum temperature (degC)
0,1975-03-01,3.6
1,1975-03-02,7.7
2,1975-03-03,12.8
3,1975-03-04,6.7
4,1975-03-05,7.6
5,1975-03-06,9.4
6,1975-03-07,11.2
7,1975-03-08,8.8
8,1975-03-09,5.6
9,1975-03-10,8.8
10,1975-03-11,11.4
11,1975-03-12,12.1
12,1975-03-13,8.4
13,1975-03-14,6.7
14,1975-03-15,13.1
15,1975-03-16,9.2
16,1975-03-17,7.5
17,1975-03-18,12.4
18,1975-03-19,12.1
19,1975-03-20,7.8
20,1975-03-21,8.5
21,1975-03-22,4.5
22,1975-03-23,5.1
23,1975-03-24,9.0
24,1975-03-25,3.9
25,1975-03-26,4.0
26,1975-03-27,8.8
27,1975-03-28,7.5
28,1975-03-29,9.4
29,1975-03-30,5.1
30,1975-03-31,5.9
31,1975-04-01,1.3
32,1975-04-02,3.7
33,1975-04-03,1.6
34,1975-04-04,8.5
35,1975-04-05,13.7
36,1975-04-06,7.4
37,1975-04-07,3.1
38,1975-04-08,8.1
39,1975-04-09,7.9
40,1975-04-10,0.0
41,1975-04-11,1.6
42,1975-04-12,2.4
43,1975-04-13,8.1
44,1975-04-14,5.2
45,1975-04-15,5.3
46,1975-04-16,4.9
47,1975-04-17,5.3
48,1975-04-18,4.9
49,1975-04-19,6.7
50,1975-04-20,8.1
51,1975-04-21,4.4
52,1975-04-22,4.2
53,1975-04-23,-1.0
54,1975-04-24,3.1
55,1975-04-25,0.2
56,1975-04-26,-3.3
57,1975-04-27,6.9
58,1975-04-28,5.4
59,1975-04-29,6.1
60,1975-04-30,7.1
61,1975-05-01,-0.6
62,1975-05-02,0.6
63,1975-05-03,0.3
64,1975-05-04,1.6
65,1975-05-05,2.4
66,1975-05-06,6.4
67,1975-05-07,10.5
68,1975-05-08,9.3
69,1975-05-09,4.8
70,1975-05-10,2.4
71,1975-05-11,2.4
72,1975-05-12,5.9
73,1975-05-13,5.4
74,1975-05-14,3.4
75,1975-05-15,6.4
76,1975-05-16,4.0
77,1975-05-17,3.1
78,1975-05-18,8.9
79,1975-05-19,10.1
80,1975-05-20,6.0
81,1975-05-21,9.7
82,1975-05-22,6.2
83,1975-05-23,3.4
84,1975-05-24,6.0
85,1975-05-25,4.3
86,1975-05-26,0.8
87,1975-05-27,0.3
88,1975-05-28,-3.3
89,1975-05-29,0.5
90,1975-05-30,-1.7
91,1975-05-31,1.0
92,1975-06-01,3.3
93,1975-06-02,3.3
94,1975-06-03,8.5
95,1975-06-04,3.2
96,1975-06-05,-0.3
97,1975-06-06,1.4
98,1975-06-07,1.2
99,1975-06-08,4.4
100,1975-06-09,2.3
101,1975-06-10,-1.9
102,1975-06-11,0.1
103,1975-06-12,-3.6
104,1975-06-13,-0.7
105,1975-06-14,-1.9
106,1975-06-15,2.4
107,1975-06-16,-0.6
108,1975-06-17,-6.1
109,1975-06-18,-5.1
110,1975-06-19,-4.9
111,1975-06-20,-6.2
112,1975-06-21,-1.5
113,1975-06-22,4.0
114,1975-06-23,7.3
115,1975-06-24,7.1
116,1975-06-25,7.4
117,1975-06-26,7.2
118,1975-06-27,4.0
119,1975-06-28,6.9
120,1975-06-29,1.0
121,1975-06-30,2.2
122,1975-07-01,-1.1
123,1975-07-02,-4.1
124,1975-07-03,-3.7
125,1975-07-04,-1.1
126,1975-07-05,2.3
127,1975-07-06,4.7
128,1975-07-07,2.5
129,1975-07-08,-1.7
130,1975-07-09,1.1
131,1975-07-10,1.9
132,1975-07-11,4.2
133,1975-07-12,0.2
134,1975-07-13,1.9
135,1975-07-14,2.8
136,1975-07-15,3.6
137,1975-07-16,-0.8
138,1975-07-17,3.5
139,1975-07-18,5.6
140,1975-07-19,5.4
141,1975-07-20,5.7
142,1975-07-21,7.3
143,1975-07-22,4.4
144,1975-07-23,8.9
145,1975-07-24,8.1
146,1975-07-25,4.1
147,1975-07-26,6.5
148,1975-07-27,8.0
149,1975-07-28,8.6
150,1975-07-29,1.5
151,1975-07-30,5.5
152,1975-07-31,8.2
153,1975-08-01,1.4
154,1975-08-02,-0.5
155,1975-08-03,0.4
156,1975-08-04,-2.2
157,1975-08-05,1.0
158,1975-08-06,1.4
159,1975-08-07,-1.9
160,1975-08-08,-0.4
161,1975-08-09,5.1
162,1975-08-10,5.1
163,1975-08-11,2.8
164,1975-08-12,3.5
165,1975-08-13,2.5
166,1975-08-14,-2.8
