,date,minimum temperature (degC),site number,site name
0,,24.7,36007.0,BARCALDINE POST OFFICE
1,1962-01-02,24.7,,
2,1962-01-03,17.5,,
3,1962-01-04,23.3,,
4,1962-01-05,22.2,,
5,1962-01-06,22.4,,
6,1962-01-07,22.5,,
7,1962-01-08,22.2,,
8,1962-01-09,23.3,,
9,1962-01-10,23.7,,
10,1962-01-11,28.3,,
11,1962-01-12,23.6,,
12,1962-01-13,23.6,,
13,1962-01-14,23.7,,
14,1962-01-15,25.0,,
15,1962-01-16,26.3,,
16,1962-01-17,24.9,,
17,1962-01-18,25.3,,
18,1962-01-19,25.3,,
19,1962-01-20,25.9,,
20,1962-01-21,25.1,,
21,1962-01-22,24.5,,
22,1962-01-23,23.2,,
23,1962-01-24,25.5,,
24,1962-01-25,25.7,,
25,1962-01-26,25.1,,
26,1962-01-27,25.7,,
27,1962-01-28,24.7,,
28,1962-01-29,23.7,,
29,1962-01-30,21.6,,
30,1962-01-31,23.8,,
31,1962-02-01,26.5,,
32,1962-02-02,23.8,,
33,1962-02-03,21.6,,
34,1962-02-04,20.6,,
35,1962-02-05,20.7,,
36,1962-02-06,23.8,,
37,1962-02-07,24.9,,
38,1962-02-08,21.4,,
39,1962-02-09,22.0,,
40,1962-02-10,24.1,,
41,1962-02-11,24.7,,
42,1962-02-12,25.1,,
43,1962-02-13,25.1,,
44,1962-02-14,25.2,,
45,1962-02-15,25.1,,
46,1962-02-16,20.5,,
47,1962-02-17,16.1,,
48,1962-02-18,24.8,,
49,1962-02-19,24.9,,
50,1962-02-20,25.7,,
51,1962-02-21,23.5,,
52,1962-02-22,24.1,,
53,1962-02-23,23.4,,
54,1962-02-24,24.0,,
55,1962-02-25,24.6,,
56,1962-02-26,24.2,,
57,1962-02-27,23.6,,
58,1962-02-28,24.2,,
59,1962-03-01,23.5,,
60,1962-03-02,26.9,,
61,1962-03-03,19.8,,
62,1962-03-04,20.7,,
63,1962-03-05,21.6,,
64,1962-03-06,22.3,,
65,1962-03-07,21.6,,
66,1962-03-08,22.3,,
67,1962-03-09,20.9,,
68,1962-03-10,22.2,,
69,1962-03-11,23.1,,
70,1962-03-12,21.2,,
71,1962-03-13,18.1,,
72,1962-03-14,20.7,,
73,1962-03-15,20.6,,
74,1962-03-16,21.2,,
75,1962-03-17,18.3,,
76,1962-03-18,18.6,,
77,1962-03-19,19.2,,
78,1962-03-20,17.4,,
79,1962-03-21,20.3,,
80,1962-03-22,22.3,,
81,1962-03-23,20.7,,
82,1962-03-24,21.6,,
83,1962-03-25,21.6,,
84,1962-03-26,19.9,,
85,1962-03-27,21.4,,
86,1962-03-28,21.6,,
87,1962-03-29,21.6,,
88,1962-03-30,19.6,,
89,1962-03-31,19.7,,
90,1962-04-01,20.2,,
91,1962-04-02,21.3,,
92,1962-04-03,18.8,,
93,1962-04-04,18.4,,
94,1962-04-05,19.4,,
95,1962-04-06,17.7,,
96,1962-04-07,15.0,,
97,1962-04-08,13.9,,
98,1962-04-09,13.6,,
99,1962-04-10,14.6,,
100,1962-04-11,16.9,,
101,1962-04-12,15.2,,
102,1962-04-13,13.9,,
103,1962-04-14,14.1,,
104,1962-04-15,14.2,,
105,1962-04-16,15.0,,
106,1962-04-17,14.5,,
107,1962-04-18,14.5,,
108,1962-04-19,15.0,,
109,1962-04-20,17.5,,
110,1962-04-21,16.0,,
111,1962-04-22,14.6,,
112,1962-04-23,17.5,,
113,1962-04-24,14.8,,
114,1962-04-25,14.0,,
115,1962-04-26,13.6,,
116,1962-04-27,14.0,,
117,1962-04-28,11.1,,
118,1962-04-29,11.6,,
119,1962-04-30,12.8,,
120,1962-05-01,12.3,,
121,1962-05-02,10.5,,
122,1962-05-03,10.8,,
123,1962-05-04,6.8,,
124,1962-05-05,9.7,,
125,1962-05-06,14.4,,
126,1962-05-07,13.3,,
127,1962-05-08,13.8,,
128,1962-05-09,14.4,,
129,1962-05-10,9.9,,
